"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Wednesday 31st July 2019 18:20","https://sullygnome.com/channel/mista_ed_bundy/stream/35113889680","280","2240","8","14","2","0","79","17","Sea of Thieves,Dead by Daylight"
"2","Monday 29th July 2019 18:05","https://sullygnome.com/channel/mista_ed_bundy/stream/35087855008","340","2380","7","14","1","0","104","18","Dead by Daylight,For Honor"
"3","Sunday 28th July 2019 17:46","https://sullygnome.com/channel/mista_ed_bundy/stream/35075911792","284","3408","12","17","0","0","86","18","Alien: Isolation,Rise of Insanity"
"4","Friday 26th July 2019 18:15","https://sullygnome.com/channel/mista_ed_bundy/stream/35052297072","270","1080","4","7","0","0","67","14","Dead by Daylight"
"5","Thursday 25th July 2019 21:45","https://sullygnome.com/channel/mista_ed_bundy/stream/35042687296","30","120","4","6","0","0","23","30","For Honor"
"6","Thursday 25th July 2019 19:00","https://sullygnome.com/channel/mista_ed_bundy/stream/35040842640","135","540","4","7","0","0","37","14","For Honor"
"7","Monday 22nd July 2019 17:54","https://sullygnome.com/channel/mista_ed_bundy/stream/35003284672","351","2106","6","11","0","0","71","11","Dead by Daylight,For Honor"
"8","Sunday 21st July 2019 18:13","https://sullygnome.com/channel/mista_ed_bundy/stream/34991754016","467","3736","8","13","4","0","126","15","Alien: Isolation"
"9","Friday 19th July 2019 18:50","https://sullygnome.com/channel/mista_ed_bundy/stream/34966104816","265","1590","6","11","1","0","68","15","For Honor"
"10","Thursday 18th July 2019 18:49","https://sullygnome.com/channel/mista_ed_bundy/stream/34953626224","416","2496","6","12","0","0","97","13","Hunt: Showdown,For Honor"
"11","Wednesday 17th July 2019 17:51","https://sullygnome.com/channel/mista_ed_bundy/stream/34940379536","444","3108","7","11","4","0","63","8","Dead by Daylight,For Honor"
"12","Monday 15th July 2019 19:00","https://sullygnome.com/channel/mista_ed_bundy/stream/34916071360","60","240","4","7","1","0","7","5","Dead by Daylight"
"13","Sunday 14th July 2019 18:56","https://sullygnome.com/channel/mista_ed_bundy/stream/34904085072","364","1820","5","8","1","0","57","9","Alien: Isolation,For Honor"
"14","Saturday 13th July 2019 17:52","https://sullygnome.com/channel/mista_ed_bundy/stream/34890842480","413","2065","5","10","2","0","49","7","For Honor"
"15","Friday 12th July 2019 17:58","https://sullygnome.com/channel/mista_ed_bundy/stream/34878199232","497","3479","7","11","-1","0","76","9","For Honor"
"16","Thursday 11th July 2019 19:34","https://sullygnome.com/channel/mista_ed_bundy/stream/34866921600","446","2676","6","18","1","0","92","12","For Honor"
"17","Wednesday 10th July 2019 17:57","https://sullygnome.com/channel/mista_ed_bundy/stream/34853252320","528","2640","5","9","1","0","136","15","UNO,For Honor"
"18","Monday 8th July 2019 21:06","https://sullygnome.com/channel/mista_ed_bundy/stream/34830519840","369","1845","5","14","0","0","82","13","For Honor"
"19","Sunday 7th July 2019 17:55","https://sullygnome.com/channel/mista_ed_bundy/stream/34816059088","515","3605","7","15","1","0","98","11","Alien: Isolation,For Honor"
"20","Saturday 6th July 2019 18:46","https://sullygnome.com/channel/mista_ed_bundy/stream/34804082176","539","2695","5","9","4","0","50","5","For Honor"
"21","Friday 5th July 2019 17:55","https://sullygnome.com/channel/mista_ed_bundy/stream/34790771520","530","1590","3","10","1","0","74","8","Dead by Daylight,For Honor"
"22","Thursday 4th July 2019 17:46","https://sullygnome.com/channel/mista_ed_bundy/stream/34779253600","404","1616","4","10","-1","0","68","10","Dead by Daylight,For Honor"
"23","Wednesday 3rd July 2019 19:03","https://sullygnome.com/channel/mista_ed_bundy/stream/34767748816","432","2160","5","11","1","0","70","9","Hunt: Showdown,For Honor"
"24","Tuesday 2nd July 2019 17:52","https://sullygnome.com/channel/mista_ed_bundy/stream/34754207056","503","3521","7","16","2","0","107","12","Dead by Daylight,For Honor"
"25","Monday 1st July 2019 18:00","https://sullygnome.com/channel/mista_ed_bundy/stream/34741919536","345","1725","5","8","3","0","108","18","For Honor"
