"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Wednesday 31st July 2019 20:25","https://sullygnome.com/channel/mjdjango/stream/35115440640","365","6570","18","28","8","1","167","26","Dead by Daylight"
"2","Wednesday 31st July 2019 17:03","https://sullygnome.com/channel/mjdjango/stream/35112978848","147","1764","12","20","1","0","64","25","Dead by Daylight"
"3","Tuesday 30th July 2019 22:51","https://sullygnome.com/channel/mjdjango/stream/35101052592","444","9324","21","41","12","1","222","19","Dead by Daylight"
"4","Tuesday 30th July 2019 18:45","https://sullygnome.com/channel/mjdjango/stream/35100930448","0","0","8","8","0","0","0","0","Dead by Daylight"
"5","Monday 29th July 2019 15:41","https://sullygnome.com/channel/mjdjango/stream/35086324976","544","9792","18","28","4","0","180","19","Dead by Daylight"
"6","Saturday 27th July 2019 20:43","https://sullygnome.com/channel/mjdjango/stream/35065930608","407","6919","17","24","6","0","136","20","Dead by Daylight"
"7","Thursday 25th July 2019 23:26","https://sullygnome.com/channel/mjdjango/stream/35043789728","139","1668","12","17","1","0","39","15","Dead by Daylight"
"8","Thursday 25th July 2019 15:47","https://sullygnome.com/channel/mjdjango/stream/35038887040","343","6174","18","28","3","0","121","20","Dead by Daylight,Just Chatting"
"9","Wednesday 24th July 2019 17:01","https://sullygnome.com/channel/mjdjango/stream/35027397936","569","7966","14","23","12","1","186","19","Dead by Daylight"
"10","Tuesday 23rd July 2019 15:58","https://sullygnome.com/channel/mjdjango/stream/35014504944","692","6920","10","21","7","0","204","17","Dead by Daylight"
"11","Monday 22nd July 2019 21:53","https://sullygnome.com/channel/mjdjango/stream/35006095504","232","3248","14","22","2","0","80","20","Dead by Daylight"
"12","Sunday 21st July 2019 18:14","https://sullygnome.com/channel/mjdjango/stream/34990635232","796","11144","14","51","10","0","241","16","Super Seducer,Deathgarden: BLOODHARVEST,Dead by Daylight"
"13","Saturday 20th July 2019 20:38","https://sullygnome.com/channel/mjdjango/stream/34980972944","517","7755","15","32","10","1","228","25","Twitch Sings,Dead by Daylight"
"14","Saturday 20th July 2019 18:24","https://sullygnome.com/channel/mjdjango/stream/34979517184","96","1440","15","24","3","2","76","50","Dead by Daylight"
"15","Saturday 20th July 2019 15:18","https://sullygnome.com/channel/mjdjango/stream/34976671696","177","3363","19","28","2","0","136","45","Dead by Daylight"
"16","Friday 19th July 2019 16:50","https://sullygnome.com/channel/mjdjango/stream/34964700416","910","11830","13","45","9","0","253","16","Dead by Daylight"
"17","Wednesday 17th July 2019 18:42","https://sullygnome.com/channel/mjdjango/stream/34941030160","603","7839","13","26","9","0","130","13","Dead by Daylight"
"18","Tuesday 16th July 2019 21:47","https://sullygnome.com/channel/mjdjango/stream/34930563632","478","4780","10","22","1","0","97","11","Dead by Daylight"
