"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Wednesday 31st July 2019 23:18","https://sullygnome.com/channel/mllesaana/stream/35114909248","132","2112","16","23","4","0","163","28","ARK: Survival Evolved,Teamfight Tactics"
"2","Tuesday 30th July 2019 19:19","https://sullygnome.com/channel/mllesaana/stream/35101445360","371","7791","21","25","4","0","151","25","ARK: Survival Evolved,Teamfight Tactics"
"3","Friday 26th July 2019 19:27","https://sullygnome.com/channel/mllesaana/stream/35053247040","303","6060","20","32","4","0","170","32","ARK: Survival Evolved,Teamfight Tactics"
"4","Thursday 25th July 2019 19:31","https://sullygnome.com/channel/mllesaana/stream/35041299536","554","13296","24","35","17","1","290","31","ARK: Survival Evolved"
"5","Wednesday 24th July 2019 19:31","https://sullygnome.com/channel/mllesaana/stream/35029132256","224","6272","28","39","5","1","134","35","Teamfight Tactics,ARK: Survival Evolved"
"6","Tuesday 23rd July 2019 19:31","https://sullygnome.com/channel/mllesaana/stream/35016928064","389","10503","27","47","5","0","191","29","ARK: Survival Evolved,Teamfight Tactics"
"7","Monday 22nd July 2019 23:32","https://sullygnome.com/channel/mllesaana/stream/35007151328","298","5960","20","29","3","0","92","19","ARK: Survival Evolved,Teamfight Tactics"
"8","Monday 22nd July 2019 19:27","https://sullygnome.com/channel/mllesaana/stream/35004431072","228","7296","32","41","9","2","150","40","ARK: Survival Evolved"
"9","Sunday 21st July 2019 19:08","https://sullygnome.com/channel/mllesaana/stream/34992412304","592","26640","45","86","13","1","536","53","ARK: Survival Evolved,Teamfight Tactics"
"10","Friday 19th July 2019 19:42","https://sullygnome.com/channel/mllesaana/stream/34966744400","303","5454","18","23","-1","0","149","28","Teamfight Tactics"
"11","Thursday 18th July 2019 20:29","https://sullygnome.com/channel/mllesaana/stream/34954830928","391","6647","17","22","5","0","177","27","Teamfight Tactics"
"12","Thursday 18th July 2019 19:50","https://sullygnome.com/channel/mllesaana/stream/34954372896","25","350","14","18","2","4","66","132","Teamfight Tactics"
"13","Wednesday 17th July 2019 19:02","https://sullygnome.com/channel/mllesaana/stream/34941293680","163","5705","35","41","-1","0","121","44","Grand Theft Auto V"
"14","Tuesday 16th July 2019 19:16","https://sullygnome.com/channel/mllesaana/stream/34928766736","209","3553","17","21","1","0","104","27","Teamfight Tactics"
"15","Monday 15th July 2019 18:56","https://sullygnome.com/channel/mllesaana/stream/34916091792","274","5206","19","29","7","1","129","28","Teamfight Tactics,Grand Theft Auto V"
"16","Sunday 14th July 2019 19:19","https://sullygnome.com/channel/mllesaana/stream/34904379536","251","5522","22","29","0","0","83","20","Teamfight Tactics"
"17","Friday 12th July 2019 18:49","https://sullygnome.com/channel/mllesaana/stream/34878828320","206","6386","31","48","0","0","133","38","Atlas"
"18","Thursday 11th July 2019 22:37","https://sullygnome.com/channel/mllesaana/stream/34866774176","143","3861","27","37","6","1","228","39","Atlas,Teamfight Tactics"
"19","Wednesday 10th July 2019 18:41","https://sullygnome.com/channel/mllesaana/stream/34853806928","334","9686","29","41","3","0","266","46","Teamfight Tactics"
"20","Tuesday 9th July 2019 22:07","https://sullygnome.com/channel/mllesaana/stream/34841521456","173","4671","27","49","-2","0","272","45","Atlas,Teamfight Tactics"
"21","Monday 8th July 2019 19:13","https://sullygnome.com/channel/mllesaana/stream/34829192352","527","23188","44","109","3","0","606","67","Teamfight Tactics,Atlas"
"22","Sunday 7th July 2019 19:06","https://sullygnome.com/channel/mllesaana/stream/34816943328","399","13167","33","66","3","0","320","47","Atlas,Teamfight Tactics"
"23","Friday 5th July 2019 18:03","https://sullygnome.com/channel/mllesaana/stream/34790869968","357","15708","44","93","4","0","346","57","Teamfight Tactics,Atlas"
"24","Thursday 4th July 2019 19:03","https://sullygnome.com/channel/mllesaana/stream/34780178064","237","8532","36","45","3","0","239","59","Atlas"
"25","Wednesday 3rd July 2019 18:59","https://sullygnome.com/channel/mllesaana/stream/34767691968","361","12635","35","75","10","1","299","47","Atlas"
"26","Tuesday 2nd July 2019 18:54","https://sullygnome.com/channel/mllesaana/stream/34755016592","201","5829","29","39","2","0","215","61","Atlas"
"27","Monday 1st July 2019 19:15","https://sullygnome.com/channel/mllesaana/stream/34742922816","435","11310","26","36","7","0","258","35","Atlas"
