"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Wednesday 31st July 2019 18:30","https://sullygnome.com/channel/monkeyboyfpv/stream/35113944656","210","420","2","4","1","0","1","0","Liftoff"
"2","Tuesday 30th July 2019 16:45","https://sullygnome.com/channel/monkeyboyfpv/stream/35099517984","240","480","2","7","3","0","6","1","Liftoff"
"3","Monday 29th July 2019 17:00","https://sullygnome.com/channel/monkeyboyfpv/stream/35087061728","180","360","2","5","0","0","6","1","Liftoff,Battlefield 4"
"4","Saturday 27th July 2019 18:00","https://sullygnome.com/channel/monkeyboyfpv/stream/35064202048","45","135","3","4","0","0","2","2","Liftoff"
"5","Saturday 27th July 2019 14:15","https://sullygnome.com/channel/monkeyboyfpv/stream/35061943216","30","30","1","2","0","0","3","4","Plants vs. Zombies: Garden Warfare 2"
"6","Wednesday 24th July 2019 18:15","https://sullygnome.com/channel/monkeyboyfpv/stream/35027968592","165","330","2","4","1","0","4","1","Liftoff"
"7","Tuesday 23rd July 2019 20:30","https://sullygnome.com/channel/monkeyboyfpv/stream/35017619312","120","720","6","9","2","0","12","5","Liftoff"
"8","Tuesday 23rd July 2019 15:15","https://sullygnome.com/channel/monkeyboyfpv/stream/35014137248","30","30","1","4","0","0","3","4","Liftoff"
"9","Monday 22nd July 2019 19:00","https://sullygnome.com/channel/monkeyboyfpv/stream/35004035792","90","90","1","3","0","0","5","2","Battlefield V"
"10","Monday 22nd July 2019 16:00","https://sullygnome.com/channel/monkeyboyfpv/stream/35001676880","60","60","1","2","1","0","2","1","Liftoff"
"11","Sunday 21st July 2019 16:15","https://sullygnome.com/channel/monkeyboyfpv/stream/34990480144","225","450","2","5","3","0","13","3","Liftoff"
"12","Saturday 20th July 2019 11:15","https://sullygnome.com/channel/monkeyboyfpv/stream/34974582384","105","315","3","5","2","1","8","4","Liftoff"
"13","Saturday 20th July 2019 10:15","https://sullygnome.com/channel/monkeyboyfpv/stream/34974270704","30","90","3","4","-1","-1","0","0","SUPERHOT"
"14","Thursday 18th July 2019 20:15","https://sullygnome.com/channel/monkeyboyfpv/stream/34954651952","75","75","1","3","1","0","3","2","Liftoff"
"15","Thursday 18th July 2019 11:30","https://sullygnome.com/channel/monkeyboyfpv/stream/34949652192","150","150","1","2","0","0","3","1","Liftoff"
"16","Monday 15th July 2019 19:30","https://sullygnome.com/channel/monkeyboyfpv/stream/34916185632","90","90","1","2","0","0","0","0","Liftoff"
"17","Sunday 14th July 2019 19:45","https://sullygnome.com/channel/monkeyboyfpv/stream/34904549072","90","180","2","8","1","0","4","2","Liftoff"
"18","Sunday 14th July 2019 16:00","https://sullygnome.com/channel/monkeyboyfpv/stream/34902018640","195","585","3","8","3","0","10","2","Trials Rising"
"19","Sunday 14th July 2019 12:30","https://sullygnome.com/channel/monkeyboyfpv/stream/34900226240","135","135","1","3","1","0","4","1","Liftoff"
"20","Thursday 11th July 2019 20:00","https://sullygnome.com/channel/monkeyboyfpv/stream/34867054368","150","300","2","3","0","0","4","1","Liftoff"
"21","Tuesday 9th July 2019 20:00","https://sullygnome.com/channel/monkeyboyfpv/stream/34842019024","60","60","1","2","1","0","1","0","Liftoff"
"22","Monday 8th July 2019 17:45","https://sullygnome.com/channel/monkeyboyfpv/stream/34828032384","255","510","2","4","0","0","10","2","Liftoff"
"23","Monday 8th July 2019 16:00","https://sullygnome.com/channel/monkeyboyfpv/stream/34826806112","75","75","1","3","0","0","2","1","Trials Rising"
"24","Tuesday 2nd July 2019 21:00","https://sullygnome.com/channel/monkeyboyfpv/stream/34756393936","75","150","2","3","0","0","1","0","Liftoff"
"25","Monday 1st July 2019 21:26","https://sullygnome.com/channel/monkeyboyfpv/stream/34744411520","94","188","2","3","0","0","1","0","Liftoff"
