"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Sunday 28th July 2019 20:36","https://sullygnome.com/channel/monsoongg/stream/35077780928","369","30258","82","141","44","7","683","109","Apex Legends"
"2","Saturday 27th July 2019 20:30","https://sullygnome.com/channel/monsoongg/stream/35065669568","300","18300","61","100","43","8","478","91","Apex Legends"
"3","Friday 26th July 2019 21:37","https://sullygnome.com/channel/monsoongg/stream/35054645136","218","14824","68","94","35","9","336","89","Apex Legends"
"4","Thursday 25th July 2019 23:53","https://sullygnome.com/channel/monsoongg/stream/35044057472","337","63356","188","654","105","18","1089","189","Apex Legends"
"5","Wednesday 24th July 2019 22:00","https://sullygnome.com/channel/monsoongg/stream/35030805136","330","14850","45","85","22","3","459","79","Apex Legends"
"6","Tuesday 23rd July 2019 22:12","https://sullygnome.com/channel/monsoongg/stream/35018713824","423","26649","63","124","121","16","716","98","Apex Legends"
"7","Tuesday 23rd July 2019 01:58","https://sullygnome.com/channel/monsoongg/stream/35008731344","287","66584","232","1508","314","66","1482","312","Apex Legends"
"8","Tuesday 23rd July 2019 01:10","https://sullygnome.com/channel/monsoongg/stream/35008217664","35","245","7","11","0","0","21","28","Apex Legends"
"9","Tuesday 23rd July 2019 00:45","https://sullygnome.com/channel/monsoongg/stream/35007884544","0","0","11","11","0","0","0","0","Apex Legends"
"10","Sunday 21st July 2019 19:56","https://sullygnome.com/channel/monsoongg/stream/34992973536","154","4466","29","49","9","3","160","58","Apex Legends"
"11","Saturday 20th July 2019 20:39","https://sullygnome.com/channel/monsoongg/stream/34981128752","276","5796","21","28","30","6","201","44","Apex Legends"
"12","Saturday 20th July 2019 00:01","https://sullygnome.com/channel/monsoongg/stream/34969541568","179","1969","11","15","0","0","114","35","Apex Legends"
"13","Thursday 18th July 2019 22:50","https://sullygnome.com/channel/monsoongg/stream/34956338688","205","3280","16","32","2","0","91","28","Apex Legends"
"14","Thursday 18th July 2019 05:31","https://sullygnome.com/channel/monsoongg/stream/34947762240","59","944","16","20","9","9","34","34","Apex Legends"
"15","Wednesday 17th July 2019 21:54","https://sullygnome.com/channel/monsoongg/stream/34943283312","201","2613","13","20","1","0","105","30","Apex Legends"
"16","Tuesday 16th July 2019 21:17","https://sullygnome.com/channel/monsoongg/stream/34930241808","118","826","7","12","3","1","46","23","Apex Legends"
"17","Tuesday 16th July 2019 02:06","https://sullygnome.com/channel/monsoongg/stream/34920824160","174","1566","9","13","0","0","57","20","Apex Legends"
"18","Sunday 14th July 2019 19:35","https://sullygnome.com/channel/monsoongg/stream/34904570896","280","4480","16","23","2","0","171","36","Apex Legends"
"19","Friday 12th July 2019 23:46","https://sullygnome.com/channel/monsoongg/stream/34882119568","194","3104","16","30","14","4","110","31","Apex Legends"
"20","Wednesday 10th July 2019 20:15","https://sullygnome.com/channel/monsoongg/stream/34854945072","480","6720","14","24","3","0","242","30","Apex Legends"
"21","Tuesday 9th July 2019 23:55","https://sullygnome.com/channel/monsoongg/stream/34844800720","65","520","8","11","1","0","24","19","Apex Legends"
"22","Monday 8th July 2019 20:37","https://sullygnome.com/channel/monsoongg/stream/34830194128","68","476","7","10","0","0","17","17","Apex Legends"
"23","Sunday 7th July 2019 20:36","https://sullygnome.com/channel/monsoongg/stream/34818002800","234","3978","17","32","5","1","136","34","Apex Legends"
"24","Sunday 7th July 2019 05:19","https://sullygnome.com/channel/monsoongg/stream/34810399136","176","1936","11","14","5","1","94","31","Apex Legends"
"25","Saturday 6th July 2019 21:00","https://sullygnome.com/channel/monsoongg/stream/34805229568","75","450","6","9","0","0","38","25","The Forest,Paladins"
"26","Saturday 6th July 2019 03:12","https://sullygnome.com/channel/monsoongg/stream/34796814928","108","1512","14","22","2","1","86","49","Apex Legends"
"27","Thursday 4th July 2019 20:22","https://sullygnome.com/channel/monsoongg/stream/34781098592","263","4734","18","28","6","1","162","36","Apex Legends"
"28","Thursday 4th July 2019 02:43","https://sullygnome.com/channel/monsoongg/stream/34772673472","257","2570","10","14","3","0","146","34","Apex Legends"
"29","Tuesday 2nd July 2019 18:22","https://sullygnome.com/channel/monsoongg/stream/34754612816","143","1287","9","16","2","0","64","28","Apex Legends"
"30","Tuesday 2nd July 2019 17:15","https://sullygnome.com/channel/monsoongg/stream/34753574096","60","900","15","22","3","2","53","42","Apex Legends"
