"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Wednesday 31st July 2019 14:07","https://sullygnome.com/channel/mrmorris/stream/35111323344","203","6496","32","46","28","8","262","80","Fortnite"
"2","Tuesday 30th July 2019 14:42","https://sullygnome.com/channel/mrmorris/stream/35098399328","288","4608","16","26","21","4","287","57","Fortnite"
"3","Sunday 28th July 2019 18:20","https://sullygnome.com/channel/mrmorris/stream/35076289056","55","385","7","10","0","0","22","29","Fortnite"
"4","Saturday 27th July 2019 10:02","https://sullygnome.com/channel/mrmorris/stream/35060443392","238","6188","26","39","27","6","286","71","Fortnite"
"5","Friday 26th July 2019 19:30","https://sullygnome.com/channel/mrmorris/stream/35053190592","15","60","4","5","0","0","0","0","Fortnite"
"6","Friday 26th July 2019 17:15","https://sullygnome.com/channel/mrmorris/stream/35051745440","0","0","4","4","0","0","0","0","Fortnite"
"7","Thursday 25th July 2019 17:41","https://sullygnome.com/channel/mrmorris/stream/35040017360","169","2197","13","20","7","2","125","41","Fortnite"
"8","Thursday 25th July 2019 12:45","https://sullygnome.com/channel/mrmorris/stream/35037396048","90","1350","15","18","8","4","95","54","Fortnite"
"9","Tuesday 23rd July 2019 20:35","https://sullygnome.com/channel/mrmorris/stream/35017664304","295","9440","32","52","64","12","424","84","Fortnite"
"10","Tuesday 23rd July 2019 01:17","https://sullygnome.com/channel/mrmorris/stream/35008297120","223","4683","21","32","19","4","179","44","Fortnite"
"11","Monday 22nd July 2019 18:35","https://sullygnome.com/channel/mrmorris/stream/35003790832","130","2600","20","27","17","7","138","61","Fortnite"
"12","Sunday 21st July 2019 13:57","https://sullygnome.com/channel/mrmorris/stream/34989219568","408","12240","30","64","26","3","599","88","Unlisted on Twitch,Fortnite"
"13","Sunday 21st July 2019 11:30","https://sullygnome.com/channel/mrmorris/stream/34988005664","15","60","4","5","0","0","0","0","Unlisted on Twitch"
"14","Saturday 20th July 2019 23:30","https://sullygnome.com/channel/mrmorris/stream/34982935856","0","0","7","7","0","0","0","0","Unlisted on Twitch"
"15","Saturday 20th July 2019 18:39","https://sullygnome.com/channel/mrmorris/stream/34979694656","171","2736","16","25","17","5","129","43","Fortnite"
"16","Friday 19th July 2019 16:19","https://sullygnome.com/channel/mrmorris/stream/34964394080","386","5404","14","21","24","3","254","39","Fortnite"
"17","Friday 19th July 2019 11:36","https://sullygnome.com/channel/mrmorris/stream/34962102176","174","2610","15","20","15","5","121","40","Fortnite"
"18","Wednesday 17th July 2019 16:25","https://sullygnome.com/channel/mrmorris/stream/34939440288","170","2720","16","31","15","5","120","40","Fortnite"
"19","Tuesday 16th July 2019 09:33","https://sullygnome.com/channel/mrmorris/stream/34923730640","87","870","10","15","5","3","28","18","Fortnite"
"20","Monday 15th July 2019 14:26","https://sullygnome.com/channel/mrmorris/stream/34913257072","229","3664","16","27","26","6","210","56","Fortnite"
"21","Sunday 14th July 2019 23:04","https://sullygnome.com/channel/mrmorris/stream/34906818640","161","1127","7","12","13","4","68","24","Fortnite"
"22","Sunday 14th July 2019 17:19","https://sullygnome.com/channel/mrmorris/stream/34902936496","146","1022","7","9","0","0","49","24","Fortnite"
"23","Saturday 13th July 2019 17:15","https://sullygnome.com/channel/mrmorris/stream/34890181488","210","2940","14","33","42","11","287","76","Fortnite"
"24","Saturday 13th July 2019 11:45","https://sullygnome.com/channel/mrmorris/stream/34887416960","180","2700","15","23","26","8","97","29","Fortnite"
"25","Friday 12th July 2019 20:32","https://sullygnome.com/channel/mrmorris/stream/34880092592","73","511","7","14","-1","0","21","16","Fortnite"
"26","Friday 12th July 2019 10:36","https://sullygnome.com/channel/mrmorris/stream/34874500560","159","1113","7","15","11","4","33","14","Fortnite"
"27","Monday 8th July 2019 18:04","https://sullygnome.com/channel/mrmorris/stream/34828322944","56","448","8","9","4","4","31","31","Fortnite"
"28","Saturday 6th July 2019 20:22","https://sullygnome.com/channel/mrmorris/stream/34805256256","98","1666","17","24","3","1","77","44","Fortnite,Counter-Strike: Global Offensive"
"29","Friday 5th July 2019 20:00","https://sullygnome.com/channel/mrmorris/stream/34792268912","15","30","2","2","0","0","0","0","Counter-Strike: Global Offensive"
"30","Thursday 4th July 2019 16:38","https://sullygnome.com/channel/mrmorris/stream/34778530080","127","1016","8","11","4","1","34","15","Just Chatting,Fortnite"
"31","Wednesday 3rd July 2019 22:50","https://sullygnome.com/channel/mrmorris/stream/34770301184","205","2050","10","16","5","1","70","21","Rust,Fortnite,Business Tour,Counter-Strike: Global Offensive,Just Chatting"
"32","Monday 1st July 2019 06:45","https://sullygnome.com/channel/mrmorris/stream/34737121296","60","240","4","6","1","0","3","2","Fortnite,Rust"
