"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Monday 29th July 2019 17:15","https://sullygnome.com/channel/mr_grin_/stream/35087096640","120","240","2","4","0","0","21","9","Heroes of Might and Magic III: The Shadow of Death"
"2","Sunday 28th July 2019 08:18","https://sullygnome.com/channel/mr_grin_/stream/35071628848","207","2277","11","20","3","0","76","21","Age of Empires II"
"3","Saturday 27th July 2019 13:45","https://sullygnome.com/channel/mr_grin_/stream/35061829088","0","0","1","1","0","0","0","0","Age of Empires II"
"4","Saturday 27th July 2019 08:52","https://sullygnome.com/channel/mr_grin_/stream/35060089104","113","904","8","11","0","0","33","18","Age of Empires II"
"5","Friday 26th July 2019 19:15","https://sullygnome.com/channel/mr_grin_/stream/35052682528","75","75","1","2","0","0","9","6","Heroes of Might and Magic III: The Shadow of Death"
"6","Tuesday 23rd July 2019 17:04","https://sullygnome.com/channel/mr_grin_/stream/35015183040","146","876","6","9","0","0","31","13","Age of Empires II"
"7","Monday 22nd July 2019 16:45","https://sullygnome.com/channel/mr_grin_/stream/35002519584","135","810","6","11","1","0","54","21","Age of Empires II"
"8","Sunday 21st July 2019 16:48","https://sullygnome.com/channel/mr_grin_/stream/34990783312","252","2016","8","12","0","0","111","24","Age of Empires II"
"9","Thursday 4th July 2019 18:15","https://sullygnome.com/channel/mr_grin_/stream/34779548592","90","180","2","5","0","0","14","8","Heroes of Might and Magic III: The Shadow of Death"
"10","Tuesday 2nd July 2019 17:00","https://sullygnome.com/channel/mr_grin_/stream/34753467392","195","195","1","4","0","0","29","8","Heroes of Might and Magic III: The Shadow of Death"
