"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Albion Online","13275","98955","6","28","2591","11.710734"
"2","Conan Exiles","1365","14295","9","38","473","20.791208"
"3","The Cycle","1200","7485","4","15","232","11.6"
"4","Music","285","1020","3","8","51","10.736842"
"5","Apex Legends","285","1860","6","10","35","7.368421"
"6","The Elder Scrolls Online","240","675","2","6","25","6.25"
"7","PUBG: BATTLEGROUNDS","225","630","3","5","52","13.866666"
"8","League of Legends","165","300","1","4","18","6.545454"
"9","Russian Fishing 4","120","795","8","10","16","8"
"10","Paladins","60","90","1","2","9","9"
"11","Teamfight Tactics","45","165","3","4","2","2.666666"
"12","Just Chatting","30","75","2","3","3","6"
"13","Fishing Planet","15","45","3","3","0","0"
