"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Wednesday 31st July 2019 12:26","https://sullygnome.com/channel/multiplayerarg/stream/35110531152","214","1284","6","11","9","2","12","3","Minecraft"
"2","Tuesday 30th July 2019 21:37","https://sullygnome.com/channel/multiplayerarg/stream/35103042304","113","565","5","8","0","0","15","7","Mario Kart 8"
"3","Tuesday 30th July 2019 12:33","https://sullygnome.com/channel/multiplayerarg/stream/35097361712","162","1134","7","11","7","2","13","4","Minecraft"
"4","Monday 29th July 2019 23:07","https://sullygnome.com/channel/multiplayerarg/stream/35091377344","98","686","7","10","1","0","9","5","Splatoon 2"
"5","Monday 29th July 2019 13:00","https://sullygnome.com/channel/multiplayerarg/stream/35084988064","240","1440","6","11","13","3","20","4","Minecraft"
"6","Sunday 28th July 2019 19:06","https://sullygnome.com/channel/multiplayerarg/stream/35076802144","174","870","5","10","2","0","14","4","Super Mario Maker 2"
"7","Saturday 27th July 2019 14:01","https://sullygnome.com/channel/multiplayerarg/stream/35062010352","179","1253","7","15","10","3","40","12","Minecraft"
"8","Thursday 25th July 2019 21:34","https://sullygnome.com/channel/multiplayerarg/stream/35042638288","11","33","3","6","0","0","0","0","Splatoon 2"
"9","Thursday 25th July 2019 12:22","https://sullygnome.com/channel/multiplayerarg/stream/35037318592","263","1841","7","14","16","3","33","7","Minecraft"
"10","Wednesday 24th July 2019 20:30","https://sullygnome.com/channel/multiplayerarg/stream/35029839776","120","720","6","18","8","3","28","12","Mario Kart 8"
"11","Wednesday 24th July 2019 12:27","https://sullygnome.com/channel/multiplayerarg/stream/35025093040","213","1278","6","14","8","2","30","8","Minecraft"
"12","Tuesday 23rd July 2019 21:49","https://sullygnome.com/channel/multiplayerarg/stream/35018469520","131","655","5","8","5","2","16","6","Super Mario Maker 2"
"13","Tuesday 23rd July 2019 12:22","https://sullygnome.com/channel/multiplayerarg/stream/35012784000","158","948","6","10","4","1","15","5","Minecraft"
"14","Monday 22nd July 2019 20:59","https://sullygnome.com/channel/multiplayerarg/stream/35005514016","136","680","5","8","12","4","7","2","Super Mario Maker 2"
"15","Monday 22nd July 2019 12:40","https://sullygnome.com/channel/multiplayerarg/stream/35000469040","140","560","4","6","3","1","8","3","Minecraft"
"16","Sunday 21st July 2019 19:04","https://sullygnome.com/channel/multiplayerarg/stream/34992365696","131","786","6","10","6","2","21","9","Super Mario Maker 2"
"17","Friday 19th July 2019 21:53","https://sullygnome.com/channel/multiplayerarg/stream/34968227728","112","784","7","9","2","1","11","5","Splatoon 2"
"18","Friday 19th July 2019 12:48","https://sullygnome.com/channel/multiplayerarg/stream/34962569312","177","1239","7","14","16","5","20","6","Minecraft"
"19","Thursday 18th July 2019 12:46","https://sullygnome.com/channel/multiplayerarg/stream/34950154496","194","776","4","8","6","1","16","4","Minecraft"
"20","Wednesday 17th July 2019 22:30","https://sullygnome.com/channel/multiplayerarg/stream/34943498464","90","540","6","9","4","2","7","4","Apex Legends"
"21","Wednesday 17th July 2019 12:00","https://sullygnome.com/channel/multiplayerarg/stream/34937209008","180","900","5","8","4","1","9","2","Minecraft"
"22","Tuesday 16th July 2019 21:48","https://sullygnome.com/channel/multiplayerarg/stream/34930579376","117","819","7","8","3","1","6","3","Super Mario Maker 2"
"23","Tuesday 16th July 2019 12:00","https://sullygnome.com/channel/multiplayerarg/stream/34924498192","210","1260","6","13","4","1","19","5","Minecraft"
"24","Monday 15th July 2019 20:54","https://sullygnome.com/channel/multiplayerarg/stream/34917493568","156","624","4","6","2","0","6","2","Super Mario Maker 2"
"25","Monday 15th July 2019 12:55","https://sullygnome.com/channel/multiplayerarg/stream/34912167040","140","980","7","13","6","1","24","7","Minecraft"
"26","Saturday 13th July 2019 19:15","https://sullygnome.com/channel/multiplayerarg/stream/34891750672","0","0","3","3","0","0","0","0","Apex Legends"
"27","Friday 12th July 2019 23:12","https://sullygnome.com/channel/multiplayerarg/stream/34881788160","108","432","4","6","1","0","4","2","Mario Kart 8"
"28","Friday 12th July 2019 11:58","https://sullygnome.com/channel/multiplayerarg/stream/34874996288","227","1362","6","10","7","1","9","2","Minecraft"
"29","Thursday 11th July 2019 21:57","https://sullygnome.com/channel/multiplayerarg/stream/34868531200","93","558","6","8","1","0","12","6","Splatoon 2"
"30","Thursday 11th July 2019 12:09","https://sullygnome.com/channel/multiplayerarg/stream/34862596272","201","1407","7","10","10","2","14","4","Minecraft"
"31","Wednesday 10th July 2019 18:05","https://sullygnome.com/channel/multiplayerarg/stream/34853370352","130","390","3","6","1","0","12","5","Apex Legends"
"32","Tuesday 9th July 2019 20:45","https://sullygnome.com/channel/multiplayerarg/stream/34842641232","210","1260","6","8","1","0","17","4","Super Mario Maker 2"
"33","Tuesday 9th July 2019 15:15","https://sullygnome.com/channel/multiplayerarg/stream/34838863792","105","840","8","10","6","3","8","4","Minecraft"
"34","Monday 8th July 2019 20:51","https://sullygnome.com/channel/multiplayerarg/stream/34830347424","114","570","5","11","4","1","32","14","Mario Kart 8"
"35","Monday 8th July 2019 13:00","https://sullygnome.com/channel/multiplayerarg/stream/34825432784","150","600","4","7","0","0","7","2","Minecraft"
"36","Saturday 6th July 2019 21:52","https://sullygnome.com/channel/multiplayerarg/stream/34806259104","158","1106","7","11","2","0","16","5","Splatoon 2"
"37","Saturday 6th July 2019 14:56","https://sullygnome.com/channel/multiplayerarg/stream/34801689312","154","308","2","4","0","0","8","2","Minecraft"
"38","Friday 5th July 2019 22:11","https://sullygnome.com/channel/multiplayerarg/stream/34793771152","109","545","5","8","1","0","6","3","Apex Legends"
"39","Friday 5th July 2019 12:45","https://sullygnome.com/channel/multiplayerarg/stream/34787913936","165","990","6","8","5","1","21","7","Minecraft"
"40","Thursday 4th July 2019 22:21","https://sullygnome.com/channel/multiplayerarg/stream/34782265344","129","516","4","7","0","0","15","7","Super Mario Maker 2"
"41","Thursday 4th July 2019 22:00","https://sullygnome.com/channel/multiplayerarg/stream/34782050208","15","30","2","4","0","0","11","22","Super Mario Maker 2"
"42","Thursday 4th July 2019 12:24","https://sullygnome.com/channel/multiplayerarg/stream/34776380368","156","780","5","11","3","1","14","5","Minecraft"
"43","Wednesday 3rd July 2019 21:33","https://sullygnome.com/channel/multiplayerarg/stream/34769503280","162","810","5","9","3","1","5","1","Apex Legends"
"44","Wednesday 3rd July 2019 12:30","https://sullygnome.com/channel/multiplayerarg/stream/34763810288","150","750","5","8","2","0","19","6","Minecraft"
"45","Tuesday 2nd July 2019 12:30","https://sullygnome.com/channel/multiplayerarg/stream/34751203504","180","1260","7","12","3","0","30","9","Minecraft"
"46","Tuesday 2nd July 2019 02:30","https://sullygnome.com/channel/multiplayerarg/stream/34747317968","45","180","4","7","1","1","2","2","Mario Kart 8"
"47","Monday 1st July 2019 22:42","https://sullygnome.com/channel/multiplayerarg/stream/34745185760","93","465","5","7","1","0","12","6","Splatoon 2"
