"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Wednesday 31st July 2019 18:05","https://sullygnome.com/channel/munro78/stream/35110987168","205","1230","6","15","8","0","71","8","WWE SuperCard"
"2","Tuesday 30th July 2019 19:07","https://sullygnome.com/channel/munro78/stream/35101139888","188","940","5","11","2","0","28","8","WWE SuperCard"
"3","Tuesday 30th July 2019 17:22","https://sullygnome.com/channel/munro78/stream/35099990256","53","159","3","5","0","0","0","0","Euro Truck Simulator 2"
"4","Tuesday 30th July 2019 16:30","https://sullygnome.com/channel/munro78/stream/35099314736","15","15","1","1","0","0","0","0","Euro Truck Simulator 2"
"5","Saturday 27th July 2019 20:15","https://sullygnome.com/channel/munro78/stream/35065659632","240","1680","7","24","6","1","35","8","WWE SuperCard"
"6","Friday 26th July 2019 20:47","https://sullygnome.com/channel/munro78/stream/35053794464","73","292","4","6","1","0","12","6","WWE SuperCard"
"7","Friday 26th July 2019 20:00","https://sullygnome.com/channel/munro78/stream/35053470016","0","0","3","4","1","4","6","24","WWE SuperCard"
"8","Thursday 25th July 2019 18:45","https://sullygnome.com/channel/munro78/stream/35040713664","195","0","0","3","1","0","10","2","Euro Truck Simulator 2,WWE SuperCard"
"9","Wednesday 24th July 2019 21:15","https://sullygnome.com/channel/munro78/stream/35029908512","75","225","3","5","0","0","7","4","WWE SuperCard"
"10","Wednesday 24th July 2019 18:15","https://sullygnome.com/channel/munro78/stream/35027990688","135","540","4","8","2","0","15","6","WWE SuperCard"
"11","Monday 22nd July 2019 13:22","https://sullygnome.com/channel/munro78/stream/35000783936","578","2312","4","10","7","0","49","5","WWE SuperCard"
"12","Monday 22nd July 2019 10:00","https://sullygnome.com/channel/munro78/stream/34999528864","90","270","3","6","1","0","19","10","WWE SuperCard"
"13","Monday 22nd July 2019 09:30","https://sullygnome.com/channel/munro78/stream/34999374768","0","0","2","2","0","0","0","0","WWE SuperCard"
