"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Wednesday 31st July 2019 05:10","https://sullygnome.com/channel/mysteli/stream/35107922528","230","1840","8","11","0","0","37","9","Yooka-Laylee,Muse Dash"
"2","Tuesday 30th July 2019 06:07","https://sullygnome.com/channel/mysteli/stream/35095230576","263","2104","8","11","0","0","41","9","My Time at Portia,A Hat in Time"
"3","Sunday 28th July 2019 05:43","https://sullygnome.com/channel/mysteli/stream/35070783424","242","2904","12","38","7","1","72","16","A Hat in Time"
"4","Saturday 27th July 2019 21:11","https://sullygnome.com/channel/mysteli/stream/35066214048","34","374","11","14","0","0","8","10","VRChat"
"5","Saturday 27th July 2019 04:08","https://sullygnome.com/channel/mysteli/stream/35058409024","397","4764","12","20","22","3","72","10","A Hat in Time,VRChat"
"6","Friday 26th July 2019 05:13","https://sullygnome.com/channel/mysteli/stream/35047048944","392","5096","13","23","29","4","115","17","A Hat in Time,VRChat"
"7","Thursday 25th July 2019 03:37","https://sullygnome.com/channel/mysteli/stream/35034291120","278","3336","12","23","16","3","100","21","VRChat"
"8","Wednesday 24th July 2019 05:17","https://sullygnome.com/channel/mysteli/stream/35022818576","268","2680","10","24","7","1","78","16","A Hat in Time"
"9","Tuesday 23rd July 2019 07:00","https://sullygnome.com/channel/mysteli/stream/35011004080","255","4080","16","28","22","5","101","23","VRChat"
"10","Tuesday 23rd July 2019 04:00","https://sullygnome.com/channel/mysteli/stream/35009873216","165","1650","10","13","1","0","42","15","Muse Dash,My Time at Portia"
"11","Saturday 20th July 2019 22:58","https://sullygnome.com/channel/mysteli/stream/34982651952","452","3616","8","14","9","1","72","9","VRChat"
"12","Saturday 20th July 2019 10:01","https://sullygnome.com/channel/mysteli/stream/34972910688","89","801","9","19","6","1","95","17","Muse Dash,VRChat"
"13","Friday 19th July 2019 06:45","https://sullygnome.com/channel/mysteli/stream/34960535888","285","1710","6","12","17","3","76","15","VRChat"
"14","Thursday 18th July 2019 07:56","https://sullygnome.com/channel/mysteli/stream/34948516512","199","1791","9","19","5","1","54","15","Beat Saber,VRChat"
"15","Wednesday 17th July 2019 02:58","https://sullygnome.com/channel/mysteli/stream/34933928592","407","7326","18","26","35","5","191","27","VRChat"
"16","Tuesday 16th July 2019 04:33","https://sullygnome.com/channel/mysteli/stream/34922120400","147","1617","11","21","4","1","32","11","VRChat"
"17","Sunday 14th July 2019 06:38","https://sullygnome.com/channel/mysteli/stream/34898206736","247","2470","10","17","9","2","58","13","VRChat"
"18","Saturday 13th July 2019 04:21","https://sullygnome.com/channel/mysteli/stream/34884859376","264","1848","7","13","15","3","44","9","VRChat"
"19","Friday 12th July 2019 09:36","https://sullygnome.com/channel/mysteli/stream/34874190336","114","456","4","7","3","1","21","10","Kittypocalypse,VRChat"
"20","Thursday 11th July 2019 03:45","https://sullygnome.com/channel/mysteli/stream/34859710384","495","5940","12","34","24","2","223","26","Muse Dash,Risk of Rain 2"
"21","Wednesday 10th July 2019 02:53","https://sullygnome.com/channel/mysteli/stream/34846723840","442","4862","11","37","30","4","128","17","My Time at Portia,VRChat"
"22","Monday 8th July 2019 23:03","https://sullygnome.com/channel/mysteli/stream/34831761840","207","828","4","7","2","0","31","8","VRChat"
"23","Saturday 6th July 2019 23:45","https://sullygnome.com/channel/mysteli/stream/34807211344","180","900","5","9","2","0","26","8","Windlands 2,VRChat"
"24","Friday 5th July 2019 22:34","https://sullygnome.com/channel/mysteli/stream/34794007232","431","4741","11","16","9","1","65","9","VRChat,Windlands 2"
