"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Saturday 27th July 2019 20:15","https://sullygnome.com/channel/nba2kleague/stream/35065596896","45","83970","1866","1892","14","14","10116","10116","NBA 2K19"
"2","Friday 26th July 2019 20:54","https://sullygnome.com/channel/nba2kleague/stream/35054195616","246","2511414","10209","14274","312","73","583713","137344","NBA 2K19"
"3","Friday 26th July 2019 18:00","https://sullygnome.com/channel/nba2kleague/stream/35052251408","60","95040","1584","2293","7","7","11653","11653","NBA 2K19"
"4","Thursday 25th July 2019 20:55","https://sullygnome.com/channel/nba2kleague/stream/35042223968","290","3864830","13327","17508","564","112","1095467","219093","NBA 2K19"
"5","Thursday 25th July 2019 18:15","https://sullygnome.com/channel/nba2kleague/stream/35040222240","45","59850","1330","1837","20","20","488","488","NBA 2K19"
"6","Wednesday 24th July 2019 21:00","https://sullygnome.com/channel/nba2kleague/stream/35030114640","255","3567960","13992","16720","659","146","1057884","235085","NBA 2K19"
"7","Saturday 20th July 2019 18:00","https://sullygnome.com/channel/nba2kleague/stream/34979200160","45","80775","1795","1845","11","14","7251","9668","NBA 2K19"
"8","Friday 19th July 2019 21:51","https://sullygnome.com/channel/nba2kleague/stream/34968203376","294","2118564","7206","13601","274","54","649209","129841","NBA 2K19"
"9","Friday 19th July 2019 18:00","https://sullygnome.com/channel/nba2kleague/stream/34965490656","45","41895","931","970","8","10","258","344","NBA 2K19"
"10","Thursday 18th July 2019 21:52","https://sullygnome.com/channel/nba2kleague/stream/34955725968","293","2711129","9253","15989","397","79","793074","158614","NBA 2K19"
"11","Thursday 18th July 2019 18:00","https://sullygnome.com/channel/nba2kleague/stream/34953025232","60","89460","1491","1804","18","18","6158","6158","NBA 2K19"
"12","Wednesday 17th July 2019 21:54","https://sullygnome.com/channel/nba2kleague/stream/34943282048","306","2379762","7777","12605","371","74","693585","138717","NBA 2K19"
"13","Saturday 13th July 2019 18:15","https://sullygnome.com/channel/nba2kleague/stream/34890942080","30","47100","1570","2068","16","21","297","396","NBA 2K19"
"14","Friday 12th July 2019 21:55","https://sullygnome.com/channel/nba2kleague/stream/34880985856","290","2163980","7462","13985","307","61","678671","135734","NBA 2K19"
"15","Friday 12th July 2019 18:15","https://sullygnome.com/channel/nba2kleague/stream/34878217456","45","38250","850","895","11","11","1835","1835","NBA 2K19"
"16","Thursday 11th July 2019 21:52","https://sullygnome.com/channel/nba2kleague/stream/34868473712","203","1701952","8384","15235","174","49","562848","160813","NBA 2K19"
"17","Thursday 11th July 2019 18:23","https://sullygnome.com/channel/nba2kleague/stream/34866050160","52","67080","1290","1989","15","15","2991","2991","NBA 2K19"
"18","Wednesday 10th July 2019 21:55","https://sullygnome.com/channel/nba2kleague/stream/34856034768","290","2050010","7069","12801","250","50","665666","133133","NBA 2K19"
