"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Wednesday 31st July 2019 23:45","https://sullygnome.com/channel/negaral/stream/35117635104","120","360","3","7","1","0","26","11","League of Legends"
"2","Tuesday 30th July 2019 02:00","https://sullygnome.com/channel/negaral/stream/35092998576","75","75","1","2","0","0","0","0","League of Legends"
"3","Monday 29th July 2019 23:45","https://sullygnome.com/channel/negaral/stream/35091776960","30","30","1","1","0","0","7","9","League of Legends"
"4","Sunday 28th July 2019 22:55","https://sullygnome.com/channel/negaral/stream/35079204528","155","465","3","10","1","0","46","16","League of Legends"
"5","Sunday 28th July 2019 14:30","https://sullygnome.com/channel/negaral/stream/35073998240","120","360","3","6","1","0","15","6","League of Legends"
"6","Sunday 28th July 2019 02:00","https://sullygnome.com/channel/negaral/stream/35068823392","120","120","1","3","4","1","20","8","League of Legends"
"7","Saturday 27th July 2019 21:30","https://sullygnome.com/channel/negaral/stream/35066292928","90","90","1","4","0","0","11","6","League of Legends"
"8","Saturday 27th July 2019 14:45","https://sullygnome.com/channel/negaral/stream/35062351568","180","360","2","4","1","0","22","6","League of Legends"
"9","Friday 26th July 2019 23:38","https://sullygnome.com/channel/negaral/stream/35055811424","367","734","2","6","6","0","51","8","League of Legends"
"10","Friday 26th July 2019 00:42","https://sullygnome.com/channel/negaral/stream/35044582656","153","459","3","5","3","1","34","12","Counter-Strike: Global Offensive,League of Legends"
"11","Thursday 25th July 2019 00:00","https://sullygnome.com/channel/negaral/stream/35031992720","90","90","1","3","2","1","8","4","League of Legends"
"12","Tuesday 23rd July 2019 23:00","https://sullygnome.com/channel/negaral/stream/35019135376","210","210","1","10","1","0","24","6","League of Legends"
"13","Monday 22nd July 2019 21:45","https://sullygnome.com/channel/negaral/stream/35005986832","285","285","1","2","0","0","18","3","League of Legends"
"14","Monday 22nd July 2019 15:00","https://sullygnome.com/channel/negaral/stream/35001483392","105","210","2","5","2","1","16","8","League of Legends"
"15","Monday 22nd July 2019 00:36","https://sullygnome.com/channel/negaral/stream/34995807392","264","264","1","5","1","0","37","8","League of Legends"
"16","Saturday 20th July 2019 02:15","https://sullygnome.com/channel/negaral/stream/34970373056","225","225","1","3","-1","0","20","5","League of Legends"
"17","Thursday 18th July 2019 23:00","https://sullygnome.com/channel/negaral/stream/34956233504","345","345","1","4","6","1","36","6","League of Legends"
"18","Tuesday 16th July 2019 22:24","https://sullygnome.com/channel/negaral/stream/34930978528","291","582","2","5","1","0","26","5","League of Legends"
"19","Sunday 14th July 2019 20:30","https://sullygnome.com/channel/negaral/stream/34905173056","405","405","1","5","2","0","55","7","League of Legends"
"20","Thursday 11th July 2019 23:15","https://sullygnome.com/channel/negaral/stream/34869254288","225","225","1","2","1","0","24","6","League of Legends"
"21","Thursday 11th July 2019 01:00","https://sullygnome.com/channel/negaral/stream/34857901424","150","150","1","2","2","0","16","5","League of Legends"
"22","Wednesday 10th July 2019 21:45","https://sullygnome.com/channel/negaral/stream/34855842208","165","330","2","4","1","0","20","6","Counter-Strike: Global Offensive,Just Chatting,League of Legends"
"23","Tuesday 9th July 2019 23:45","https://sullygnome.com/channel/negaral/stream/34844733552","225","225","1","3","2","0","24","6","Apex Legends,League of Legends,Counter-Strike: Global Offensive"
"24","Tuesday 9th July 2019 21:45","https://sullygnome.com/channel/negaral/stream/34843300752","45","45","1","3","0","0","4","4","Apex Legends"
"25","Sunday 7th July 2019 23:30","https://sullygnome.com/channel/negaral/stream/34819677744","255","255","1","7","1","0","31","6","League of Legends"
"26","Sunday 7th July 2019 20:15","https://sullygnome.com/channel/negaral/stream/34817759008","120","120","1","3","0","0","10","4","Apex Legends"
"27","Saturday 6th July 2019 14:30","https://sullygnome.com/channel/negaral/stream/34801461856","195","195","1","2","0","0","7","2","Apex Legends"
"28","Friday 5th July 2019 23:45","https://sullygnome.com/channel/negaral/stream/34794630176","315","630","2","5","5","0","63","11","League of Legends,Apex Legends"
"29","Thursday 4th July 2019 22:30","https://sullygnome.com/channel/negaral/stream/34782008016","210","210","1","3","5","1","30","8","Apex Legends,League of Legends"
"30","Wednesday 3rd July 2019 22:30","https://sullygnome.com/channel/negaral/stream/34770086464","210","210","1","6","2","0","25","6","League of Legends,Just Chatting"
"31","Tuesday 2nd July 2019 22:30","https://sullygnome.com/channel/negaral/stream/34757559280","255","510","2","6","5","1","46","10","League of Legends"
"32","Monday 1st July 2019 23:15","https://sullygnome.com/channel/negaral/stream/34745470480","210","210","1","5","0","0","41","10","League of Legends"
