"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","FINAL FANTASY XIV ONLINE","4335","28200","5","26","459","6.352941"
"2","Teamfight Tactics","2235","17370","7","22","306","8.214765"
"3","Grand Theft Auto V","420","4170","9","13","44","6.285714"
"4","Overcooked! 2","255","1635","5","10","24","5.647058"
"5","World of Warcraft","240","990","3","8","32","8"
"6","Fortnite","195","1305","6","9","43","13.230769"
"7","Apex Legends","195","1725","8","14","40","12.307692"
"8","Grand Theft Auto Online","120","735","6","8","16","8"
"9","We Were Here Too","120","465","3","8","27","13.5"
"10","100% Orange Juice","75","705","9","11","11","8.8"
"11","Just Chatting","15","120","8","8","0","0"
