"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Wednesday 31st July 2019 15:42","https://sullygnome.com/channel/ogrstv/stream/35112137472","183","50691","277","320","3","1","271","90","League of Legends"
"2","Wednesday 31st July 2019 09:09","https://sullygnome.com/channel/ogrstv/stream/35109373536","156","23244","149","168","3","1","98","35","League of Legends,Dota 2"
"3","Tuesday 30th July 2019 16:00","https://sullygnome.com/channel/ogrstv/stream/35099082592","60","14760","246","318","3","2","40","32","League of Legends"
"4","Tuesday 30th July 2019 08:00","https://sullygnome.com/channel/ogrstv/stream/35095789520","150","18900","126","168","2","0","128","46","League of Legends"
"5","Monday 29th July 2019 15:53","https://sullygnome.com/channel/ogrstv/stream/35086434096","157","54008","344","407","4","1","226","82","League of Legends"
"6","Monday 29th July 2019 07:34","https://sullygnome.com/channel/ogrstv/stream/35083182224","56","4872","87","114","1","1","29","29","League of Legends"
"7","Sunday 28th July 2019 15:39","https://sullygnome.com/channel/ogrstv/stream/35074636544","21","8253","393","411","0","0","6","12","League of Legends"
"8","Saturday 27th July 2019 16:18","https://sullygnome.com/channel/ogrstv/stream/35063193088","102","33966","333","408","2","1","112","56","League of Legends"
"9","Saturday 27th July 2019 08:03","https://sullygnome.com/channel/ogrstv/stream/35059853200","57","7182","126","148","0","0","34","34","League of Legends"
"10","Friday 26th July 2019 15:01","https://sullygnome.com/channel/ogrstv/stream/35050558944","194","55872","288","367","4","1","246","75","League of Legends"
"11","Friday 26th July 2019 05:56","https://sullygnome.com/channel/ogrstv/stream/35047308016","124","14012","113","139","1","0","69","30","League of Legends,Just Chatting"
"12","Thursday 25th July 2019 15:13","https://sullygnome.com/channel/ogrstv/stream/35038600592","212","53636","253","335","2","0","182","48","League of Legends"
"13","Thursday 25th July 2019 08:07","https://sullygnome.com/channel/ogrstv/stream/35035939376","173","24912","144","191","2","0","223","81","League of Legends"
"14","Wednesday 24th July 2019 14:35","https://sullygnome.com/channel/ogrstv/stream/35026060992","175","162225","927","1341","5","1","361","131","League of Legends"
"15","Wednesday 24th July 2019 06:50","https://sullygnome.com/channel/ogrstv/stream/35023324000","130","12480","96","125","1","0","86","38","League of Legends"
"16","Tuesday 23rd July 2019 15:07","https://sullygnome.com/channel/ogrstv/stream/35014056992","188","43992","234","263","3","0","152","46","League of Legends"
"17","Tuesday 23rd July 2019 07:27","https://sullygnome.com/channel/ogrstv/stream/35011137056","198","51876","262","340","6","1","262","80","League of Legends"
"18","Monday 22nd July 2019 07:05","https://sullygnome.com/channel/ogrstv/stream/34998717024","145","21605","149","196","3","1","106","42","League of Legends"
"19","Sunday 21st July 2019 06:46","https://sullygnome.com/channel/ogrstv/stream/34986588832","179","32936","184","228","1","0","100","36","Dota 2"
"20","Saturday 20th July 2019 15:07","https://sullygnome.com/channel/ogrstv/stream/34976558016","158","45188","286","425","3","1","120","43","League of Legends"
"21","Saturday 20th July 2019 07:55","https://sullygnome.com/channel/ogrstv/stream/34973542192","140","15540","111","148","4","1","121","48","League of Legends"
"22","Friday 19th July 2019 16:07","https://sullygnome.com/channel/ogrstv/stream/34964283584","158","33338","211","250","1","0","138","50","League of Legends"
"23","Friday 19th July 2019 08:27","https://sullygnome.com/channel/ogrstv/stream/34961090496","183","23058","126","150","1","0","106","35","League of Legends"
"24","Thursday 18th July 2019 14:36","https://sullygnome.com/channel/ogrstv/stream/34951005840","189","45549","241","273","2","0","276","84","League of Legends"
"25","Thursday 18th July 2019 07:47","https://sullygnome.com/channel/ogrstv/stream/34948474128","103","14214","138","163","2","1","63","36","League of Legends"
"26","Wednesday 17th July 2019 16:15","https://sullygnome.com/channel/ogrstv/stream/34939209392","135","167535","1241","1334","3","1","408","163","League of Legends,Just Chatting"
"27","Wednesday 17th July 2019 08:41","https://sullygnome.com/channel/ogrstv/stream/34936088976","124","27900","225","271","5","2","107","53","League of Legends"
"28","Tuesday 16th July 2019 14:45","https://sullygnome.com/channel/ogrstv/stream/34925776864","180","100620","559","1070","1","0","302","92","League of Legends"
"29","Tuesday 16th July 2019 08:45","https://sullygnome.com/channel/ogrstv/stream/34923461952","195","44460","228","395","6","1","222","63","League of Legends"
"30","Monday 15th July 2019 14:38","https://sullygnome.com/channel/ogrstv/stream/34913357200","157","34226","218","247","2","0","105","38","League of Legends"
"31","Sunday 14th July 2019 14:04","https://sullygnome.com/channel/ogrstv/stream/34901035280","146","58546","401","468","-1","0","171","68","League of Legends"
"32","Friday 12th July 2019 13:59","https://sullygnome.com/channel/ogrstv/stream/34875890416","241","101220","420","522","6","1","272","64","League of Legends"
"33","Friday 12th July 2019 07:14","https://sullygnome.com/channel/ogrstv/stream/34873491744","181","28055","155","187","1","0","161","49","League of Legends"
"34","Thursday 11th July 2019 15:03","https://sullygnome.com/channel/ogrstv/stream/34863933600","207","69345","335","418","8","2","401","106","League of Legends"
"35","Thursday 11th July 2019 07:55","https://sullygnome.com/channel/ogrstv/stream/34861207072","140","23380","167","200","4","1","152","67","League of Legends"
"36","Tuesday 9th July 2019 14:40","https://sullygnome.com/channel/ogrstv/stream/34838697296","170","88910","523","836","2","0","317","105","League of Legends"
"37","Tuesday 9th July 2019 07:00","https://sullygnome.com/channel/ogrstv/stream/34835873488","165","24750","150","182","2","0","176","58","League of Legends"
"38","Monday 8th July 2019 15:03","https://sullygnome.com/channel/ogrstv/stream/34826431168","252","248724","987","1173","10","2","632","148","League of Legends,Teamfight Tactics"
"39","Monday 8th July 2019 08:40","https://sullygnome.com/channel/ogrstv/stream/34823889152","95","10545","111","127","0","0","62","35","League of Legends"
"40","Saturday 6th July 2019 16:00","https://sullygnome.com/channel/ogrstv/stream/34802130448","60","20400","340","393","0","0","57","45","League of Legends"
"41","Saturday 6th July 2019 07:02","https://sullygnome.com/channel/ogrstv/stream/34798498480","178","17800","100","137","2","0","111","34","League of Legends"
"42","Friday 5th July 2019 11:40","https://sullygnome.com/channel/ogrstv/stream/34787538848","215","104705","487","747","1","0","322","92","League of Legends"
"43","Friday 5th July 2019 07:05","https://sullygnome.com/channel/ogrstv/stream/34786102656","175","18900","108","152","4","1","124","41","League of Legends,Teamfight Tactics"
"44","Thursday 4th July 2019 07:29","https://sullygnome.com/channel/ogrstv/stream/34774733856","181","19729","109","161","3","0","159","48","League of Legends"
"45","Wednesday 3rd July 2019 15:52","https://sullygnome.com/channel/ogrstv/stream/34764968304","128","31744","248","356","3","0","283","87","League of Legends"
"46","Wednesday 3rd July 2019 07:15","https://sullygnome.com/channel/ogrstv/stream/34762097840","165","32175","195","246","7","2","232","77","League of Legends"
"47","Tuesday 2nd July 2019 07:17","https://sullygnome.com/channel/ogrstv/stream/34749503216","208","37440","180","283","3","0","194","59","League of Legends"
"48","Monday 1st July 2019 07:04","https://sullygnome.com/channel/ogrstv/stream/34737291136","236","39884","169","240","4","1","377","94","League of Legends"
