"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Thursday 25th July 2019 12:15","https://sullygnome.com/channel/omegaph/stream/35037207664","0","0","2","2","0","0","0","0","PUBG: BATTLEGROUNDS"
"2","Tuesday 23rd July 2019 10:26","https://sullygnome.com/channel/omegaph/stream/35011960912","124","744","6","15","11","4","57","22","Growtopia"
"3","Monday 22nd July 2019 10:45","https://sullygnome.com/channel/omegaph/stream/34999732432","75","75","1","3","1","0","11","7","Last Day of June"
"4","Monday 22nd July 2019 10:00","https://sullygnome.com/channel/omegaph/stream/34999542960","15","15","1","2","0","0","4","8","Last Day of June"
"5","Sunday 21st July 2019 11:00","https://sullygnome.com/channel/omegaph/stream/34987888288","0","0","4","4","0","0","0","0","Just Chatting"
"6","Sunday 21st July 2019 07:00","https://sullygnome.com/channel/omegaph/stream/34986537008","30","90","3","6","0","0","7","9","Just Chatting"
"7","Friday 19th July 2019 17:06","https://sullygnome.com/channel/omegaph/stream/34964885344","204","612","3","6","3","0","7","2","Growtopia,Just Chatting"
"8","Friday 19th July 2019 14:15","https://sullygnome.com/channel/omegaph/stream/34963213520","15","45","3","4","0","0","1","2","Counter-Strike: Global Offensive"
"9","Thursday 18th July 2019 10:15","https://sullygnome.com/channel/omegaph/stream/34949052144","60","60","1","2","0","0","1","0","League of Legends"
"10","Tuesday 16th July 2019 09:30","https://sullygnome.com/channel/omegaph/stream/34923673824","30","90","3","5","1","1","11","14","Growtopia"
"11","Monday 15th July 2019 09:00","https://sullygnome.com/channel/omegaph/stream/34911144992","75","225","3","5","4","2","17","11","Growtopia"
"12","Sunday 14th July 2019 04:45","https://sullygnome.com/channel/omegaph/stream/34897316832","90","810","9","14","5","2","36","20","Growtopia"
"13","Saturday 13th July 2019 15:38","https://sullygnome.com/channel/omegaph/stream/34889436624","67","268","4","6","0","0","18","14","Growtopia"
"14","Saturday 13th July 2019 13:00","https://sullygnome.com/channel/omegaph/stream/34888100512","45","405","9","16","6","6","7","7","Growtopia"
"15","Friday 12th July 2019 15:30","https://sullygnome.com/channel/omegaph/stream/34876483504","75","225","3","4","0","0","21","14","League of Legends"
"16","Thursday 11th July 2019 11:00","https://sullygnome.com/channel/omegaph/stream/34861972672","120","360","3","5","-1","0","12","5","PUBG: BATTLEGROUNDS"
"17","Monday 8th July 2019 09:00","https://sullygnome.com/channel/omegaph/stream/34823983216","75","150","2","6","5","3","6","4","Growtopia"
"18","Sunday 7th July 2019 07:30","https://sullygnome.com/channel/omegaph/stream/34811168320","135","405","3","7","0","0","11","4","PUBG: BATTLEGROUNDS"
"19","Saturday 6th July 2019 16:00","https://sullygnome.com/channel/omegaph/stream/34802240768","180","540","3","6","0","0","35","10","Just Chatting"
"20","Friday 5th July 2019 14:09","https://sullygnome.com/channel/omegaph/stream/34788408480","141","1128","8","14","14","4","58","19","League of Legends,Growtopia"
"21","Tuesday 2nd July 2019 11:15","https://sullygnome.com/channel/omegaph/stream/34750474544","105","105","1","3","2","1","10","5","Teamfight Tactics,League of Legends"
"22","Tuesday 2nd July 2019 02:58","https://sullygnome.com/channel/omegaph/stream/34747807008","182","546","3","9","11","3","33","11","Growtopia"
