"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Wednesday 31st July 2019 01:43","https://sullygnome.com/channel/paco_torrear/stream/35105876752","317","9510","30","44","13","2","96","17","Gears of War 4,Just Chatting"
"2","Sunday 28th July 2019 04:12","https://sullygnome.com/channel/paco_torrear/stream/35070143232","198","4356","22","34","10","2","28","8","Gears 5,Just Chatting"
"3","Saturday 27th July 2019 01:10","https://sullygnome.com/channel/paco_torrear/stream/35056711168","200","3600","18","25","3","0","45","13","Gears 5"
"4","Friday 26th July 2019 03:05","https://sullygnome.com/channel/paco_torrear/stream/35046055888","310","7440","24","31","16","3","62","11","Gears of War 4,Just Chatting"
"5","Tuesday 23rd July 2019 03:53","https://sullygnome.com/channel/paco_torrear/stream/35009808144","157","3140","20","28","10","4","67","26","Dead by Daylight"
"6","Sunday 21st July 2019 01:29","https://sullygnome.com/channel/paco_torrear/stream/34984117872","286","8008","28","41","24","4","119","23","Gears 5"
"7","Friday 19th July 2019 21:56","https://sullygnome.com/channel/paco_torrear/stream/34968253152","124","3348","27","43","9","4","72","32","Gears 5"
"8","Friday 19th July 2019 15:51","https://sullygnome.com/channel/paco_torrear/stream/34964120768","234","12636","54","75","39","9","372","93","Gears 5"
"9","Friday 19th July 2019 01:40","https://sullygnome.com/channel/paco_torrear/stream/34958168752","275","6050","22","32","27","5","84","17","Dead by Daylight,Gears of War 4"
"10","Thursday 18th July 2019 02:22","https://sullygnome.com/channel/paco_torrear/stream/34946205968","368","8096","22","34","24","3","95","15","Dead by Daylight,Gears of War 4"
"11","Wednesday 17th July 2019 01:30","https://sullygnome.com/channel/paco_torrear/stream/34933015504","270","5670","21","28","12","3","50","12","Gears of War 4"
"12","Monday 15th July 2019 04:35","https://sullygnome.com/channel/paco_torrear/stream/34909815632","145","3335","23","32","6","2","49","19","Gears of War 4"
"13","Sunday 14th July 2019 01:46","https://sullygnome.com/channel/paco_torrear/stream/34895856736","134","2814","21","24","8","3","38","16","Gears of War 4"
"14","Friday 12th July 2019 03:53","https://sullygnome.com/channel/paco_torrear/stream/34872204432","127","2667","21","30","2","0","30","13","Gears of War 4"
"15","Thursday 11th July 2019 02:22","https://sullygnome.com/channel/paco_torrear/stream/34858942208","128","2048","16","22","6","2","17","7","Gears of War 4"
"16","Monday 8th July 2019 01:48","https://sullygnome.com/channel/paco_torrear/stream/34821163008","312","5928","19","32","16","3","80","15","Gears of War 4"
"17","Sunday 7th July 2019 03:03","https://sullygnome.com/channel/paco_torrear/stream/34809291216","162","2754","17","25","5","1","32","10","Gears of War 4"
"18","Friday 5th July 2019 02:22","https://sullygnome.com/channel/paco_torrear/stream/34784243968","98","1568","16","20","1","0","9","5","Gears of War 4"
"19","Thursday 4th July 2019 04:22","https://sullygnome.com/channel/paco_torrear/stream/34773553488","233","4660","20","24","11","2","43","10","Gears of War 4"
"20","Monday 1st July 2019 00:48","https://sullygnome.com/channel/paco_torrear/stream/34734512784","162","2106","13","18","4","1","38","13","Gears of War 4"
