"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Wednesday 31st July 2019 12:09","https://sullygnome.com/channel/paracusia/stream/35110414304","171","30780","180","448","29","9","475","158","Super Mario 64"
"2","Tuesday 30th July 2019 23:23","https://sullygnome.com/channel/paracusia/stream/35104224768","202","5252","26","55","-2","0","195","55","Super Mario 64"
"3","Tuesday 30th July 2019 08:35","https://sullygnome.com/channel/paracusia/stream/35095965264","175","46025","263","432","17","5","609","203","Super Mario 64"
"4","Monday 29th July 2019 00:48","https://sullygnome.com/channel/paracusia/stream/35080304176","342","11628","34","51","3","0","366","63","Super Mario 64"
"5","Sunday 28th July 2019 13:49","https://sullygnome.com/channel/paracusia/stream/35073708000","326","57050","175","310","23","4","930","177","Super Mario 64"
"6","Saturday 27th July 2019 20:00","https://sullygnome.com/channel/paracusia/stream/35065402848","30","1020","34","45","2","2","81","108","Super Mario 64"
"7","Saturday 27th July 2019 08:21","https://sullygnome.com/channel/paracusia/stream/35059938992","114","7980","70","108","1","0","207","103","Super Mario 64"
"8","Friday 26th July 2019 07:47","https://sullygnome.com/channel/paracusia/stream/35047886992","103","9167","89","114","-1","0","165","110","Super Mario 64"
"9","Thursday 25th July 2019 21:17","https://sullygnome.com/channel/paracusia/stream/35042465792","103","3605","35","45","3","1","137","78","Super Mario 64"
"10","Thursday 25th July 2019 15:27","https://sullygnome.com/channel/paracusia/stream/35038721024","243","37665","155","306","24","5","618","145","Super Mario 64"
"11","Wednesday 24th July 2019 16:19","https://sullygnome.com/channel/paracusia/stream/35026979728","191","30942","162","363","22","6","601","184","Super Mario 64"
"12","Tuesday 23rd July 2019 17:29","https://sullygnome.com/channel/paracusia/stream/35015446160","121","10285","85","147","5","2","224","112","Super Mario 64"
"13","Tuesday 23rd July 2019 03:41","https://sullygnome.com/channel/paracusia/stream/35009709840","124","3472","28","38","3","1","156","69","Super Mario 64"
"14","Monday 22nd July 2019 15:50","https://sullygnome.com/channel/paracusia/stream/35001998176","235","17390","74","90","11","2","445","118","Super Mario 64"
"15","Sunday 21st July 2019 14:24","https://sullygnome.com/channel/paracusia/stream/34989457904","201","26532","132","237","21","6","588","168","Super Mario 64"
"16","Saturday 20th July 2019 14:08","https://sullygnome.com/channel/paracusia/stream/34976009616","427","64050","150","417","39","5","1195","164","Super Mario 64"
"17","Saturday 20th July 2019 05:11","https://sullygnome.com/channel/paracusia/stream/34972541792","139","4865","35","42","4","2","140","70","Super Mario 64"
"18","Friday 19th July 2019 11:10","https://sullygnome.com/channel/paracusia/stream/34961946352","170","14110","83","168","9","3","401","133","Super Mario 64"
"19","Wednesday 17th July 2019 12:45","https://sullygnome.com/channel/paracusia/stream/34937529248","240","27600","115","165","19","5","528","140","Super Mario 64"
"20","Tuesday 16th July 2019 16:30","https://sullygnome.com/channel/paracusia/stream/34926853472","150","10200","68","97","0","0","282","112","Super Mario 64"
"21","Tuesday 16th July 2019 08:57","https://sullygnome.com/channel/paracusia/stream/34923547024","228","30324","133","314","18","4","483","120","Super Mario 64"
"22","Tuesday 16th July 2019 02:16","https://sullygnome.com/channel/paracusia/stream/34920925248","134","1072","8","13","1","0","49","21","Super Mario 64"
"23","Monday 15th July 2019 14:48","https://sullygnome.com/channel/paracusia/stream/34913436656","42","546","13","17","-1","-1","28","37","Super Mario 64"
"24","Monday 15th July 2019 11:42","https://sullygnome.com/channel/paracusia/stream/34912067968","48","1392","29","36","0","0","49","65","Super Mario 64"
"25","Sunday 14th July 2019 15:20","https://sullygnome.com/channel/paracusia/stream/34901708496","100","3800","38","43","2","1","78","62","Super Mario 64"
"26","Sunday 14th July 2019 09:08","https://sullygnome.com/channel/paracusia/stream/34899000128","127","8763","69","102","4","1","210","93","Super Mario 64"
"27","Friday 12th July 2019 22:42","https://sullygnome.com/channel/paracusia/stream/34881472144","123","2214","18","26","3","1","126","56","Super Mario 64"
"28","Friday 12th July 2019 18:00","https://sullygnome.com/channel/paracusia/stream/34878066000","150","5400","36","46","2","0","113","41","Super Mario 64"
"29","Friday 12th July 2019 09:07","https://sullygnome.com/channel/paracusia/stream/34874042544","173","13321","77","135","5","1","276","100","Super Mario 64"
"30","Thursday 11th July 2019 18:41","https://sullygnome.com/channel/paracusia/stream/34866268000","34","680","20","20","0","0","15","30","Super Mario 64"
"31","Wednesday 10th July 2019 08:09","https://sullygnome.com/channel/paracusia/stream/34848808192","81","2835","35","89","0","0","424","282","Super Mario 64"
"32","Tuesday 9th July 2019 13:21","https://sullygnome.com/channel/paracusia/stream/34838051968","69","1104","16","26","0","0","25","20","Super Mario 64"
"33","Tuesday 9th July 2019 08:18","https://sullygnome.com/channel/paracusia/stream/34836247872","132","3036","23","31","2","0","88","39","Super Mario 64"
"34","Monday 8th July 2019 11:26","https://sullygnome.com/channel/paracusia/stream/34824788896","49","1715","35","45","0","0","47","47","Super Mario 64"
