"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Wednesday 31st July 2019 07:15","https://sullygnome.com/channel/permanent0117/stream/35108588832","105","210","2","5","0","0","6","3","StarCraft II"
"2","Tuesday 30th July 2019 15:45","https://sullygnome.com/channel/permanent0117/stream/35098655152","105","525","5","8","0","0","23","11","StarCraft II"
"3","Monday 29th July 2019 16:30","https://sullygnome.com/channel/permanent0117/stream/35086784208","120","360","3","7","0","0","20","8","StarCraft II"
"4","Sunday 28th July 2019 15:34","https://sullygnome.com/channel/permanent0117/stream/35074595392","176","704","4","8","1","0","33","11","StarCraft II"
"5","Saturday 27th July 2019 16:30","https://sullygnome.com/channel/permanent0117/stream/35063234432","120","840","7","14","0","0","20","8","StarCraft II"
"6","Friday 26th July 2019 16:18","https://sullygnome.com/channel/permanent0117/stream/35051242768","117","702","6","10","0","0","18","9","StarCraft II"
"7","Thursday 25th July 2019 16:09","https://sullygnome.com/channel/permanent0117/stream/35039088976","111","1887","17","31","1","0","51","29","StarCraft II"
"8","Wednesday 24th July 2019 15:39","https://sullygnome.com/channel/permanent0117/stream/35026608256","171","513","3","6","0","0","18","6","StarCraft II"
"9","Wednesday 24th July 2019 06:45","https://sullygnome.com/channel/permanent0117/stream/35023298720","165","660","4","7","0","0","25","8","StarCraft II"
"10","Tuesday 23rd July 2019 15:53","https://sullygnome.com/channel/permanent0117/stream/35014458512","142","994","7","11","0","0","49","19","StarCraft II"
"11","Monday 22nd July 2019 15:15","https://sullygnome.com/channel/permanent0117/stream/35001598688","165","2310","14","30","4","1","94","31","StarCraft II"
"12","Sunday 21st July 2019 15:51","https://sullygnome.com/channel/permanent0117/stream/34990227824","144","576","4","6","0","0","33","13","StarCraft II"
"13","Saturday 20th July 2019 15:00","https://sullygnome.com/channel/permanent0117/stream/34976387888","195","585","3","8","0","0","37","10","StarCraft II"
"14","Friday 19th July 2019 15:58","https://sullygnome.com/channel/permanent0117/stream/34964183776","137","959","7","10","0","0","19","8","StarCraft II"
"15","Thursday 18th July 2019 16:15","https://sullygnome.com/channel/permanent0117/stream/34951889424","75","150","2","4","0","0","8","5","StarCraft II"
"16","Wednesday 17th July 2019 13:11","https://sullygnome.com/channel/permanent0117/stream/34937731072","319","1276","4","7","1","0","40","7","StarCraft II"
"17","Wednesday 17th July 2019 07:20","https://sullygnome.com/channel/permanent0117/stream/34935699744","145","580","4","8","1","0","6","2","StarCraft II"
"18","Tuesday 16th July 2019 15:30","https://sullygnome.com/channel/permanent0117/stream/34926162832","120","600","5","9","0","0","16","7","StarCraft II"
"19","Tuesday 16th July 2019 12:30","https://sullygnome.com/channel/permanent0117/stream/34924767552","75","225","3","6","0","0","11","7","StarCraft II"
"20","Monday 15th July 2019 15:45","https://sullygnome.com/channel/permanent0117/stream/34913854176","135","540","4","7","0","0","13","5","StarCraft II"
"21","Sunday 14th July 2019 15:15","https://sullygnome.com/channel/permanent0117/stream/34901530784","195","780","4","7","0","0","24","6","StarCraft II"
"22","Saturday 13th July 2019 12:33","https://sullygnome.com/channel/permanent0117/stream/34887871504","342","1710","5","9","0","0","38","6","StarCraft II"
"23","Friday 12th July 2019 16:15","https://sullygnome.com/channel/permanent0117/stream/34876862592","150","600","4","8","0","0","16","5","StarCraft II"
"24","Thursday 11th July 2019 15:39","https://sullygnome.com/channel/permanent0117/stream/34864254176","141","564","4","8","0","0","15","6","StarCraft II"
"25","Wednesday 10th July 2019 11:55","https://sullygnome.com/channel/permanent0117/stream/34850010080","440","1760","4","7","1","0","63","8","StarCraft II"
"26","Tuesday 9th July 2019 15:15","https://sullygnome.com/channel/permanent0117/stream/34839021504","150","750","5","9","1","0","21","7","StarCraft II"
"27","Monday 8th July 2019 15:37","https://sullygnome.com/channel/permanent0117/stream/34826730768","143","858","6","9","1","0","19","7","StarCraft II"
"28","Sunday 7th July 2019 11:55","https://sullygnome.com/channel/permanent0117/stream/34812759776","350","2450","7","17","4","0","71","11","StarCraft II"
"29","Saturday 6th July 2019 15:20","https://sullygnome.com/channel/permanent0117/stream/34801918704","190","950","5","7","0","0","24","7","StarCraft II"
"30","Friday 5th July 2019 15:01","https://sullygnome.com/channel/permanent0117/stream/34789066912","194","776","4","7","0","0","15","4","StarCraft II"
"31","Thursday 4th July 2019 14:15","https://sullygnome.com/channel/permanent0117/stream/34777115200","255","765","3","8","0","0","28","6","StarCraft II"
"32","Wednesday 3rd July 2019 15:15","https://sullygnome.com/channel/permanent0117/stream/34765079376","150","750","5","8","1","0","18","6","StarCraft II"
"33","Tuesday 2nd July 2019 15:45","https://sullygnome.com/channel/permanent0117/stream/34752826128","165","495","3","7","0","0","22","7","StarCraft II"
"34","Monday 1st July 2019 16:00","https://sullygnome.com/channel/permanent0117/stream/34740728080","150","600","4","9","0","0","24","8","StarCraft II"
