"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","We Were Here Too","420","2085","4","8","35","5"
"2","Beat Saber","420","2415","5","12","69","9.857142"
"3","Dead by Daylight","345","2370","6","15","81","14.086956"
"4","Deep Rock Galactic","285","1110","3","6","42","8.842105"
"5","Metro Exodus","255","1185","4","9","50","11.764705"
"6","Minecraft","165","1620","9","16","56","20.363636"
"7","Apex Legends","135","795","5","10","24","10.666666"
"8","The Beast Inside","75","360","4","7","13","10.4"
"9","PUBG: BATTLEGROUNDS","60","255","4","5","2","2"
"10","Pavlov VR","15","15","1","1","9","36"
