"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Tuesday 30th July 2019 05:30","https://sullygnome.com/channel/pwndabae/stream/35094955616","120","3120","26","32","1","0","63","28","Fortnite"
"2","Monday 29th July 2019 20:00","https://sullygnome.com/channel/pwndabae/stream/35089283792","135","3915","29","32","2","0","50","22","Fortnite"
"3","Monday 29th July 2019 00:07","https://sullygnome.com/channel/pwndabae/stream/35079915456","173","3806","22","29","3","1","110","36","Unlisted on Twitch,Fortnite"
"4","Sunday 28th July 2019 22:48","https://sullygnome.com/channel/pwndabae/stream/35079137216","57","2280","40","43","2","2","44","44","Fortnite"
"5","Sunday 28th July 2019 05:17","https://sullygnome.com/channel/pwndabae/stream/35070324992","163","2445","15","31","8","2","175","50","Fortnite"
"6","Thursday 18th July 2019 18:29","https://sullygnome.com/channel/pwndabae/stream/34953386512","61","1586","26","31","7","7","13","13","Fortnite"
"7","Tuesday 16th July 2019 18:48","https://sullygnome.com/channel/pwndabae/stream/34928456592","162","4536","28","39","6","2","89","29","Fortnite"
"8","Monday 15th July 2019 20:15","https://sullygnome.com/channel/pwndabae/stream/34916975376","45","405","9","16","2","2","16","16","Fortnite"
"9","Friday 12th July 2019 17:24","https://sullygnome.com/channel/pwndabae/stream/34877839664","216","6264","29","36","20","5","144","38","Fortnite"
"10","Monday 8th July 2019 22:29","https://sullygnome.com/channel/pwndabae/stream/34831402624","151","4983","33","44","16","6","71","28","Fortnite"
"11","Sunday 7th July 2019 18:51","https://sullygnome.com/channel/pwndabae/stream/34816747344","174","6264","36","60","12","4","85","28","Fortnite"
"12","Sunday 7th July 2019 04:59","https://sullygnome.com/channel/pwndabae/stream/34810256720","226","2712","12","23","8","2","92","24","Fortnite"
"13","Friday 5th July 2019 21:54","https://sullygnome.com/channel/pwndabae/stream/34793583616","216","1512","7","13","5","1","71","18","Fortnite"
"14","Thursday 4th July 2019 21:04","https://sullygnome.com/channel/pwndabae/stream/34781537056","296","4440","15","25","15","3","155","31","Fortnite"
"15","Tuesday 2nd July 2019 18:08","https://sullygnome.com/channel/pwndabae/stream/34754427504","97","970","10","13","0","0","52","29","Fortnite"
"16","Tuesday 2nd July 2019 04:12","https://sullygnome.com/channel/pwndabae/stream/34748428864","108","1728","16","25","8","4","107","53","Fortnite"
"17","Monday 1st July 2019 02:34","https://sullygnome.com/channel/pwndabae/stream/34735528432","146","1314","9","16","5","2","53","21","Fortnite"
