"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Monday 29th July 2019 18:00","https://sullygnome.com/channel/pyrow_fr/stream/35087640704","195","1560","8","27","2","0","77","22","Dead by Daylight,The Binding of Isaac: Repentance"
"2","Sunday 28th July 2019 12:55","https://sullygnome.com/channel/pyrow_fr/stream/35073296432","470","2350","5","8","1","0","60","7","Beyond: Two Souls,The Binding of Isaac: Repentance"
"3","Friday 26th July 2019 17:11","https://sullygnome.com/channel/pyrow_fr/stream/35051760400","469","3283","7","13","5","0","88","11","Just Chatting,Dead by Daylight,The Binding of Isaac: Rebirth"
"4","Thursday 25th July 2019 15:30","https://sullygnome.com/channel/pyrow_fr/stream/35038448432","75","300","4","7","0","0","6","4","Dead by Daylight,Call of Cthulhu"
"5","Wednesday 24th July 2019 19:45","https://sullygnome.com/channel/pyrow_fr/stream/35029207600","150","750","5","10","3","1","30","10","Dead by Daylight,The Binding of Isaac: Repentance"
"6","Wednesday 17th July 2019 14:49","https://sullygnome.com/channel/pyrow_fr/stream/34938529264","161","966","6","9","1","0","41","14","Dead by Daylight,The Binding of Isaac: Repentance"
"7","Monday 15th July 2019 12:36","https://sullygnome.com/channel/pyrow_fr/stream/34912427168","219","1095","5","9","1","0","30","8","Dead by Daylight,Slay the Spire"
"8","Friday 12th July 2019 12:45","https://sullygnome.com/channel/pyrow_fr/stream/34875293648","105","420","4","7","0","0","13","6","Dead by Daylight,Slay the Spire"
"9","Monday 8th July 2019 14:36","https://sullygnome.com/channel/pyrow_fr/stream/34826190832","159","795","5","8","1","0","12","4","Slay the Spire"
"10","Friday 5th July 2019 14:28","https://sullygnome.com/channel/pyrow_fr/stream/34788785168","197","1182","6","14","1","0","24","7","Call of Cthulhu,Dead by Daylight,Slay the Spire"
