"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Wednesday 31st July 2019 18:15","https://sullygnome.com/channel/ragefast2311/stream/35113821472","315","7245","23","35","-1","0","152","28","Tom Clancy's The Division 2"
"2","Tuesday 30th July 2019 18:58","https://sullygnome.com/channel/ragefast2311/stream/35101164512","392","9016","23","35","5","0","219","32","Tom Clancy's The Division 2"
"3","Monday 29th July 2019 16:50","https://sullygnome.com/channel/ragefast2311/stream/35086988784","535","11235","21","31","2","0","212","23","Tom Clancy's The Division 2"
"4","Sunday 28th July 2019 17:20","https://sullygnome.com/channel/ragefast2311/stream/35075647264","490","9310","19","33","6","0","226","26","Tom Clancy's The Division 2"
"5","Saturday 27th July 2019 17:12","https://sullygnome.com/channel/ragefast2311/stream/35063725264","573","15471","27","43","4","0","281","29","Tom Clancy's The Division 2"
"6","Friday 26th July 2019 18:53","https://sullygnome.com/channel/ragefast2311/stream/35052844784","457","8683","19","32","4","0","181","24","Tom Clancy's The Division 2"
"7","Friday 26th July 2019 16:52","https://sullygnome.com/channel/ragefast2311/stream/35051567168","113","1921","17","23","0","0","42","21","Tom Clancy's The Division 2"
"8","Thursday 25th July 2019 18:57","https://sullygnome.com/channel/ragefast2311/stream/35040898688","348","9048","26","45","8","1","163","29","Tom Clancy's The Division 2"
"9","Wednesday 24th July 2019 17:18","https://sullygnome.com/channel/ragefast2311/stream/35027578112","492","11316","23","39","4","0","237","27","Tom Clancy's The Division 2"
"10","Tuesday 23rd July 2019 19:46","https://sullygnome.com/channel/ragefast2311/stream/35014887072","374","9350","25","59","6","0","329","34","Tom Clancy's The Division 2"
"11","Monday 22nd July 2019 16:33","https://sullygnome.com/channel/ragefast2311/stream/35002409840","477","11448","24","37","8","0","263","31","Tom Clancy's The Division 2"
"12","Saturday 20th July 2019 16:32","https://sullygnome.com/channel/ragefast2311/stream/34977455712","523","13598","26","42","7","0","360","41","Tom Clancy's The Division 2"
"13","Friday 19th July 2019 15:45","https://sullygnome.com/channel/ragefast2311/stream/34964064000","630","16380","26","37","9","0","304","28","Tom Clancy's The Division 2"
"14","Thursday 18th July 2019 18:23","https://sullygnome.com/channel/ragefast2311/stream/34953319040","442","7514","17","31","9","1","172","22","Tom Clancy's The Division 2"
"15","Wednesday 17th July 2019 15:25","https://sullygnome.com/channel/ragefast2311/stream/34938864640","575","9775","17","31","14","1","255","26","Tom Clancy's The Division 2"
"16","Tuesday 16th July 2019 15:52","https://sullygnome.com/channel/ragefast2311/stream/34926433088","488","5856","12","27","8","0","219","25","Tom Clancy's The Division 2"
"17","Monday 15th July 2019 17:32","https://sullygnome.com/channel/ragefast2311/stream/34915083152","373","4103","11","20","6","0","156","24","Tom Clancy's The Division 2"
"18","Sunday 14th July 2019 16:31","https://sullygnome.com/channel/ragefast2311/stream/34902412528","479","5748","12","22","5","0","108","14","Tom Clancy's The Division 2"
"19","Saturday 13th July 2019 18:14","https://sullygnome.com/channel/ragefast2311/stream/34891106016","436","5232","12","22","5","0","145","19","Tom Clancy's The Division 2"
"20","Friday 12th July 2019 18:11","https://sullygnome.com/channel/ragefast2311/stream/34878356480","394","5122","13","22","4","0","105","16","Tom Clancy's The Division 2"
"21","Thursday 11th July 2019 16:27","https://sullygnome.com/channel/ragefast2311/stream/34864735792","453","3624","8","14","0","0","101","13","Tom Clancy's The Division 2,PUBG: BATTLEGROUNDS"
"22","Wednesday 10th July 2019 16:41","https://sullygnome.com/channel/ragefast2311/stream/34852392240","484","3872","8","18","0","0","136","16","Tom Clancy's The Division 2"
"23","Tuesday 9th July 2019 16:37","https://sullygnome.com/channel/ragefast2311/stream/34839805952","398","2786","7","14","0","0","90","13","Tom Clancy's The Division 2,World War Z"
"24","Monday 8th July 2019 16:46","https://sullygnome.com/channel/ragefast2311/stream/34827422384","569","4552","8","15","4","0","123","12","Tom Clancy's The Division 2"
"25","Sunday 7th July 2019 16:49","https://sullygnome.com/channel/ragefast2311/stream/34815325952","476","5712","12","20","2","0","118","15","World War Z,Tom Clancy's The Division 2"
"26","Saturday 6th July 2019 16:51","https://sullygnome.com/channel/ragefast2311/stream/34802790464","504","7056","14","23","3","0","135","15","Tom Clancy's The Division 2"
"27","Friday 5th July 2019 16:29","https://sullygnome.com/channel/ragefast2311/stream/34789871744","586","4688","8","27","0","0","150","15","Tom Clancy's The Division 2"
"28","Thursday 4th July 2019 16:35","https://sullygnome.com/channel/ragefast2311/stream/34778491968","565","6780","12","21","5","0","169","17","Tom Clancy's The Division 2"
"29","Wednesday 3rd July 2019 16:45","https://sullygnome.com/channel/ragefast2311/stream/34766012480","435","5220","12","23","2","0","134","17","Tom Clancy's The Division 2"
"30","Tuesday 2nd July 2019 17:30","https://sullygnome.com/channel/ragefast2311/stream/34753919520","405","6075","15","35","3","0","162","24","Tom Clancy's The Division 2"
"31","Monday 1st July 2019 16:35","https://sullygnome.com/channel/ragefast2311/stream/34741052976","475","4750","10","21","4","0","138","17","Tom Clancy's The Division 2"
