"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Tuesday 30th July 2019 06:27","https://sullygnome.com/channel/rasslebot/stream/35081419424","3993","3993","1","7","11","0","165","1","WWE 2K19"
"2","Friday 26th July 2019 18:16","https://sullygnome.com/channel/rasslebot/stream/35052432928","3284","3284","1","9","11","0","141","2","WWE 2K19"
"3","Thursday 25th July 2019 19:15","https://sullygnome.com/channel/rasslebot/stream/35041012336","1170","0","0","4","1","0","28","1","WWE 2K19"
"4","Tuesday 23rd July 2019 19:06","https://sullygnome.com/channel/rasslebot/stream/35016620528","2859","5718","2","7","8","0","91","1","WWE 2K19"
"5","Tuesday 23rd July 2019 01:15","https://sullygnome.com/channel/rasslebot/stream/35008275952","1050","1050","1","5","4","0","31","1","WWE 2K19"
"6","Saturday 20th July 2019 11:00","https://sullygnome.com/channel/rasslebot/stream/34974576352","3675","7350","2","8","13","0","137","2","WWE 2K19"
"7","Tuesday 16th July 2019 23:15","https://sullygnome.com/channel/rasslebot/stream/34931399904","5010","5010","1","7","8","0","125","1","WWE 2K19"
"8","Tuesday 16th July 2019 15:15","https://sullygnome.com/channel/rasslebot/stream/34926091712","420","0","0","2","0","0","28","5","WWE 2K19"
"9","Tuesday 16th July 2019 07:00","https://sullygnome.com/channel/rasslebot/stream/34922956208","465","0","0","4","0","0","9","1","WWE 2K19"
"10","Monday 15th July 2019 21:45","https://sullygnome.com/channel/rasslebot/stream/34916722928","525","525","1","3","0","0","9","1","WWE 2K19"
"11","Sunday 14th July 2019 23:45","https://sullygnome.com/channel/rasslebot/stream/34906722848","990","990","1","6","3","0","42","2","WWE 2K19"
"12","Friday 12th July 2019 22:54","https://sullygnome.com/channel/rasslebot/stream/34867426304","2871","2871","1","7","8","0","152","2","WWE 2K19"
"13","Tuesday 9th July 2019 23:15","https://sullygnome.com/channel/rasslebot/stream/34844379696","2640","2640","1","5","12","0","46","1","WWE 2K19"
"14","Tuesday 9th July 2019 06:26","https://sullygnome.com/channel/rasslebot/stream/34835699936","979","979","1","6","6","0","56","3","WWE 2K19"
"15","Monday 8th July 2019 02:00","https://sullygnome.com/channel/rasslebot/stream/34820995728","1680","1680","1","5","2","0","48","1","WWE 2K19"
"16","Saturday 6th July 2019 01:30","https://sullygnome.com/channel/rasslebot/stream/34795797824","2850","5700","2","31","15","0","175","3","WWE 2K19"
"17","Friday 5th July 2019 21:15","https://sullygnome.com/channel/rasslebot/stream/34792967264","195","195","1","3","0","0","19","5","WWE 2K19"
"18","Thursday 4th July 2019 15:45","https://sullygnome.com/channel/rasslebot/stream/34777950528","1740","1740","1","6","3","0","151","5","WWE 2K19"
"19","Thursday 4th July 2019 13:45","https://sullygnome.com/channel/rasslebot/stream/34776625104","90","180","2","3","0","0","22","12","WWE 2K19"
"20","Wednesday 3rd July 2019 18:01","https://sullygnome.com/channel/rasslebot/stream/34766983616","1124","1124","1","5","3","0","35","1","WWE 2K19"
"21","Monday 1st July 2019 12:43","https://sullygnome.com/channel/rasslebot/stream/34739079744","3167","6334","2","7","25","0","179","3","WWE 2K19"
"22","Monday 1st July 2019 08:30","https://sullygnome.com/channel/rasslebot/stream/34737593328","225","225","1","3","0","0","6","1","WWE 2K19"
