"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Friday 26th July 2019 00:20","https://sullygnome.com/channel/rei_lin/stream/35044356496","310","3410","11","17","5","1","71","14","Dauntless"
"2","Wednesday 24th July 2019 00:07","https://sullygnome.com/channel/rei_lin/stream/35019928160","248","1984","8","14","1","0","40","10","Dauntless"
"3","Sunday 21st July 2019 00:17","https://sullygnome.com/channel/rei_lin/stream/34983440624","313","5321","17","26","5","0","118","22","Dauntless"
"4","Saturday 20th July 2019 00:08","https://sullygnome.com/channel/rei_lin/stream/34969623328","277","3047","11","22","2","0","83","17","Dauntless"
"5","Friday 19th July 2019 00:07","https://sullygnome.com/channel/rei_lin/stream/34957163504","323","5491","17","25","1","0","161","29","Dauntless"
"6","Sunday 14th July 2019 01:14","https://sullygnome.com/channel/rei_lin/stream/34895545504","16","128","8","10","0","0","0","0","Dauntless"
"7","Sunday 14th July 2019 00:45","https://sullygnome.com/channel/rei_lin/stream/34895248096","0","0","3","3","0","0","0","0","Dauntless"
"8","Tuesday 9th July 2019 00:06","https://sullygnome.com/channel/rei_lin/stream/34832420624","309","2472","8","11","1","0","47","8","Dauntless"
"9","Sunday 7th July 2019 00:40","https://sullygnome.com/channel/rei_lin/stream/34807905984","275","3300","12","23","2","0","80","16","Dauntless"
"10","Saturday 6th July 2019 00:32","https://sullygnome.com/channel/rei_lin/stream/34795218496","328","7216","22","91","7","1","187","34","Dauntless"
"11","Friday 5th July 2019 03:32","https://sullygnome.com/channel/rei_lin/stream/34784778864","73","146","2","5","0","0","11","8","Dauntless,World of Warcraft"
"12","Friday 5th July 2019 00:15","https://sullygnome.com/channel/rei_lin/stream/34783241696","150","900","6","10","3","1","27","9","Dauntless"
