"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Wednesday 31st July 2019 10:44","https://sullygnome.com/channel/resynn/stream/35109870656","556","107308","193","299","25","2","362","39","Grand Theft Auto V,Field of Glory: Empires"
"2","Tuesday 30th July 2019 07:29","https://sullygnome.com/channel/resynn/stream/35095648704","571","110203","193","336","46","4","669","68","Grand Theft Auto V,World of Warcraft"
"3","Monday 29th July 2019 10:08","https://sullygnome.com/channel/resynn/stream/35083916544","652","70416","108","197","52","4","459","41","Grand Theft Auto V"
"4","Friday 26th July 2019 20:16","https://sullygnome.com/channel/resynn/stream/35053797808","209","16929","81","108","3","0","71","20","Grand Theft Auto V"
"5","Friday 26th July 2019 11:01","https://sullygnome.com/channel/resynn/stream/35048853296","494","53352","108","157","46","5","349","41","Grand Theft Auto V"
"6","Thursday 25th July 2019 12:05","https://sullygnome.com/channel/resynn/stream/35037215568","520","48360","93","126","8","0","238","27","Grand Theft Auto V"
"7","Wednesday 24th July 2019 21:41","https://sullygnome.com/channel/resynn/stream/35030602672","139","9313","67","87","0","0","21","9","Grand Theft Auto V"
"8","Wednesday 24th July 2019 10:50","https://sullygnome.com/channel/resynn/stream/35024497120","520","46800","90","123","28","3","316","36","Grand Theft Auto V"
"9","Tuesday 23rd July 2019 13:33","https://sullygnome.com/channel/resynn/stream/35013292016","27","1107","41","61","-1","-2","0","0","Grand Theft Auto V"
"10","Monday 22nd July 2019 20:46","https://sullygnome.com/channel/resynn/stream/35005362176","179","11814","66","87","2","0","35","11","Grand Theft Auto V"
"11","Monday 22nd July 2019 10:31","https://sullygnome.com/channel/resynn/stream/34999691024","164","11972","73","101","26","8","144","48","Grand Theft Auto V"
"12","Sunday 21st July 2019 17:30","https://sullygnome.com/channel/resynn/stream/34991234112","165","13695","83","108","1","0","82","29","Grand Theft Auto V"
"13","Sunday 21st July 2019 12:41","https://sullygnome.com/channel/resynn/stream/34988601712","94","6768","72","100","4","2","77","44","Grand Theft Auto V"
"14","Saturday 20th July 2019 21:12","https://sullygnome.com/channel/resynn/stream/34981553456","258","19350","75","99","0","0","78","17","Grand Theft Auto V"
"15","Saturday 20th July 2019 10:32","https://sullygnome.com/channel/resynn/stream/34974413584","223","18063","81","119","18","4","188","47","Grand Theft Auto V"
"16","Friday 19th July 2019 20:15","https://sullygnome.com/channel/resynn/stream/34967145824","75","6300","84","114","-1","0","17","13","Grand Theft Auto V"
