"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Wednesday 31st July 2019 15:48","https://sullygnome.com/channel/rez3rekt/stream/35112196896","1302","1302","1","9","4","0","167","7","surviv.io,Mount &amp; Blade: Warband"
"2","Monday 29th July 2019 15:56","https://sullygnome.com/channel/rez3rekt/stream/35086457600","229","2519","11","32","21","5","302","75","surviv.io,Minecraft,Company of Heroes"
"3","Wednesday 24th July 2019 17:27","https://sullygnome.com/channel/rez3rekt/stream/35026734000","213","1065","5","9","0","0","55","10","Minecraft,Kingdom Come: Deliverance"
"4","Monday 22nd July 2019 15:56","https://sullygnome.com/channel/rez3rekt/stream/35002062416","274","1918","7","10","1","0","84","17","Minecraft,Sid Meier's Civilization V,Company of Heroes"
"5","Wednesday 17th July 2019 19:45","https://sullygnome.com/channel/rez3rekt/stream/34941274512","60","300","5","7","0","0","15","12","Sid Meier's Civilization V"
"6","Wednesday 17th July 2019 15:55","https://sullygnome.com/channel/rez3rekt/stream/34939134208","155","775","5","10","0","0","30","10","Minecraft"
"7","Monday 15th July 2019 15:55","https://sullygnome.com/channel/rez3rekt/stream/34914048752","305","1525","5","10","6","1","59","11","Minecraft"
"8","Friday 12th July 2019 15:56","https://sullygnome.com/channel/rez3rekt/stream/34876915456","259","1813","7","11","2","0","42","9","Minecraft"
"9","Wednesday 10th July 2019 16:00","https://sullygnome.com/channel/rez3rekt/stream/34851934576","300","2100","7","11","4","0","54","10","Minecraft"
"10","Monday 8th July 2019 15:56","https://sullygnome.com/channel/rez3rekt/stream/34826913456","304","1520","5","9","3","0","47","9","Minecraft"
"11","Sunday 7th July 2019 15:53","https://sullygnome.com/channel/rez3rekt/stream/34814764240","697","2788","4","10","8","0","78","6","Minecraft"
"12","Friday 5th July 2019 15:56","https://sullygnome.com/channel/rez3rekt/stream/34789553152","304","1216","4","9","6","1","34","7","Minecraft"
"13","Wednesday 3rd July 2019 15:55","https://sullygnome.com/channel/rez3rekt/stream/34765597264","305","1830","6","10","8","1","87","16","Minecraft"
