"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Wednesday 31st July 2019 17:30","https://sullygnome.com/channel/rianlg_/stream/35113002560","105","210","2","3","0","0","7","3","PUBG: BATTLEGROUNDS"
"2","Wednesday 31st July 2019 17:00","https://sullygnome.com/channel/rianlg_/stream/35112967088","0","0","1","2","0","0","4","16","PUBG: BATTLEGROUNDS"
"3","Tuesday 30th July 2019 16:55","https://sullygnome.com/channel/rianlg_/stream/35099668320","140","280","2","5","0","0","5","2","PUBG: BATTLEGROUNDS"
"4","Sunday 28th July 2019 18:45","https://sullygnome.com/channel/rianlg_/stream/35076543936","105","315","3","5","-1","0","3","1","PUBG: BATTLEGROUNDS"
"5","Saturday 27th July 2019 17:00","https://sullygnome.com/channel/rianlg_/stream/35063465264","135","405","3","5","1","0","5","2","PUBG: BATTLEGROUNDS"
"6","Thursday 25th July 2019 17:30","https://sullygnome.com/channel/rianlg_/stream/35039924352","165","495","3","6","0","0","6","2","PUBG: BATTLEGROUNDS"
"7","Wednesday 24th July 2019 19:00","https://sullygnome.com/channel/rianlg_/stream/35028644240","180","360","2","3","0","0","2","0","PUBG: BATTLEGROUNDS"
"8","Wednesday 24th July 2019 16:00","https://sullygnome.com/channel/rianlg_/stream/35026600912","75","150","2","5","0","0","0","0","PUBG: BATTLEGROUNDS"
"9","Saturday 13th July 2019 15:15","https://sullygnome.com/channel/rianlg_/stream/34889217328","90","90","1","1","0","0","0","0","PUBG: BATTLEGROUNDS"
"10","Thursday 11th July 2019 15:45","https://sullygnome.com/channel/rianlg_/stream/34864237728","180","360","2","5","0","0","5","1","PUBG: BATTLEGROUNDS"
"11","Monday 8th July 2019 17:00","https://sullygnome.com/channel/rianlg_/stream/34827550880","120","240","2","8","-1","0","7","3","PUBG: BATTLEGROUNDS"
"12","Wednesday 3rd July 2019 16:47","https://sullygnome.com/channel/rianlg_/stream/34766127808","178","356","2","6","0","0","11","3","PUBG: BATTLEGROUNDS"
