"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Wednesday 31st July 2019 23:15","https://sullygnome.com/channel/ricardosolares/stream/35117292320","285","855","3","7","3","0","64","12","VRChat"
"2","Wednesday 31st July 2019 17:45","https://sullygnome.com/channel/ricardosolares/stream/35113422640","165","165","1","5","6","2","62","20","Garena Free Fire"
"3","Wednesday 31st July 2019 00:00","https://sullygnome.com/channel/ricardosolares/stream/35104530608","135","405","3","7","5","2","40","16","VRChat"
"4","Tuesday 30th July 2019 15:35","https://sullygnome.com/channel/ricardosolares/stream/35098881200","235","470","2","5","7","1","70","17","Garena Free Fire"
"5","Monday 29th July 2019 23:15","https://sullygnome.com/channel/ricardosolares/stream/35091273952","135","270","2","4","1","0","31","12","Auto Chess"
"6","Monday 29th July 2019 18:15","https://sullygnome.com/channel/ricardosolares/stream/35087816352","150","150","1","4","-2","0","52","18","Auto Chess"
"7","Sunday 28th July 2019 22:57","https://sullygnome.com/channel/ricardosolares/stream/35079222848","303","909","3","7","2","0","95","19","VRChat"
"8","Sunday 28th July 2019 17:45","https://sullygnome.com/channel/ricardosolares/stream/35075897072","180","540","3","6","1","0","62","19","Auto Chess"
"9","Saturday 27th July 2019 23:29","https://sullygnome.com/channel/ricardosolares/stream/35067568768","256","768","3","7","0","0","73","16","VRChat"
"10","Saturday 27th July 2019 21:30","https://sullygnome.com/channel/ricardosolares/stream/35065953472","0","0","1","1","0","0","0","0","Auto Chess"
"11","Saturday 27th July 2019 18:30","https://sullygnome.com/channel/ricardosolares/stream/35064376832","120","120","1","4","0","0","40","17","Auto Chess"
"12","Friday 26th July 2019 23:12","https://sullygnome.com/channel/ricardosolares/stream/35055573280","273","1092","4","10","4","0","176","37","VRChat"
"13","Friday 26th July 2019 20:12","https://sullygnome.com/channel/ricardosolares/stream/35053747152","153","306","2","5","3","1","66","29","VRChat"
"14","Friday 26th July 2019 00:30","https://sullygnome.com/channel/ricardosolares/stream/35044360672","45","135","3","5","1","1","7","7","VRChat"
"15","Thursday 25th July 2019 21:15","https://sullygnome.com/channel/ricardosolares/stream/35042385728","75","150","2","4","-1","0","22","14","PUBG Mobile"
"16","Wednesday 24th July 2019 22:00","https://sullygnome.com/channel/ricardosolares/stream/35030798592","105","105","1","2","0","0","27","13","Pavlov VR"
"17","Wednesday 24th July 2019 01:03","https://sullygnome.com/channel/ricardosolares/stream/35019909888","327","981","3","7","3","0","132","20","VRChat"
"18","Tuesday 23rd July 2019 21:15","https://sullygnome.com/channel/ricardosolares/stream/35017539552","0","0","5","5","0","0","0","0","Minecraft"
"19","Tuesday 23rd July 2019 18:15","https://sullygnome.com/channel/ricardosolares/stream/35015916432","90","270","3","7","0","0","53","30","Minecraft"
"20","Monday 22nd July 2019 23:17","https://sullygnome.com/channel/ricardosolares/stream/35006993216","58","290","5","8","1","0","30","24","VRChat"
"21","Monday 22nd July 2019 18:32","https://sullygnome.com/channel/ricardosolares/stream/35003746736","193","579","3","6","4","1","72","22","Minecraft"
"22","Monday 22nd July 2019 05:00","https://sullygnome.com/channel/ricardosolares/stream/34997864288","0","0","6","6","0","0","0","0","VRChat"
"23","Monday 22nd July 2019 00:06","https://sullygnome.com/channel/ricardosolares/stream/34995525792","264","1584","6","14","10","2","196","43","VRChat"
"24","Sunday 21st July 2019 19:50","https://sullygnome.com/channel/ricardosolares/stream/34992906368","70","420","6","14","0","0","32","32","VRChat"
"25","Sunday 21st July 2019 03:12","https://sullygnome.com/channel/ricardosolares/stream/34985069792","213","1278","6","10","11","3","143","44","VRChat,Minecraft"
"26","Sunday 21st July 2019 03:00","https://sullygnome.com/channel/ricardosolares/stream/34984868624","0","0","6","8","6","24","48","192","VRChat"
"27","Saturday 20th July 2019 04:43","https://sullygnome.com/channel/ricardosolares/stream/34972322464","122","488","4","9","2","0","39","17","VRChat"
"28","Tuesday 16th July 2019 23:33","https://sullygnome.com/channel/ricardosolares/stream/34931715872","207","1242","6","11","12","3","120","34","VRChat"
"29","Monday 15th July 2019 21:56","https://sullygnome.com/channel/ricardosolares/stream/34918160320","124","620","5","7","7","3","56","24","VRChat"
"30","Sunday 14th July 2019 20:28","https://sullygnome.com/channel/ricardosolares/stream/34905206896","257","2827","11","20","15","3","144","33","VRChat"
"31","Sunday 14th July 2019 20:15","https://sullygnome.com/channel/ricardosolares/stream/34904774416","0","0","6","7","1","4","22","88","VRChat"
"32","Saturday 13th July 2019 18:56","https://sullygnome.com/channel/ricardosolares/stream/34891583248","109","981","9","14","1","0","69","39","VRChat,Icarus Online"
"33","Friday 12th July 2019 17:16","https://sullygnome.com/channel/ricardosolares/stream/34877758976","239","2629","11","17","12","3","101","26","VRChat"
"34","Thursday 11th July 2019 20:55","https://sullygnome.com/channel/ricardosolares/stream/34867850912","80","720","9","13","3","2","27","21","PUBG Mobile,UNDERTALE,Resident Evil 4"
"35","Tuesday 9th July 2019 19:42","https://sullygnome.com/channel/ricardosolares/stream/34842039504","183","3294","18","28","2","0","107","35","Let It Die"
"36","Sunday 7th July 2019 17:55","https://sullygnome.com/channel/ricardosolares/stream/34816060288","215","2580","12","17","7","2","128","36","Grand Theft Auto V,Just Chatting"
"37","Friday 5th July 2019 02:00","https://sullygnome.com/channel/ricardosolares/stream/34784061680","165","2310","14","17","4","1","54","21","Just Chatting"
"38","Thursday 4th July 2019 19:13","https://sullygnome.com/channel/ricardosolares/stream/34780305088","212","2968","14","24","27","7","158","45","Minecraft"
"39","Tuesday 2nd July 2019 23:18","https://sullygnome.com/channel/ricardosolares/stream/34758049744","132","1980","15","20","1","0","116","51","PUBG: BATTLEGROUNDS"
