"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Tuesday 30th July 2019 02:00","https://sullygnome.com/channel/righteye_/stream/35093286544","300","0","0","2","0","0","2","0","Fortnite"
"2","Monday 29th July 2019 03:19","https://sullygnome.com/channel/righteye_/stream/35081687360","176","352","2","3","1","0","4","1","Apex Legends,Call of Duty: Black Ops 4,Fortnite"
"3","Sunday 28th July 2019 22:15","https://sullygnome.com/channel/righteye_/stream/35078582144","60","60","1","1","0","0","0","0","Fortnite,Call of Duty: Black Ops 4"
"4","Sunday 28th July 2019 02:45","https://sullygnome.com/channel/righteye_/stream/35069386448","300","300","1","3","1","0","9","1","Apex Legends,Fortnite"
"5","Saturday 27th July 2019 21:30","https://sullygnome.com/channel/righteye_/stream/35066410176","60","60","1","2","0","0","0","0","Apex Legends,Overwatch"
"6","Tuesday 23rd July 2019 00:15","https://sullygnome.com/channel/righteye_/stream/35007637168","405","810","2","6","0","0","1","0","Apex Legends,Counter-Strike: Global Offensive,Overwatch,League of Legends"
"7","Monday 22nd July 2019 22:15","https://sullygnome.com/channel/righteye_/stream/35006278192","0","0","0","0","0","0","0","0","Apex Legends"
"8","Monday 22nd July 2019 06:30","https://sullygnome.com/channel/righteye_/stream/34998528864","75","75","1","2","0","0","1","0","Call of Duty: Black Ops 4"
"9","Monday 22nd July 2019 00:30","https://sullygnome.com/channel/righteye_/stream/34995583440","315","0","0","2","1","0","4","0","Apex Legends"
"10","Sunday 21st July 2019 05:30","https://sullygnome.com/channel/righteye_/stream/34986096080","90","0","0","1","0","0","4","2","Apex Legends"
"11","Sunday 21st July 2019 02:00","https://sullygnome.com/channel/righteye_/stream/34984318416","15","0","0","0","0","0","1","2","Apex Legends"
"12","Thursday 18th July 2019 04:00","https://sullygnome.com/channel/righteye_/stream/34947128816","120","0","0","2","0","0","3","1","Apex Legends"
"13","Thursday 18th July 2019 03:00","https://sullygnome.com/channel/righteye_/stream/34946490128","30","30","1","1","0","0","0","0","Apex Legends"
"14","Tuesday 16th July 2019 02:00","https://sullygnome.com/channel/righteye_/stream/34920710608","270","270","1","3","0","0","3","0","Apex Legends,Fortnite"
"15","Tuesday 16th July 2019 00:00","https://sullygnome.com/channel/righteye_/stream/34919445600","90","90","1","2","0","0","3","1","Apex Legends"
"16","Monday 15th July 2019 20:30","https://sullygnome.com/channel/righteye_/stream/34917181264","120","240","2","3","0","0","1","0","Apex Legends"
"17","Monday 15th July 2019 02:45","https://sullygnome.com/channel/righteye_/stream/34908943376","315","630","2","6","3","0","4","0","Call of Duty: Black Ops 4,Apex Legends"
"18","Sunday 14th July 2019 03:15","https://sullygnome.com/channel/righteye_/stream/34896624976","225","900","4","6","0","0","5","1","Apex Legends,Call of Duty: Black Ops 4"
"19","Saturday 13th July 2019 20:00","https://sullygnome.com/channel/righteye_/stream/34892268752","45","45","1","2","0","0","0","0","Apex Legends"
"20","Saturday 13th July 2019 07:30","https://sullygnome.com/channel/righteye_/stream/34885960928","0","0","0","0","0","0","0","0","Apex Legends"
"21","Tuesday 9th July 2019 05:00","https://sullygnome.com/channel/righteye_/stream/34834998672","45","90","2","5","0","0","1","1","Call of Duty: Black Ops 4"
"22","Tuesday 2nd July 2019 03:15","https://sullygnome.com/channel/righteye_/stream/34747780080","285","570","2","5","0","0","7","1","Call of Duty: Black Ops 4"
"23","Monday 1st July 2019 05:45","https://sullygnome.com/channel/righteye_/stream/34736880000","45","0","0","1","1","1","1","1","Call of Duty: Black Ops 4"
"24","Monday 1st July 2019 03:00","https://sullygnome.com/channel/righteye_/stream/34735706912","75","0","0","1","0","0","1","0","Call of Duty: Black Ops 4"
