"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Wednesday 31st July 2019 02:31","https://sullygnome.com/channel/socom_steven/stream/35106425152","329","10199","31","39","9","1","246","46","Call of Duty: Black Ops 4"
"2","Tuesday 30th July 2019 00:00","https://sullygnome.com/channel/socom_steven/stream/35091942672","855","23940","28","65","35","2","614","42","Call of Duty: Black Ops 4"
"3","Sunday 28th July 2019 04:00","https://sullygnome.com/channel/socom_steven/stream/35070052144","870","24360","28","60","26","1","469","31","Call of Duty: Black Ops 4,Travel &amp; Outdoors"
"4","Saturday 27th July 2019 02:10","https://sullygnome.com/channel/socom_steven/stream/35057322848","200","5200","26","38","4","1","42","14","Call of Duty: Black Ops 4"
"5","Friday 26th July 2019 02:07","https://sullygnome.com/channel/socom_steven/stream/35045499824","743","15603","21","40","37","2","334","26","Call of Duty: Black Ops 4"
"6","Thursday 25th July 2019 05:28","https://sullygnome.com/channel/socom_steven/stream/35035103152","527","13175","25","48","38","4","346","38","Call of Duty: Black Ops 4"
"7","Wednesday 24th July 2019 02:15","https://sullygnome.com/channel/socom_steven/stream/35021306160","150","3450","23","40","6","2","75","27","Call of Duty: Black Ops 4"
"8","Tuesday 23rd July 2019 02:17","https://sullygnome.com/channel/socom_steven/stream/35008933872","208","4784","23","33","2","0","133","38","Call of Duty: Black Ops 4"
"9","Sunday 21st July 2019 02:26","https://sullygnome.com/channel/socom_steven/stream/34984661040","274","7398","27","39","31","6","234","49","Call of Duty: Black Ops 4"
"10","Saturday 20th July 2019 21:01","https://sullygnome.com/channel/socom_steven/stream/34981409856","149","3129","21","32","12","4","120","43","Call of Duty: Black Ops 4"
"11","Saturday 20th July 2019 02:21","https://sullygnome.com/channel/socom_steven/stream/34971021392","264","6864","26","40","7","1","92","23","Call of Duty: Black Ops 4"
"12","Friday 19th July 2019 02:49","https://sullygnome.com/channel/socom_steven/stream/34958875472","191","5348","28","51","14","4","375","107","Call of Duty: Black Ops 4"
"13","Friday 19th July 2019 00:41","https://sullygnome.com/channel/socom_steven/stream/34957530384","94","1974","21","51","6","3","201","114","Call of Duty: Black Ops 4"
"14","Thursday 18th July 2019 00:55","https://sullygnome.com/channel/socom_steven/stream/34945241056","440","16280","37","56","34","4","496","68","Call of Duty: Black Ops 4"
"15","Tuesday 16th July 2019 03:07","https://sullygnome.com/channel/socom_steven/stream/34921419152","218","5886","27","37","8","2","105","30","Call of Duty: Black Ops 4"
"16","Thursday 11th July 2019 04:58","https://sullygnome.com/channel/socom_steven/stream/34860235440","122","2684","22","34","1","0","53","23","Call of Duty: Black Ops 4,Don't Starve Together"
"17","Wednesday 10th July 2019 00:23","https://sullygnome.com/channel/socom_steven/stream/34845120960","202","5656","28","42","5","1","142","40","Call of Duty: Black Ops 4"
"18","Tuesday 9th July 2019 00:40","https://sullygnome.com/channel/socom_steven/stream/34832778672","425","12750","30","50","19","2","346","49","Call of Duty: Black Ops 4"
"19","Thursday 4th July 2019 01:44","https://sullygnome.com/channel/socom_steven/stream/34772081952","1726","53506","31","58","79","2","1037","35","Call of Duty: Black Ops 4"
"20","Tuesday 2nd July 2019 21:31","https://sullygnome.com/channel/socom_steven/stream/34756892176","29","580","20","36","3","6","20","40","Call of Duty: Black Ops 4"
"21","Tuesday 2nd July 2019 02:29","https://sullygnome.com/channel/socom_steven/stream/34747540448","1126","25898","23","44","30","1","680","36","Call of Duty: Black Ops 4"
