"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Unfortunate Spacemen","285","1365","4","19","95","20"
"2","Dungeons & Dragons","255","2670","9","17","119","28"
"3","Unlisted on Twitch","165","1635","9","13","62","22.545454"
"4","Dead by Daylight","150","1695","11","14","83","33.2"
"5","SCP: Secret Laboratory","150","330","2","4","410","164"
"6","MORDHAU","120","585","4","6","9","4.5"
"7","Natural Selection 2","120","3210","26","32","171","85.5"
"8","Deceit","105","180","1","4","499","285.142857"
"9","Prince of Persia: Warrior Within","60","5760","96","138","496","496"
"10","Warhammer: Vermintide 2","45","5295","117","164","428","570.666666"
