"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Wednesday 31st July 2019 23:45","https://sullygnome.com/channel/ssbane/stream/35117498224","330","660","2","4","0","0","6","1","Destiny 2,Terraria"
"2","Wednesday 31st July 2019 00:31","https://sullygnome.com/channel/ssbane/stream/35105006752","374","1122","3","5","0","0","5","0","Destiny 2,Terraria"
"3","Tuesday 30th July 2019 01:03","https://sullygnome.com/channel/ssbane/stream/35092641920","357","1071","3","5","0","0","19","3","Terraria"
"4","Monday 29th July 2019 00:30","https://sullygnome.com/channel/ssbane/stream/35079978496","105","210","2","4","0","0","1","0","Destiny 2,Overwatch"
"5","Sunday 28th July 2019 00:59","https://sullygnome.com/channel/ssbane/stream/35068397472","346","1038","3","5","2","0","7","1","Terraria"
"6","Friday 26th July 2019 22:05","https://sullygnome.com/channel/ssbane/stream/35054923408","520","2080","4","10","1","0","17","2","Terraria"
"7","Thursday 25th July 2019 23:30","https://sullygnome.com/channel/ssbane/stream/35043730944","420","840","2","5","1","0","10","1","Terraria"
"8","Thursday 25th July 2019 20:15","https://sullygnome.com/channel/ssbane/stream/35041742784","30","90","3","5","0","0","2","2","Music"
"9","Wednesday 24th July 2019 23:37","https://sullygnome.com/channel/ssbane/stream/35031821536","278","834","3","7","1","0","9","1","Terraria"
"10","Wednesday 24th July 2019 00:15","https://sullygnome.com/channel/ssbane/stream/35019896288","345","1035","3","5","1","0","4","0","Destiny 2,Terraria"
"11","Tuesday 23rd July 2019 01:30","https://sullygnome.com/channel/ssbane/stream/35008275456","135","270","2","4","0","0","3","1","Apex Legends,Warframe"
"12","Monday 22nd July 2019 01:28","https://sullygnome.com/channel/ssbane/stream/34996318624","227","454","2","4","0","0","5","1","Destiny 2,Super Smash Bros. Melee,Warframe"
"13","Sunday 21st July 2019 00:00","https://sullygnome.com/channel/ssbane/stream/34983301600","285","855","3","5","0","0","7","1","Destiny 2"
"14","Saturday 20th July 2019 00:08","https://sullygnome.com/channel/ssbane/stream/34969622432","232","464","2","4","0","0","5","1","Minecraft"
"15","Friday 19th July 2019 00:45","https://sullygnome.com/channel/ssbane/stream/34957362352","225","450","2","4","1","0","2","0","Minecraft"
"16","Thursday 18th July 2019 02:15","https://sullygnome.com/channel/ssbane/stream/34945969776","195","390","2","4","0","0","1","0","Apex Legends,Minecraft"
"17","Wednesday 17th July 2019 00:00","https://sullygnome.com/channel/ssbane/stream/34931985024","210","420","2","3","0","0","3","0","Destiny 2"
"18","Tuesday 16th July 2019 01:15","https://sullygnome.com/channel/ssbane/stream/34920263568","240","720","3","5","0","0","8","1","Destiny 2"
"19","Monday 15th July 2019 00:02","https://sullygnome.com/channel/ssbane/stream/34907375808","328","984","3","6","0","0","8","1","Destiny 2"
"20","Sunday 14th July 2019 00:30","https://sullygnome.com/channel/ssbane/stream/34895078848","375","1125","3","7","0","0","12","1","Destiny 2"
"21","Saturday 13th July 2019 01:15","https://sullygnome.com/channel/ssbane/stream/34882878064","165","330","2","3","-1","0","3","1","Destiny 2"
"22","Thursday 11th July 2019 23:15","https://sullygnome.com/channel/ssbane/stream/34869231248","345","345","1","6","0","0","7","1","Terraria"
"23","Wednesday 10th July 2019 23:45","https://sullygnome.com/channel/ssbane/stream/34857184096","330","990","3","6","0","0","5","0","Terraria"
"24","Tuesday 9th July 2019 22:45","https://sullygnome.com/channel/ssbane/stream/34844017728","465","1395","3","5","0","0","5","0","Destiny 2,Terraria"
"25","Monday 8th July 2019 22:40","https://sullygnome.com/channel/ssbane/stream/34831509392","470","940","2","6","0","0","14","1","Terraria"
"26","Monday 8th July 2019 00:15","https://sullygnome.com/channel/ssbane/stream/34820193520","375","750","2","4","0","0","7","1","Terraria"
"27","Sunday 7th July 2019 18:45","https://sullygnome.com/channel/ssbane/stream/34816286592","240","480","2","3","1","0","9","2","Terraria"
"28","Saturday 6th July 2019 23:15","https://sullygnome.com/channel/ssbane/stream/34807110720","390","390","1","3","0","0","7","1","Terraria"
"29","Saturday 6th July 2019 19:00","https://sullygnome.com/channel/ssbane/stream/34804138240","180","360","2","3","0","0","4","1","Terraria"
"30","Saturday 6th July 2019 00:00","https://sullygnome.com/channel/ssbane/stream/34794866640","345","690","2","4","0","0","9","1","Destiny 2,Terraria"
"31","Thursday 4th July 2019 23:45","https://sullygnome.com/channel/ssbane/stream/34782894256","360","720","2","3","0","0","1","0","Destiny 2"
"32","Thursday 4th July 2019 19:30","https://sullygnome.com/channel/ssbane/stream/34780519376","45","0","0","1","0","0","3","3","Music"
"33","Thursday 4th July 2019 01:30","https://sullygnome.com/channel/ssbane/stream/34771687088","210","630","3","3","0","0","5","1","Destiny 2"
"34","Tuesday 2nd July 2019 23:30","https://sullygnome.com/channel/ssbane/stream/34758208544","330","660","2","6","0","0","4","0","Destiny 2"
"35","Tuesday 2nd July 2019 00:15","https://sullygnome.com/channel/ssbane/stream/34746159856","285","285","1","5","0","0","8","1","Destiny 2"
