"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Friday 26th July 2019 02:44","https://sullygnome.com/channel/stqrmy/stream/35045861120","91","1183","13","16","1","0","32","21","Madden NFL 20"
"2","Sunday 21st July 2019 00:13","https://sullygnome.com/channel/stqrmy/stream/34983397936","77","1078","14","21","0","0","20","16","Madden NFL 19"
"3","Saturday 20th July 2019 00:30","https://sullygnome.com/channel/stqrmy/stream/34969735792","0","0","8","8","0","0","0","0","Madden NFL 19"
"4","Tuesday 16th July 2019 00:23","https://sullygnome.com/channel/stqrmy/stream/34919725280","52","572","11","18","0","0","9","9","Madden NFL 19"
"5","Wednesday 10th July 2019 22:30","https://sullygnome.com/channel/stqrmy/stream/34856232592","0","0","12","12","0","0","0","0","Madden NFL 19"
"6","Tuesday 9th July 2019 01:00","https://sullygnome.com/channel/stqrmy/stream/34832917504","0","0","18","18","0","0","0","0","Madden NFL 19"
"7","Monday 8th July 2019 00:16","https://sullygnome.com/channel/stqrmy/stream/34820268512","89","1602","18","23","0","0","20","13","Madden NFL 19"
"8","Sunday 7th July 2019 00:45","https://sullygnome.com/channel/stqrmy/stream/34807852608","60","1020","17","22","1","0","15","12","Madden NFL 19"
"9","Saturday 6th July 2019 00:01","https://sullygnome.com/channel/stqrmy/stream/34794903872","74","1184","16","24","2","1","25","20","Madden NFL 19"
"10","Thursday 4th July 2019 01:00","https://sullygnome.com/channel/stqrmy/stream/34771586256","0","0","19","19","0","0","0","0","Madden NFL 19"
"11","Tuesday 2nd July 2019 01:45","https://sullygnome.com/channel/stqrmy/stream/34747076832","0","0","18","30","2","8","4","16","Madden NFL 19"
"12","Tuesday 2nd July 2019 01:00","https://sullygnome.com/channel/stqrmy/stream/34746469984","0","0","18","30","2","8","4","16","Madden NFL 19"
