"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Wednesday 31st July 2019 22:58","https://sullygnome.com/channel/scaredkid93/stream/35117135488","302","2718","9","15","2","0","60","12","Borderlands 2"
"2","Monday 29th July 2019 23:01","https://sullygnome.com/channel/scaredkid93/stream/35091300560","299","3588","12","18","0","0","120","24","Borderlands 2"
"3","Sunday 28th July 2019 22:45","https://sullygnome.com/channel/scaredkid93/stream/35079105792","315","3150","10","20","2","0","122","23","Borderlands 2"
"4","Saturday 27th July 2019 13:16","https://sullygnome.com/channel/scaredkid93/stream/35061663232","899","24273","27","46","10","0","550","36","Dead Cells,Borderlands 2,Terraria,Just Chatting"
"5","Friday 26th July 2019 23:15","https://sullygnome.com/channel/scaredkid93/stream/35055529248","255","2805","11","17","1","0","97","21","Borderlands 2"
"6","Wednesday 24th July 2019 23:43","https://sullygnome.com/channel/scaredkid93/stream/35031883040","257","4112","16","49","5","1","99","23","Borderlands 2"
"7","Monday 22nd July 2019 23:07","https://sullygnome.com/channel/scaredkid93/stream/35006892912","293","3809","13","27","4","0","78","15","Borderlands 2"
"8","Sunday 21st July 2019 23:15","https://sullygnome.com/channel/scaredkid93/stream/34995019264","270","2430","9","13","1","0","79","16","Borderlands 2"
"9","Saturday 20th July 2019 23:01","https://sullygnome.com/channel/scaredkid93/stream/34982686304","329","3948","12","25","-1","0","151","26","Borderlands 2"
"10","Friday 19th July 2019 23:46","https://sullygnome.com/channel/scaredkid93/stream/34969386528","254","3048","12","20","4","0","144","32","Borderlands 2"
"11","Thursday 18th July 2019 18:18","https://sullygnome.com/channel/scaredkid93/stream/34953258480","207","2484","12","18","3","0","95","25","Borderlands 2"
"12","Thursday 18th July 2019 00:41","https://sullygnome.com/channel/scaredkid93/stream/34945084720","244","1464","6","12","2","0","68","16","Borderlands 2"
"13","Tuesday 16th July 2019 01:39","https://sullygnome.com/channel/scaredkid93/stream/34920543552","141","1269","9","13","1","0","40","16","Borderlands 2"
"14","Monday 15th July 2019 19:28","https://sullygnome.com/channel/scaredkid93/stream/34916492992","182","3094","17","33","4","1","82","27","Borderlands 2"
"15","Sunday 14th July 2019 22:39","https://sullygnome.com/channel/scaredkid93/stream/34906569360","261","6525","25","58","4","0","255","56","Borderlands 2"
"16","Saturday 13th July 2019 23:15","https://sullygnome.com/channel/scaredkid93/stream/34894410928","405","3240","8","15","2","0","159","22","Borderlands 2"
"17","Friday 12th July 2019 23:07","https://sullygnome.com/channel/scaredkid93/stream/34881733008","368","2944","8","16","5","0","98","15","Borderlands 2"
"18","Friday 12th July 2019 01:30","https://sullygnome.com/channel/scaredkid93/stream/34870776096","150","750","5","11","1","0","38","13","ChatChat"
"19","Thursday 11th July 2019 18:27","https://sullygnome.com/channel/scaredkid93/stream/34866096400","198","2178","11","21","4","1","68","19","Borderlands 2"
"20","Thursday 11th July 2019 02:15","https://sullygnome.com/channel/scaredkid93/stream/34858878960","135","1215","9","15","0","0","40","16","Borderlands 2"
"21","Sunday 7th July 2019 23:09","https://sullygnome.com/channel/scaredkid93/stream/34819619504","261","2349","9","20","1","0","67","14","Borderlands 2"
"22","Saturday 6th July 2019 18:57","https://sullygnome.com/channel/scaredkid93/stream/34804210320","648","12960","20","36","26","2","328","30","Dead Cells,Borderlands 2"
"23","Friday 5th July 2019 22:51","https://sullygnome.com/channel/scaredkid93/stream/34794187376","279","2232","8","13","1","0","57","12","Borderlands 2"
"24","Friday 5th July 2019 00:47","https://sullygnome.com/channel/scaredkid93/stream/34783472608","208","2496","12","17","1","0","97","27","Borderlands 2"
"25","Thursday 4th July 2019 14:30","https://sullygnome.com/channel/scaredkid93/stream/34777336400","60","720","12","13","0","0","0","0","Borderlands 2"
"26","Wednesday 3rd July 2019 22:54","https://sullygnome.com/channel/scaredkid93/stream/34770342432","456","5016","11","19","5","0","147","20","Borderlands 2"
"27","Wednesday 3rd July 2019 01:02","https://sullygnome.com/channel/scaredkid93/stream/34759177664","163","1630","10","14","-1","0","50","18","Borderlands 2"
"28","Monday 1st July 2019 23:01","https://sullygnome.com/channel/scaredkid93/stream/34745372464","284","3408","12","18","1","0","134","28","Borderlands 2"
