"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Sunday 28th July 2019 01:09","https://sullygnome.com/channel/seejanegotv/stream/35068495344","111","1776","16","22","2","1","46","23","Just Chatting"
"2","Saturday 27th July 2019 01:23","https://sullygnome.com/channel/seejanegotv/stream/35056840992","142","2272","16","22","0","0","33","13","Just Chatting"
"3","Thursday 25th July 2019 01:01","https://sullygnome.com/channel/seejanegotv/stream/35032725728","104","1144","11","16","-1","0","23","13","Just Chatting"
"4","Monday 22nd July 2019 00:29","https://sullygnome.com/channel/seejanegotv/stream/34995741184","121","2057","17","28","0","0","37","16","Just Chatting"
"5","Saturday 20th July 2019 02:08","https://sullygnome.com/channel/seejanegotv/stream/34970880304","97","1164","12","16","0","0","11","7","Just Chatting"
"6","Tuesday 16th July 2019 01:15","https://sullygnome.com/channel/seejanegotv/stream/34920125856","120","3360","28","33","2","0","119","52","Just Chatting"
"7","Sunday 14th July 2019 01:53","https://sullygnome.com/channel/seejanegotv/stream/34895927760","97","1746","18","25","0","0","33","18","Just Chatting"
"8","Thursday 11th July 2019 01:14","https://sullygnome.com/channel/seejanegotv/stream/34858225408","91","1274","14","18","1","0","18","12","Just Chatting"
"9","Tuesday 9th July 2019 01:18","https://sullygnome.com/channel/seejanegotv/stream/34833190608","147","4557","31","43","4","1","140","56","Just Chatting"
"10","Sunday 7th July 2019 02:06","https://sullygnome.com/channel/seejanegotv/stream/34808754880","69","897","13","16","-4","-3","21","16","Just Chatting"
"11","Saturday 6th July 2019 01:35","https://sullygnome.com/channel/seejanegotv/stream/34795845472","115","2070","18","26","4","2","22","11","Just Chatting"
"12","Monday 1st July 2019 01:13","https://sullygnome.com/channel/seejanegotv/stream/34734756304","152","3496","23","28","2","0","74","32","Just Chatting"
