"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Wednesday 31st July 2019 14:38","https://sullygnome.com/channel/shaytwan/stream/35111577136","157","13345","85","171","17","6","336","122","Overwatch"
"2","Tuesday 30th July 2019 14:01","https://sullygnome.com/channel/shaytwan/stream/35098046736","134","4288","32","39","13","5","210","93","Apex Legends"
"3","Monday 29th July 2019 11:57","https://sullygnome.com/channel/shaytwan/stream/35084546256","108","2052","19","28","8","4","145","72","Wolfenstein: Youngblood,Apex Legends"
"4","Sunday 28th July 2019 17:00","https://sullygnome.com/channel/shaytwan/stream/35075440288","105","5040","48","61","22","11","316","158","Overwatch"
"5","Friday 26th July 2019 21:26","https://sullygnome.com/channel/shaytwan/stream/35054538048","79","14536","184","254","46","30","528","352","Overwatch"
"6","Thursday 25th July 2019 21:57","https://sullygnome.com/channel/shaytwan/stream/35042870976","48","7152","149","224","24","32","156","208","Overwatch"
"7","Tuesday 23rd July 2019 17:59","https://sullygnome.com/channel/shaytwan/stream/35015786320","91","1729","19","23","8","5","99","66","Overwatch"
"8","Thursday 18th July 2019 14:24","https://sullygnome.com/channel/shaytwan/stream/34950906064","261","25317","97","145","68","16","1284","302","Overwatch"
"9","Wednesday 17th July 2019 13:05","https://sullygnome.com/channel/shaytwan/stream/34937683424","220","5060","23","51","11","2","225","60","World of Warcraft,Overwatch"
"10","Tuesday 16th July 2019 12:23","https://sullygnome.com/channel/shaytwan/stream/34924735984","262","18340","70","96","41","10","579","144","Overwatch,Apex Legends"
"11","Sunday 14th July 2019 18:25","https://sullygnome.com/channel/shaytwan/stream/34903703888","80","4960","62","76","43","28","284","189","Overwatch"
"12","Friday 12th July 2019 18:18","https://sullygnome.com/channel/shaytwan/stream/34878438160","177","2124","12","26","10","3","129","43","Sea of Thieves,Overwatch"
"13","Thursday 11th July 2019 15:52","https://sullygnome.com/channel/shaytwan/stream/34864374912","143","8151","57","90","29","11","334","133","Overwatch"
"14","Wednesday 10th July 2019 16:23","https://sullygnome.com/channel/shaytwan/stream/34852219136","232","5800","25","33","5","1","211","52","Apex Legends"
"15","Tuesday 9th July 2019 10:40","https://sullygnome.com/channel/shaytwan/stream/34836960016","305","24705","81","152","85","16","1463","278","Overwatch"
"16","Monday 1st July 2019 18:30","https://sullygnome.com/channel/shaytwan/stream/34742265552","225","2025","9","13","8","2","419","104","Age of Empires II,Counter-Strike"
