"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Wednesday 31st July 2019 04:54","https://sullygnome.com/channel/sheepdog59/stream/35107798480","306","16830","55","76","2","0","321","61","DayZ"
"2","Tuesday 30th July 2019 04:45","https://sullygnome.com/channel/sheepdog59/stream/35094695456","480","124320","259","473","19","2","1258","152","Grand Theft Auto V,DayZ"
"3","Monday 29th July 2019 05:45","https://sullygnome.com/channel/sheepdog59/stream/35082576480","330","32340","98","174","5","0","525","91","DayZ"
"4","Sunday 28th July 2019 04:27","https://sullygnome.com/channel/sheepdog59/stream/35070257936","348","63336","182","309","8","1","856","142","Grand Theft Auto V,DayZ"
"5","Wednesday 24th July 2019 04:28","https://sullygnome.com/channel/sheepdog59/stream/35022488384","302","77916","258","353","10","2","973","194","Grand Theft Auto V,Satisfactory,Subnautica"
"6","Tuesday 23rd July 2019 03:59","https://sullygnome.com/channel/sheepdog59/stream/35009857936","526","121506","231","301","37","4","1467","167","Grand Theft Auto V,DayZ"
"7","Wednesday 17th July 2019 04:03","https://sullygnome.com/channel/sheepdog59/stream/34934498496","477","47223","99","148","-6","0","497","62","Subnautica"
"8","Tuesday 16th July 2019 04:24","https://sullygnome.com/channel/sheepdog59/stream/34922054544","426","61770","145","816","8","1","1111","158","Subnautica"
"9","Tuesday 16th July 2019 03:05","https://sullygnome.com/channel/sheepdog59/stream/34921396960","70","4200","60","75","-6","-6","146","146","Subnautica"
"10","Monday 15th July 2019 03:44","https://sullygnome.com/channel/sheepdog59/stream/34909442416","511","74095","145","233","-1","0","787","92","Subnautica"
"11","Sunday 14th July 2019 05:19","https://sullygnome.com/channel/sheepdog59/stream/34897708096","401","43308","108","174","5","0","554","82","Subnautica"
"12","Wednesday 10th July 2019 05:24","https://sullygnome.com/channel/sheepdog59/stream/34847935600","426","40896","96","138","-2","0","527","72","Subnautica"
"13","Tuesday 9th July 2019 05:22","https://sullygnome.com/channel/sheepdog59/stream/34835340480","413","86730","210","355","16","2","950","135","Grand Theft Auto V,Subnautica"
"14","Tuesday 2nd July 2019 05:21","https://sullygnome.com/channel/sheepdog59/stream/34748887456","339","30171","89","116","25","4","560","97","Grand Theft Auto V"
"15","Monday 1st July 2019 04:10","https://sullygnome.com/channel/sheepdog59/stream/34736302240","350","39550","113","156","25","4","790","131","Grand Theft Auto V"
