"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Friday 26th July 2019 02:15","https://sullygnome.com/channel/shugg/stream/35045576272","225","7875","35","64","0","0","211","52","7 Days to Die"
"2","Thursday 25th July 2019 01:57","https://sullygnome.com/channel/shugg/stream/35033326192","258","9546","37","59","5","1","214","47","7 Days to Die"
"3","Wednesday 24th July 2019 03:27","https://sullygnome.com/channel/shugg/stream/35021312656","198","4752","24","37","6","1","175","38","7 Days to Die"
"4","Tuesday 23rd July 2019 02:15","https://sullygnome.com/channel/shugg/stream/35008908688","315","11340","36","88","3","0","264","48","7 Days to Die"
"5","Sunday 21st July 2019 02:41","https://sullygnome.com/channel/shugg/stream/34984792496","319","12760","40","64","2","0","262","47","ARK: Survival Evolved"
"6","Saturday 20th July 2019 02:55","https://sullygnome.com/channel/shugg/stream/34971351744","395","11060","28","39","10","1","197","29","ARK: Survival Evolved"
"7","Friday 19th July 2019 02:55","https://sullygnome.com/channel/shugg/stream/34958925600","155","4030","26","35","2","0","100","36","7 Days to Die"
"8","Thursday 18th July 2019 02:06","https://sullygnome.com/channel/shugg/stream/34946037520","189","6048","32","63","1","0","186","62","7 Days to Die"
"9","Wednesday 17th July 2019 02:06","https://sullygnome.com/channel/shugg/stream/34933403200","174","6960","40","59","1","0","183","61","7 Days to Die"
"10","Tuesday 16th July 2019 01:52","https://sullygnome.com/channel/shugg/stream/34920669936","188","5640","30","51","4","1","167","51","7 Days to Die"
"11","Monday 15th July 2019 01:51","https://sullygnome.com/channel/shugg/stream/34908448448","204","7344","36","65","1","0","221","63","ARK: Survival Evolved"
"12","Saturday 13th July 2019 02:29","https://sullygnome.com/channel/shugg/stream/34883820256","496","17360","35","60","9","1","309","36","ARK: Survival Evolved"
"13","Friday 12th July 2019 02:35","https://sullygnome.com/channel/shugg/stream/34871491696","280","10920","39","59","9","1","231","48","ARK: Survival Evolved"
"14","Thursday 11th July 2019 02:07","https://sullygnome.com/channel/shugg/stream/34858792576","263","12098","46","91","12","2","326","72","7 Days to Die"
"15","Wednesday 10th July 2019 02:05","https://sullygnome.com/channel/shugg/stream/34846249856","265","13780","52","81","4","0","352","78","7 Days to Die"
"16","Tuesday 9th July 2019 01:59","https://sullygnome.com/channel/shugg/stream/34833619600","271","12195","45","58","2","0","255","60","7 Days to Die"
"17","Sunday 7th July 2019 02:23","https://sullygnome.com/channel/shugg/stream/34808921536","307","13201","43","56","6","1","267","50","7 Days to Die"
"18","Saturday 6th July 2019 02:30","https://sullygnome.com/channel/shugg/stream/34796401296","405","16605","41","69","12","1","417","61","Just Chatting,ARK: Survival Evolved"
"19","Thursday 4th July 2019 02:19","https://sullygnome.com/channel/shugg/stream/34772441104","251","11044","44","59","2","0","224","52","7 Days to Die"
"20","Wednesday 3rd July 2019 02:16","https://sullygnome.com/channel/shugg/stream/34759960768","254","13462","53","70","4","0","290","68","7 Days to Die"
"21","Tuesday 2nd July 2019 01:57","https://sullygnome.com/channel/shugg/stream/34747215616","378","20790","55","92","2","0","374","57","7 Days to Die"
