"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Wednesday 31st July 2019 17:59","https://sullygnome.com/channel/sidayira/stream/35113610384","181","1086","6","10","1","0","28","9","World of Warcraft"
"2","Sunday 28th July 2019 16:55","https://sullygnome.com/channel/sidayira/stream/35075378960","245","2695","11","16","0","0","63","14","World of Warcraft"
"3","Thursday 25th July 2019 17:54","https://sullygnome.com/channel/sidayira/stream/35040149792","156","780","5","7","0","0","27","9","World of Warcraft"
"4","Wednesday 24th July 2019 17:52","https://sullygnome.com/channel/sidayira/stream/35027941296","173","865","5","7","0","0","31","10","World of Warcraft"
"5","Tuesday 23rd July 2019 17:52","https://sullygnome.com/channel/sidayira/stream/35015702224","173","1211","7","10","1","0","34","11","World of Warcraft"
"6","Thursday 18th July 2019 17:56","https://sullygnome.com/channel/sidayira/stream/34952972208","184","1472","8","11","1","0","34","10","World of Warcraft"
"7","Wednesday 17th July 2019 17:53","https://sullygnome.com/channel/sidayira/stream/34940403360","172","1892","11","15","1","0","20","6","World of Warcraft"
"8","Sunday 14th July 2019 16:51","https://sullygnome.com/channel/sidayira/stream/34902614320","204","1224","6","11","0","0","19","5","World of Warcraft"
"9","Thursday 11th July 2019 17:55","https://sullygnome.com/channel/sidayira/stream/34865695792","185","740","4","9","0","0","17","5","World of Warcraft"
"10","Wednesday 10th July 2019 17:59","https://sullygnome.com/channel/sidayira/stream/34853280832","181","724","4","9","0","0","19","5","World of Warcraft"
