"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Wednesday 31st July 2019 03:00","https://sullygnome.com/channel/silver_surfin/stream/35106636608","120","840","7","12","6","2","25","11","Rocket League"
"2","Tuesday 30th July 2019 02:56","https://sullygnome.com/channel/silver_surfin/stream/35093813936","139","973","7","8","5","2","20","8","Rocket League"
"3","Sunday 28th July 2019 02:54","https://sullygnome.com/channel/silver_surfin/stream/35069482144","126","1134","9","14","2","0","25","11","Rocket League"
"4","Friday 26th July 2019 02:53","https://sullygnome.com/channel/silver_surfin/stream/35045934464","112","1120","10","16","2","1","29","14","Rocket League"
"5","Thursday 25th July 2019 02:53","https://sullygnome.com/channel/silver_surfin/stream/35033886672","127","1143","9","14","0","0","30","13","Rocket League"
"6","Wednesday 24th July 2019 02:54","https://sullygnome.com/channel/silver_surfin/stream/35021684880","126","1008","8","15","4","1","18","8","Rocket League"
"7","Tuesday 23rd July 2019 02:55","https://sullygnome.com/channel/silver_surfin/stream/35009292944","125","875","7","10","1","0","11","4","Rocket League"
"8","Sunday 21st July 2019 02:56","https://sullygnome.com/channel/silver_surfin/stream/34984927248","64","320","5","7","0","0","3","3","Rocket League"
"9","Saturday 20th July 2019 03:00","https://sullygnome.com/channel/silver_surfin/stream/34971405776","120","360","3","4","0","0","4","1","Teamfight Tactics"
"10","Friday 19th July 2019 03:15","https://sullygnome.com/channel/silver_surfin/stream/34958933568","105","315","3","4","0","0","4","2","Teamfight Tactics"
"11","Monday 15th July 2019 03:15","https://sullygnome.com/channel/silver_surfin/stream/34909101504","90","270","3","6","0","0","4","2","Teamfight Tactics"
"12","Sunday 14th July 2019 03:00","https://sullygnome.com/channel/silver_surfin/stream/34896488928","90","180","2","3","-1","0","6","3","Teamfight Tactics"
"13","Saturday 13th July 2019 03:15","https://sullygnome.com/channel/silver_surfin/stream/34884084272","105","315","3","5","0","0","2","1","Teamfight Tactics"
"14","Friday 12th July 2019 03:00","https://sullygnome.com/channel/silver_surfin/stream/34871740912","90","180","2","5","0","0","8","4","Teamfight Tactics"
"15","Thursday 11th July 2019 03:00","https://sullygnome.com/channel/silver_surfin/stream/34859252704","105","210","2","3","0","0","3","1","Teamfight Tactics"
"16","Wednesday 10th July 2019 02:54","https://sullygnome.com/channel/silver_surfin/stream/34846727568","126","756","6","12","-1","0","11","4","Rocket League"
"17","Monday 8th July 2019 03:15","https://sullygnome.com/channel/silver_surfin/stream/34821760064","105","525","5","7","-1","0","10","5","Rocket League"
"18","Sunday 7th July 2019 03:03","https://sullygnome.com/channel/silver_surfin/stream/34809291504","87","261","3","5","0","0","9","5","Rocket League"
"19","Saturday 6th July 2019 03:15","https://sullygnome.com/channel/silver_surfin/stream/34796662000","105","315","3","5","0","0","4","2","Rocket League"
"20","Friday 5th July 2019 02:58","https://sullygnome.com/channel/silver_surfin/stream/34784524576","122","488","4","7","0","0","10","4","Rocket League"
"21","Thursday 4th July 2019 03:15","https://sullygnome.com/channel/silver_surfin/stream/34772866784","135","270","2","3","0","0","6","2","Teamfight Tactics"
"22","Wednesday 3rd July 2019 02:50","https://sullygnome.com/channel/silver_surfin/stream/34760297232","145","580","4","5","0","0","11","4","Teamfight Tactics"
"23","Tuesday 2nd July 2019 03:45","https://sullygnome.com/channel/silver_surfin/stream/34747847872","105","525","5","8","0","0","4","2","Rocket League"
"24","Monday 1st July 2019 02:59","https://sullygnome.com/channel/silver_surfin/stream/34735744848","121","363","3","6","0","0","13","5","Rocket League,Teamfight Tactics"
