"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Wednesday 31st July 2019 18:15","https://sullygnome.com/channel/sitoxity/stream/35113821280","165","495","3","5","0","0","7","2","NieR: Automata"
"2","Monday 29th July 2019 18:00","https://sullygnome.com/channel/sitoxity/stream/35087783632","315","1575","5","12","5","0","70","12","Swords &amp; Souls: Neverseen"
"3","Friday 26th July 2019 17:59","https://sullygnome.com/channel/sitoxity/stream/35052241488","301","602","2","4","0","0","8","1","Escape from Tarkov"
"4","Friday 19th July 2019 11:01","https://sullygnome.com/channel/sitoxity/stream/34961896544","329","1316","4","9","1","0","25","4","Insurgency: Sandstorm"
"5","Wednesday 17th July 2019 18:29","https://sullygnome.com/channel/sitoxity/stream/34940865568","271","2168","8","14","2","0","51","10","Monster Hunter: World"
"6","Monday 15th July 2019 14:59","https://sullygnome.com/channel/sitoxity/stream/34913539136","361","1083","3","8","1","0","35","5","Monster Hunter: World"
"7","Saturday 13th July 2019 11:07","https://sullygnome.com/channel/sitoxity/stream/34887282112","293","2344","8","15","1","0","22","4","Darkest Dungeon"
"8","Monday 8th July 2019 13:59","https://sullygnome.com/channel/sitoxity/stream/34825884800","286","858","3","5","0","0","11","2","Monster Hunter: World"
"9","Friday 5th July 2019 17:01","https://sullygnome.com/channel/sitoxity/stream/34790184432","374","2244","6","11","1","0","32","4","Metal Gear Rising: Revengeance"
"10","Tuesday 2nd July 2019 17:00","https://sullygnome.com/channel/sitoxity/stream/34753568416","285","1425","5","7","2","0","17","3","Monster Hunter: World"
