"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Tuesday 30th July 2019 18:00","https://sullygnome.com/channel/sketchire_kat/stream/35100386352","15","30","2","2","0","0","6","12","Diablo II"
"2","Saturday 27th July 2019 21:00","https://sullygnome.com/channel/sketchire_kat/stream/35066053680","120","360","3","5","0","0","7","3","Diablo II"
"3","Monday 22nd July 2019 16:00","https://sullygnome.com/channel/sketchire_kat/stream/35001858496","330","1650","5","8","2","0","24","4","Diablo II"
"4","Monday 22nd July 2019 11:30","https://sullygnome.com/channel/sketchire_kat/stream/34999947504","30","90","3","4","0","0","2","2","Diablo II"
"5","Sunday 21st July 2019 11:06","https://sullygnome.com/channel/sketchire_kat/stream/34987982480","354","1416","4","6","0","0","30","5","Diablo II"
"6","Saturday 20th July 2019 23:21","https://sullygnome.com/channel/sketchire_kat/stream/34982881888","159","636","4","7","-1","0","8","2","Terraria,Diablo II"
"7","Thursday 18th July 2019 21:00","https://sullygnome.com/channel/sketchire_kat/stream/34954908224","90","270","3","6","0","0","5","2","Terraria"
"8","Thursday 18th July 2019 20:15","https://sullygnome.com/channel/sketchire_kat/stream/34954628464","0","0","3","3","0","0","0","0","Terraria"
"9","Tuesday 16th July 2019 18:45","https://sullygnome.com/channel/sketchire_kat/stream/34928430240","105","420","4","7","0","0","14","7","Minecraft"
"10","Monday 15th July 2019 18:45","https://sullygnome.com/channel/sketchire_kat/stream/34915890624","120","720","6","9","1","0","14","6","Risk of Rain 2"
"11","Friday 12th July 2019 17:45","https://sullygnome.com/channel/sketchire_kat/stream/34877986928","210","1260","6","9","1","0","28","7","Minecraft"
"12","Thursday 11th July 2019 18:45","https://sullygnome.com/channel/sketchire_kat/stream/34866296336","120","360","3","6","1","0","14","6","Minecraft"
"13","Wednesday 10th July 2019 01:15","https://sullygnome.com/channel/sketchire_kat/stream/34845485824","120","360","3","8","-1","0","18","8","Minecraft"
"14","Sunday 7th July 2019 23:30","https://sullygnome.com/channel/sketchire_kat/stream/34819710528","90","180","2","4","0","0","1","0","Risk of Rain 2"
"15","Friday 5th July 2019 13:02","https://sullygnome.com/channel/sketchire_kat/stream/34788108384","253","1265","5","9","0","0","23","5","Sid Meier's Civilization IV"
"16","Friday 5th July 2019 03:30","https://sullygnome.com/channel/sketchire_kat/stream/34784742208","75","150","2","3","0","0","18","12","Sid Meier's Civilization IV"
"17","Friday 5th July 2019 01:00","https://sullygnome.com/channel/sketchire_kat/stream/34783471536","120","240","2","6","0","0","11","4","Sid Meier's Civilization IV"
"18","Monday 1st July 2019 18:45","https://sullygnome.com/channel/sketchire_kat/stream/34742418064","60","240","4","8","0","0","19","15","Just Chatting"
