"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Wednesday 31st July 2019 14:21","https://sullygnome.com/channel/skizon1/stream/35111436544","189","1890","10","16","0","0","22","6","Fortnite"
"2","Tuesday 30th July 2019 20:44","https://sullygnome.com/channel/skizon1/stream/35102457040","196","2156","11","24","10","2","76","21","Fortnite,Marbles on Stream"
"3","Tuesday 30th July 2019 13:52","https://sullygnome.com/channel/skizon1/stream/35097969168","218","1308","6","9","2","0","26","7","Fortnite"
"4","Monday 29th July 2019 20:59","https://sullygnome.com/channel/skizon1/stream/35089980512","106","954","9","12","2","1","21","14","Fortnite"
"5","Monday 29th July 2019 13:42","https://sullygnome.com/channel/skizon1/stream/35085309744","228","1368","6","9","2","0","34","8","Fortnite,Forza Horizon 4"
"6","Sunday 28th July 2019 15:15","https://sullygnome.com/channel/skizon1/stream/35074049792","75","300","4","9","0","0","11","7","Fortnite"
"7","Saturday 27th July 2019 22:49","https://sullygnome.com/channel/skizon1/stream/35067191104","236","1416","6","13","1","0","33","8","Fortnite"
"8","Saturday 27th July 2019 14:56","https://sullygnome.com/channel/skizon1/stream/35062462576","139","973","7","12","3","1","23","9","Fortnite"
"9","Friday 26th July 2019 22:12","https://sullygnome.com/channel/skizon1/stream/35054993888","93","651","7","11","2","1","12","6","Fortnite"
"10","Friday 26th July 2019 15:00","https://sullygnome.com/channel/skizon1/stream/35050428976","120","840","7","9","2","0","14","6","Fortnite"
"11","Friday 26th July 2019 10:09","https://sullygnome.com/channel/skizon1/stream/35048572880","111","888","8","12","6","3","1","0","Fortnite"
"12","Thursday 25th July 2019 20:54","https://sullygnome.com/channel/skizon1/stream/35042214752","231","1155","5","7","7","1","42","10","Fortnite,Marbles on Stream"
"13","Thursday 25th July 2019 13:47","https://sullygnome.com/channel/skizon1/stream/35037913872","283","1981","7","12","5","1","39","7","Fortnite"
"14","Thursday 25th July 2019 10:52","https://sullygnome.com/channel/skizon1/stream/35036775232","53","318","6","8","0","0","7","7","Fortnite"
"15","Wednesday 24th July 2019 14:39","https://sullygnome.com/channel/skizon1/stream/35026094416","216","1512","7","16","2","0","26","6","Fortnite,Marbles on Stream"
"16","Tuesday 23rd July 2019 21:02","https://sullygnome.com/channel/skizon1/stream/35017972512","163","2119","13","17","10","3","30","10","Marbles on Stream"
"17","Tuesday 23rd July 2019 14:43","https://sullygnome.com/channel/skizon1/stream/35013846448","182","2002","11","20","14","4","30","9","Fortnite"
"18","Tuesday 23rd July 2019 10:15","https://sullygnome.com/channel/skizon1/stream/35011981808","60","240","4","7","2","1","2","1","Fortnite"
"19","Sunday 21st July 2019 14:43","https://sullygnome.com/channel/skizon1/stream/34989615008","212","1908","9","18","9","2","38","10","Fortnite"
"20","Saturday 20th July 2019 15:21","https://sullygnome.com/channel/skizon1/stream/34976698912","189","1512","8","13","0","0","29","8","Fortnite"
"21","Friday 19th July 2019 14:51","https://sullygnome.com/channel/skizon1/stream/34963573616","339","4407","13","21","17","2","64","11","Fortnite"
"22","Thursday 18th July 2019 22:44","https://sullygnome.com/channel/skizon1/stream/34956272192","226","904","4","9","1","0","16","4","Fortnite"
"23","Thursday 18th July 2019 15:29","https://sullygnome.com/channel/skizon1/stream/34951470544","151","1661","11","19","6","2","37","13","Fortnite"
"24","Wednesday 17th July 2019 20:49","https://sullygnome.com/channel/skizon1/stream/34942572336","146","1314","9","11","3","1","29","11","Rise of the Tomb Raider"
"25","Wednesday 17th July 2019 13:37","https://sullygnome.com/channel/skizon1/stream/34937925984","173","1903","11","14","12","4","29","9","Fortnite"
"26","Tuesday 16th July 2019 14:53","https://sullygnome.com/channel/skizon1/stream/34925926432","82","984","12","17","0","0","17","13","Fortnite"
"27","Monday 15th July 2019 22:06","https://sullygnome.com/channel/skizon1/stream/34918270672","84","336","4","7","1","0","10","6","Rise of the Tomb Raider"
"28","Monday 15th July 2019 13:55","https://sullygnome.com/channel/skizon1/stream/34913003776","125","625","5","8","3","1","11","4","Fortnite"
"29","Thursday 11th July 2019 14:41","https://sullygnome.com/channel/skizon1/stream/34863744720","79","237","3","7","0","0","11","7","Fortnite"
"30","Wednesday 10th July 2019 14:04","https://sullygnome.com/channel/skizon1/stream/34850968624","56","336","6","11","0","0","14","14","Fortnite"
"31","Tuesday 9th July 2019 10:30","https://sullygnome.com/channel/skizon1/stream/34836880192","75","300","4","7","0","0","8","5","Forza Horizon 4"
"32","Monday 8th July 2019 14:15","https://sullygnome.com/channel/skizon1/stream/34825994144","120","480","4","8","-1","0","15","6","Fortnite"
"33","Saturday 6th July 2019 13:30","https://sullygnome.com/channel/skizon1/stream/34800885200","75","600","8","11","3","2","7","4","Fortnite"
"34","Thursday 4th July 2019 15:30","https://sullygnome.com/channel/skizon1/stream/34777632384","75","375","5","9","0","0","10","6","Fortnite"
"35","Tuesday 2nd July 2019 14:39","https://sullygnome.com/channel/skizon1/stream/34752194528","156","1404","9","15","4","1","23","8","Fortnite"
"36","Monday 1st July 2019 13:46","https://sullygnome.com/channel/skizon1/stream/34739530960","74","1036","14","20","3","2","36","24","Fortnite"
