"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Wednesday 31st July 2019 15:10","https://sullygnome.com/channel/slabu/stream/35111855648","350","1050","3","6","-2","0","56","9","Overwatch"
"2","Tuesday 30th July 2019 15:31","https://sullygnome.com/channel/slabu/stream/35098838544","269","1345","5","8","0","0","47","10","Overwatch"
"3","Sunday 28th July 2019 14:10","https://sullygnome.com/channel/slabu/stream/35073884128","305","2135","7","12","3","0","116","22","theHunter: Call of the Wild"
"4","Saturday 27th July 2019 16:00","https://sullygnome.com/channel/slabu/stream/35062893456","300","1200","4","6","0","0","70","13","Wolfenstein: Youngblood"
"5","Friday 26th July 2019 14:36","https://sullygnome.com/channel/slabu/stream/35050351088","324","1296","4","8","1","0","69","12","The Witcher"
"6","Thursday 25th July 2019 14:51","https://sullygnome.com/channel/slabu/stream/35038416944","369","1107","3","6","0","0","51","8","The Witcher"
"7","Tuesday 23rd July 2019 14:38","https://sullygnome.com/channel/slabu/stream/35013802928","322","1288","4","7","1","0","53","9","Overwatch"
"8","Sunday 21st July 2019 15:33","https://sullygnome.com/channel/slabu/stream/34990060720","342","1368","4","9","1","0","62","10","Overwatch"
"9","Tuesday 16th July 2019 15:00","https://sullygnome.com/channel/slabu/stream/34925987568","375","1500","4","7","0","0","70","10","The Witcher"
"10","Sunday 14th July 2019 14:59","https://sullygnome.com/channel/slabu/stream/34901508528","346","692","2","6","0","0","82","14","Apex Legends"
"11","Tuesday 9th July 2019 17:45","https://sullygnome.com/channel/slabu/stream/34840563296","180","1440","8","11","1","0","35","11","Euro Truck Simulator 2"
"12","Tuesday 9th July 2019 17:30","https://sullygnome.com/channel/slabu/stream/34840375216","0","0","6","7","0","0","23","92","Overwatch"
"13","Tuesday 9th July 2019 14:30","https://sullygnome.com/channel/slabu/stream/34838605408","150","900","6","9","0","0","48","19","Euro Truck Simulator 2"
"14","Friday 5th July 2019 14:59","https://sullygnome.com/channel/slabu/stream/34789044224","346","1384","4","7","1","0","39","6","Two Point Hospital"
"15","Thursday 4th July 2019 15:00","https://sullygnome.com/channel/slabu/stream/34777584192","360","720","2","22","-1","0","74","11","Apex Legends,Overwatch"
"16","Tuesday 2nd July 2019 15:00","https://sullygnome.com/channel/slabu/stream/34752375040","300","1200","4","9","0","0","27","5","A Plague Tale: Innocence"
