"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Saturday 27th July 2019 10:41","https://sullygnome.com/channel/soweq/stream/35060648624","454","26332","58","79","5","0","877","113","Just Chatting"
"2","Friday 26th July 2019 12:15","https://sullygnome.com/channel/soweq/stream/35049307872","450","24750","55","85","3","0","731","94","Just Chatting"
"3","Thursday 25th July 2019 07:07","https://sullygnome.com/channel/soweq/stream/35035644016","818","62168","76","108","12","0","1304","98","Just Chatting"
"4","Wednesday 24th July 2019 10:45","https://sullygnome.com/channel/soweq/stream/35024471152","405","17010","42","71","2","0","843","120","Just Chatting"
"5","Saturday 20th July 2019 09:20","https://sullygnome.com/channel/soweq/stream/34974008208","370","29230","79","166","8","1","922","147","Just Chatting"
"6","Friday 19th July 2019 11:29","https://sullygnome.com/channel/soweq/stream/34962062352","316","21488","68","107","18","3","720","130","Just Chatting"
"7","Thursday 18th July 2019 09:42","https://sullygnome.com/channel/soweq/stream/34949043824","378","21168","56","96","17","2","750","115","Just Chatting"
"8","Wednesday 17th July 2019 11:23","https://sullygnome.com/channel/soweq/stream/34936990320","262","18340","70","116","5","1","578","128","Just Chatting"
"9","Tuesday 16th July 2019 11:06","https://sullygnome.com/channel/soweq/stream/34924240240","264","24024","91","142","21","4","833","185","Just Chatting"
"10","Monday 15th July 2019 10:19","https://sullygnome.com/channel/soweq/stream/34911595008","311","14306","46","74","2","0","501","95","Just Chatting"
"11","Saturday 13th July 2019 10:09","https://sullygnome.com/channel/soweq/stream/34886937472","441","45423","103","392","31","4","1278","170","Just Chatting"
"12","Friday 12th July 2019 12:54","https://sullygnome.com/channel/soweq/stream/34875385344","411","22605","55","81","6","0","701","100","Just Chatting"
"13","Thursday 11th July 2019 10:56","https://sullygnome.com/channel/soweq/stream/34862126944","514","26214","51","73","-4","0","984","112","Just Chatting"
"14","Wednesday 10th July 2019 10:18","https://sullygnome.com/channel/soweq/stream/34849452944","492","38376","78","114","11","1","991","120","Just Chatting"
"15","Friday 5th July 2019 12:22","https://sullygnome.com/channel/soweq/stream/34787825648","713","42780","60","89","22","1","1394","116","Just Chatting"
"16","Thursday 4th July 2019 10:19","https://sullygnome.com/channel/soweq/stream/34775603024","581","58681","101","172","50","5","1504","154","Just Chatting"
"17","Wednesday 3rd July 2019 07:35","https://sullygnome.com/channel/soweq/stream/34762232976","895","70705","79","113","26","1","2052","144","Just Chatting"
"18","Tuesday 2nd July 2019 13:35","https://sullygnome.com/channel/soweq/stream/34751672656","490","32830","67","98","16","1","872","105","Just Chatting"
"19","Monday 1st July 2019 13:41","https://sullygnome.com/channel/soweq/stream/34739492208","709","45376","64","94","9","0","1267","105","Just Chatting"
