"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Monday 29th July 2019 19:00","https://sullygnome.com/channel/stroepcke/stream/35088544080","0","0","4","4","0","0","0","0","Travel &amp; Outdoors"
"2","Saturday 27th July 2019 07:49","https://sullygnome.com/channel/stroepcke/stream/35059780944","191","1910","10","15","0","0","43","13","Fortnite"
"3","Friday 26th July 2019 05:05","https://sullygnome.com/channel/stroepcke/stream/35046991792","310","2790","9","16","7","1","54","10","Fortnite"
"4","Thursday 25th July 2019 05:01","https://sullygnome.com/channel/stroepcke/stream/35034928368","284","3124","11","24","4","0","86","18","Fortnite"
"5","Wednesday 24th July 2019 05:31","https://sullygnome.com/channel/stroepcke/stream/35022900432","224","1792","8","16","6","1","61","16","Just Chatting,Fortnite"
"6","Monday 22nd July 2019 04:58","https://sullygnome.com/channel/stroepcke/stream/34998035872","362","2534","7","13","3","0","59","9","Fortnite"
"7","Saturday 20th July 2019 22:20","https://sullygnome.com/channel/stroepcke/stream/34977395856","100","1400","14","36","7","0","323","41","Fortnite"
"8","Friday 19th July 2019 02:01","https://sullygnome.com/channel/stroepcke/stream/34958390432","179","2148","12","17","3","1","33","11","Fortnite"
"9","Thursday 18th July 2019 02:00","https://sullygnome.com/channel/stroepcke/stream/34945970768","180","2700","15","26","7","2","60","18","Fortnite"
"10","Wednesday 17th July 2019 02:00","https://sullygnome.com/channel/stroepcke/stream/34933302480","180","2700","15","24","4","1","42","12","Fortnite"
"11","Tuesday 16th July 2019 02:01","https://sullygnome.com/channel/stroepcke/stream/34920765168","164","1804","11","19","1","0","30","10","Fortnite"
"12","Monday 15th July 2019 01:57","https://sullygnome.com/channel/stroepcke/stream/34908505104","168","1344","8","10","-1","0","34","11","Fortnite"
"13","Saturday 13th July 2019 15:59","https://sullygnome.com/channel/stroepcke/stream/34889642832","181","1267","7","13","1","0","27","9","Fortnite"
"14","Friday 12th July 2019 18:10","https://sullygnome.com/channel/stroepcke/stream/34878350240","245","1470","6","9","-1","0","29","7","Fortnite"
"15","Friday 12th July 2019 11:00","https://sullygnome.com/channel/stroepcke/stream/34874637840","240","2400","10","17","2","0","46","12","Fortnite"
"16","Friday 12th July 2019 02:07","https://sullygnome.com/channel/stroepcke/stream/34871107040","338","4056","12","19","12","2","79","13","Fortnite"
"17","Thursday 11th July 2019 02:00","https://sullygnome.com/channel/stroepcke/stream/34858717616","195","2925","15","26","7","2","59","16","Fortnite"
"18","Wednesday 10th July 2019 01:58","https://sullygnome.com/channel/stroepcke/stream/34846167856","182","1638","9","16","5","1","39","12","Fortnite"
"19","Tuesday 9th July 2019 01:57","https://sullygnome.com/channel/stroepcke/stream/34833593232","168","2016","12","18","4","1","42","14","Fortnite"
"20","Monday 8th July 2019 02:06","https://sullygnome.com/channel/stroepcke/stream/34821277360","174","2436","14","21","5","1","50","15","Fortnite"
"21","Friday 5th July 2019 22:36","https://sullygnome.com/channel/stroepcke/stream/34791461216","129","3096","24","52","10","1","618","117","Just Chatting,Marbles on Stream,Unlisted on Twitch,skribbl.io"
"22","Friday 5th July 2019 01:59","https://sullygnome.com/channel/stroepcke/stream/34784051600","181","4706","26","83","4","1","125","38","Fortnite"
"23","Thursday 4th July 2019 02:06","https://sullygnome.com/channel/stroepcke/stream/34772241312","159","1431","9","20","0","0","37","12","Fortnite"
"24","Wednesday 3rd July 2019 01:59","https://sullygnome.com/channel/stroepcke/stream/34759782944","166","2988","18","24","11","3","85","28","Fortnite"
"25","Tuesday 2nd July 2019 02:00","https://sullygnome.com/channel/stroepcke/stream/34747240688","165","2640","16","23","6","2","58","19","Fortnite"
"26","Monday 1st July 2019 03:58","https://sullygnome.com/channel/stroepcke/stream/34736208528","62","3906","63","123","1","1","112","112","Fortnite"
"27","Monday 1st July 2019 01:58","https://sullygnome.com/channel/stroepcke/stream/34735189088","107","1177","11","17","1","0","16","10","Fortnite"
