"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Saturday 27th July 2019 01:15","https://sullygnome.com/channel/stardustvn89/stream/35056744352","150","300","2","10","0","0","25","9","Dota Underlords"
"2","Tuesday 23rd July 2019 23:09","https://sullygnome.com/channel/stardustvn89/stream/35019312640","66","132","2","5","0","0","8","6","Food &amp; Drink"
"3","Friday 19th July 2019 23:08","https://sullygnome.com/channel/stardustvn89/stream/34969013856","127","889","7","9","0","0","24","10","Food &amp; Drink"
"4","Wednesday 17th July 2019 01:00","https://sullygnome.com/channel/stardustvn89/stream/34932605504","120","360","3","6","0","0","7","3","Dota Underlords"
"5","Wednesday 17th July 2019 00:15","https://sullygnome.com/channel/stardustvn89/stream/34932117456","0","0","2","2","0","0","0","0","Overwatch"
"6","Saturday 6th July 2019 00:45","https://sullygnome.com/channel/stardustvn89/stream/34795291072","60","120","2","3","1","0","5","4","Food &amp; Drink"
"7","Thursday 4th July 2019 14:45","https://sullygnome.com/channel/stardustvn89/stream/34777230688","165","1320","8","12","0","0","25","8","Food &amp; Drink"
"8","Thursday 4th July 2019 01:45","https://sullygnome.com/channel/stardustvn89/stream/34772064480","105","525","5","11","0","0","20","10","Food &amp; Drink"
"9","Wednesday 3rd July 2019 01:15","https://sullygnome.com/channel/stardustvn89/stream/34759274192","120","120","1","3","0","0","4","1","Dota Underlords"
"10","Tuesday 2nd July 2019 00:30","https://sullygnome.com/channel/stardustvn89/stream/34746161936","75","225","3","6","0","0","11","7","Food &amp; Drink"
