"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Wednesday 31st July 2019 17:57","https://sullygnome.com/channel/stevicules/stream/35113579904","303","65448","216","286","2","0","4732","901","Dota Underlords"
"2","Friday 26th July 2019 17:45","https://sullygnome.com/channel/stevicules/stream/35052095472","270","77220","286","348","6","1","4759","1057","Dota Underlords"
"3","Wednesday 24th July 2019 17:54","https://sullygnome.com/channel/stevicules/stream/35027967952","291","77406","266","333","10","2","6992","1398","World of Warcraft,Dota Underlords"
"4","Sunday 21st July 2019 19:54","https://sullygnome.com/channel/stevicules/stream/34992944656","171","36936","216","267","6","2","2403","801","Dota Underlords"
"5","Friday 19th July 2019 17:55","https://sullygnome.com/channel/stevicules/stream/34965427088","275","92675","337","412","8","1","4984","1049","Dota Underlords"
"6","Wednesday 17th July 2019 17:54","https://sullygnome.com/channel/stevicules/stream/34940423440","321","113313","353","568","19","3","7953","1446","World of Warcraft,Dota Underlords,Teamfight Tactics"
"7","Sunday 14th July 2019 19:44","https://sullygnome.com/channel/stevicules/stream/34904683888","241","44103","183","259","5","1","2890","722","Dota Underlords"
"8","Friday 12th July 2019 17:57","https://sullygnome.com/channel/stevicules/stream/34878178832","363","123783","341","432","26","4","7022","1123","World of Warcraft,Dota Underlords"
"9","Wednesday 10th July 2019 17:47","https://sullygnome.com/channel/stevicules/stream/34853133520","283","72165","255","325","-3","0","5511","1160","Dota Underlords,Minion Masters"
"10","Sunday 7th July 2019 20:03","https://sullygnome.com/channel/stevicules/stream/34817632544","192","30336","158","211","3","0","1833","564","Dota Underlords,Chess Rush"
"11","Friday 5th July 2019 17:47","https://sullygnome.com/channel/stevicules/stream/34790684208","343","135142","394","546","42","7","7120","1238","Dota Underlords,Teamfight Tactics,Auto Chess"
"12","Wednesday 3rd July 2019 17:39","https://sullygnome.com/channel/stevicules/stream/34766717808","396","110880","280","462","9","1","8215","1217","World of Warcraft,Auto Chess,Teamfight Tactics,Dota Underlords"
