"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Wednesday 31st July 2019 16:16","https://sullygnome.com/channel/superpinkykitty/stream/35112481600","614","17192","28","47","2","0","590","57","Just Chatting,60 Seconds!,Unlisted on Twitch,The Legend of Zelda: Breath of the Wild"
"2","Tuesday 30th July 2019 18:43","https://sullygnome.com/channel/superpinkykitty/stream/35098948688","377","14326","38","63","23","2","894","94","Just Chatting,60 Seconds!,World of Warcraft"
"3","Wednesday 24th July 2019 20:36","https://sullygnome.com/channel/superpinkykitty/stream/35029885600","279","6417","23","35","9","1","254","53","Just Chatting,The Legend of Zelda: Breath of the Wild,Counter-Strike: Global Offensive"
"4","Wednesday 24th July 2019 15:33","https://sullygnome.com/channel/superpinkykitty/stream/35026554064","147","4998","34","45","1","0","116","46","Just Chatting,The Legend of Zelda: Breath of the Wild"
"5","Tuesday 23rd July 2019 15:57","https://sullygnome.com/channel/superpinkykitty/stream/35014499824","273","9555","35","44","3","0","232","48","The Legend of Zelda: Breath of the Wild"
"6","Sunday 21st July 2019 15:02","https://sullygnome.com/channel/superpinkykitty/stream/34989777600","673","23555","35","48","12","1","622","54","Just Chatting,The Legend of Zelda: Breath of the Wild"
"7","Saturday 20th July 2019 20:04","https://sullygnome.com/channel/superpinkykitty/stream/34980712656","311","12129","39","53","15","2","533","101","Resident Evil 2,Counter-Strike: Global Offensive,Just Chatting"
"8","Saturday 20th July 2019 15:41","https://sullygnome.com/channel/superpinkykitty/stream/34976894112","214","6634","31","41","4","1","266","70","Beat Saber,Just Chatting,Resident Evil 2"
"9","Friday 19th July 2019 20:21","https://sullygnome.com/channel/superpinkykitty/stream/34963079520","189","6237","33","51","11","1","656","67","The Legend of Zelda: Breath of the Wild,Counter-Strike: Global Offensive"
"10","Wednesday 17th July 2019 21:09","https://sullygnome.com/channel/superpinkykitty/stream/34938637760","51","1785","35","56","2","0","404","55","Just Chatting,The Legend of Zelda: Breath of the Wild,The Crooked Man"
"11","Tuesday 16th July 2019 13:00","https://sullygnome.com/channel/superpinkykitty/stream/34925001232","540","20520","38","53","3","0","442","49","The Legend of Zelda: Breath of the Wild,Counter-Strike: Global Offensive"
"12","Saturday 13th July 2019 15:42","https://sullygnome.com/channel/superpinkykitty/stream/34889474112","603","24120","40","70","35","3","740","74","Just Chatting,Counter-Strike: Global Offensive"
"13","Friday 12th July 2019 15:44","https://sullygnome.com/channel/superpinkykitty/stream/34876804064","151","4983","33","40","2","0","192","69","Just Chatting,World of Warcraft,Tom Clancy's Rainbow 6: Patriots"
"14","Thursday 11th July 2019 19:01","https://sullygnome.com/channel/superpinkykitty/stream/34866415216","299","9568","32","41","6","1","328","62","Mad Father,Counter-Strike: Global Offensive"
"15","Thursday 11th July 2019 16:30","https://sullygnome.com/channel/superpinkykitty/stream/34864619888","0","0","19","20","0","0","90","360","Just Chatting"
"16","Thursday 11th July 2019 15:45","https://sullygnome.com/channel/superpinkykitty/stream/34864332448","15","135","9","20","-1","-2","116","232","Just Chatting"
"17","Thursday 11th July 2019 10:54","https://sullygnome.com/channel/superpinkykitty/stream/34862115680","66","1716","26","39","-1","0","142","113","Just Chatting"
"18","Tuesday 9th July 2019 15:40","https://sullygnome.com/channel/superpinkykitty/stream/34839237744","620","25420","41","65","14","1","817","79","Counter-Strike: Global Offensive,Mad Father"
"19","Saturday 6th July 2019 15:58","https://sullygnome.com/channel/superpinkykitty/stream/34802264688","587","21719","37","51","6","0","507","50","The Legend of Zelda: Breath of the Wild"
"20","Friday 5th July 2019 23:07","https://sullygnome.com/channel/superpinkykitty/stream/34793096016","188","4700","25","38","14","2","277","52","The Legend of Zelda: Breath of the Wild,Counter-Strike: Global Offensive"
"21","Friday 5th July 2019 15:55","https://sullygnome.com/channel/superpinkykitty/stream/34789541696","230","6210","27","35","2","0","241","60","Just Chatting,The Legend of Zelda: Breath of the Wild"
"22","Wednesday 3rd July 2019 15:24","https://sullygnome.com/channel/superpinkykitty/stream/34765306064","576","21312","37","55","21","2","680","69","Just Chatting,Unlisted on Twitch,Counter-Strike: Global Offensive"
"23","Tuesday 2nd July 2019 14:35","https://sullygnome.com/channel/superpinkykitty/stream/34752162656","370","12950","35","48","-4","0","409","65","Counter-Strike: Global Offensive,World of Warcraft,The Binding of Isaac: Repentance"
