"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Wednesday 31st July 2019 21:40","https://sullygnome.com/channel/their0njew/stream/35116293056","665","12635","19","38","29","2","286","26","Counter-Strike,VRChat,Teamfight Tactics"
"2","Wednesday 31st July 2019 06:00","https://sullygnome.com/channel/their0njew/stream/35108257312","75","900","12","15","2","2","11","11","VRChat"
"3","Wednesday 31st July 2019 04:17","https://sullygnome.com/channel/their0njew/stream/35103644608","58","754","13","21","5","0","155","22","Counter-Strike,Teamfight Tactics,VRChat"
"4","Tuesday 30th July 2019 02:06","https://sullygnome.com/channel/their0njew/stream/35090134096","309","6180","20","28","13","1","234","23","Counter-Strike,VRChat"
"5","Monday 29th July 2019 03:48","https://sullygnome.com/channel/their0njew/stream/35081907248","207","2691","13","19","8","2","72","19","VRChat"
"6","Sunday 28th July 2019 03:11","https://sullygnome.com/channel/their0njew/stream/35069635840","409","8180","20","28","13","1","201","28","VRChat"
"7","Saturday 27th July 2019 18:43","https://sullygnome.com/channel/their0njew/stream/35064656352","257","3084","12","15","5","1","72","16","Counter-Strike,Unfortunate Spacemen"
"8","Friday 26th July 2019 21:13","https://sullygnome.com/channel/their0njew/stream/35054404384","437","6992","16","35","13","1","165","22","Counter-Strike"
"9","Friday 26th July 2019 14:06","https://sullygnome.com/channel/their0njew/stream/35050110320","189","4158","22","28","7","2","110","33","VRChat"
"10","Tuesday 16th July 2019 21:22","https://sullygnome.com/channel/their0njew/stream/34930294944","98","1470","15","18","1","0","33","22","Counter-Strike"
"11","Monday 15th July 2019 05:16","https://sullygnome.com/channel/their0njew/stream/34910086400","119","2737","23","27","4","2","78","44","VRChat"
"12","Sunday 14th July 2019 23:39","https://sullygnome.com/channel/their0njew/stream/34907150912","336","5376","16","27","2","0","151","26","Counter-Strike,League of Legends,Call of Duty: Modern Warfare 2"
"13","Saturday 13th July 2019 03:02","https://sullygnome.com/channel/their0njew/stream/34884146592","733","20524","28","59","37","2","398","31","League of Legends,VRChat"
"14","Thursday 11th July 2019 21:40","https://sullygnome.com/channel/their0njew/stream/34868350352","515","6695","13","19","6","0","183","20","Counter-Strike,League of Legends,Just Chatting,Call of Duty: Modern Warfare 2,VRChat"
"15","Tuesday 9th July 2019 21:07","https://sullygnome.com/channel/their0njew/stream/34843038304","503","7545","15","22","2","0","131","15","Counter-Strike,League of Legends"
"16","Monday 8th July 2019 21:29","https://sullygnome.com/channel/their0njew/stream/34830776416","586","9962","17","28","5","0","190","19","Counter-Strike,VRChat"
"17","Monday 8th July 2019 01:07","https://sullygnome.com/channel/their0njew/stream/34820764032","98","1372","14","20","0","0","56","32","League of Legends"
"18","Sunday 7th July 2019 02:04","https://sullygnome.com/channel/their0njew/stream/34808732208","296","2960","10","16","8","1","89","17","VRChat"
"19","Friday 5th July 2019 22:05","https://sullygnome.com/channel/their0njew/stream/34793703088","535","7490","14","22","12","1","201","22","Just Chatting,Pavlov VR,VRChat"
"20","Thursday 4th July 2019 21:28","https://sullygnome.com/channel/their0njew/stream/34781780944","587","12914","22","48","11","1","281","28","Just Chatting,Teamfight Tactics,League of Legends,VRChat"
"21","Wednesday 3rd July 2019 23:05","https://sullygnome.com/channel/their0njew/stream/34770466608","250","5250","21","27","2","0","94","23","Just Chatting"
"22","Tuesday 2nd July 2019 22:45","https://sullygnome.com/channel/their0njew/stream/34757691696","480","7200","15","22","10","1","142","17","Teamfight Tactics,VRChat"
"23","Monday 1st July 2019 21:17","https://sullygnome.com/channel/their0njew/stream/34744318736","268","3484","13","17","4","0","73","15","Counter-Strike"
