"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","SMITE","2775","4575","1","5","66","1.427027"
"2","Minecraft","645","915","1","5","32","2.976744"
"3","Realm Royale Reforged","585","750","1","3","3","0.307692"
"4","Neverwinter","255","420","1","4","4","0.941176"
"5","The Walking Dead: A New Frontier","210","300","1","3","21","6"
"6","Unlisted on Twitch","195","255","1","3","13","4"
"7","Apex Legends","180","270","1","3","9","3"
"8","The Walking Dead: Michonne","120","300","2","4","5","2.5"
"9","Paladins","30","30","1","1","0","0"
"10","Fortnite","30","60","2","2","2","4"
"11","Dead by Daylight","15","30","2","2","1","4"
