"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Wednesday 31st July 2019 23:30","https://sullygnome.com/channel/teddy_ze/stream/35117389792","255","255","1","3","0","0","20","4","Apex Legends,Titanfall 2"
"2","Wednesday 31st July 2019 00:30","https://sullygnome.com/channel/teddy_ze/stream/35104958960","180","720","4","8","0","0","15","4","Apex Legends"
"3","Tuesday 30th July 2019 00:45","https://sullygnome.com/channel/teddy_ze/stream/35092375984","150","150","1","3","1","0","9","3","Apex Legends"
"4","Monday 29th July 2019 23:15","https://sullygnome.com/channel/teddy_ze/stream/35091411600","60","60","1","2","0","0","4","3","Apex Legends"
"5","Friday 26th July 2019 00:15","https://sullygnome.com/channel/teddy_ze/stream/35044212592","150","300","2","4","0","0","18","6","Apex Legends"
"6","Wednesday 24th July 2019 00:50","https://sullygnome.com/channel/teddy_ze/stream/35020388352","205","1435","7","9","0","0","26","7","Golf With Your Friends,Apex Legends"
"7","Monday 22nd July 2019 23:15","https://sullygnome.com/channel/teddy_ze/stream/35007003840","285","570","2","6","0","0","23","4","Apex Legends,Golf With Your Friends"
"8","Thursday 18th July 2019 01:15","https://sullygnome.com/channel/teddy_ze/stream/34945499680","105","315","3","6","0","0","7","3","Apex Legends"
"9","Wednesday 17th July 2019 02:15","https://sullygnome.com/channel/teddy_ze/stream/34933222128","105","0","0","2","0","0","2","1","Apex Legends"
"10","Monday 15th July 2019 23:45","https://sullygnome.com/channel/teddy_ze/stream/34919266144","210","210","1","3","0","0","13","3","Apex Legends"
"11","Saturday 13th July 2019 22:15","https://sullygnome.com/channel/teddy_ze/stream/34893573504","255","510","2","5","0","0","22","4","Apex Legends,Tom Clancy's Rainbow Six Siege"
"12","Friday 12th July 2019 00:45","https://sullygnome.com/channel/teddy_ze/stream/34870118848","120","0","0","2","0","0","5","2","Apex Legends"
"13","Tuesday 9th July 2019 22:30","https://sullygnome.com/channel/teddy_ze/stream/34843925456","240","480","2","5","0","0","15","3","Apex Legends"
"14","Friday 5th July 2019 03:59","https://sullygnome.com/channel/teddy_ze/stream/34784977072","316","2844","9","32","1","0","49","8","UNO,Golf With Your Friends"
"15","Wednesday 3rd July 2019 23:30","https://sullygnome.com/channel/teddy_ze/stream/34770484880","210","630","3","6","0","0","26","6","Apex Legends"
"16","Wednesday 3rd July 2019 01:00","https://sullygnome.com/channel/teddy_ze/stream/34758711584","150","600","4","7","0","0","19","6","Apex Legends"
"17","Tuesday 2nd July 2019 22:06","https://sullygnome.com/channel/teddy_ze/stream/34757277072","99","396","4","7","0","0","10","5","Apex Legends"
