"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Wednesday 31st July 2019 06:40","https://sullygnome.com/channel/terrorist_hunt/stream/35105644224","500","1000","2","6","0","0","37","2","Kerbal Space Program"
"2","Wednesday 31st July 2019 00:00","https://sullygnome.com/channel/terrorist_hunt/stream/35104648176","0","0","2","2","0","0","0","0","Kerbal Space Program"
"3","Monday 29th July 2019 21:53","https://sullygnome.com/channel/terrorist_hunt/stream/35090568208","907","2721","3","8","6","0","44","2","Kerbal Space Program"
"4","Sunday 28th July 2019 21:00","https://sullygnome.com/channel/terrorist_hunt/stream/35078052176","195","195","1","3","0","0","2","0","Tom Clancy's Rainbow Six Siege"
"5","Saturday 27th July 2019 21:45","https://sullygnome.com/channel/terrorist_hunt/stream/35066441408","240","720","3","3","0","0","1","0","Tom Clancy's Rainbow Six Siege"
"6","Friday 26th July 2019 20:25","https://sullygnome.com/channel/terrorist_hunt/stream/35053888656","305","610","2","6","0","0","7","1","Tom Clancy's Rainbow Six Siege"
"7","Friday 26th July 2019 20:00","https://sullygnome.com/channel/terrorist_hunt/stream/35053654624","0","0","1","3","0","0","0","0","Tom Clancy's Rainbow Six Siege"
"8","Friday 26th July 2019 18:45","https://sullygnome.com/channel/terrorist_hunt/stream/35052706416","0","0","3","3","0","0","0","0","Tom Clancy's Rainbow Six Siege"
"9","Friday 19th July 2019 01:15","https://sullygnome.com/channel/terrorist_hunt/stream/34957671952","60","120","2","2","0","0","1","0","Tom Clancy's Rainbow Six Siege"
"10","Friday 19th July 2019 00:45","https://sullygnome.com/channel/terrorist_hunt/stream/34957484192","0","0","3","3","0","0","0","0","Tom Clancy's Rainbow Six Siege"
"11","Thursday 18th July 2019 19:45","https://sullygnome.com/channel/terrorist_hunt/stream/34954217424","0","0","2","2","0","0","0","0","Tom Clancy's Rainbow Six Siege"
"12","Friday 12th July 2019 20:30","https://sullygnome.com/channel/terrorist_hunt/stream/34879927008","30","60","2","2","0","0","2","2","Tom Clancy's Rainbow Six Siege"
"13","Thursday 11th July 2019 14:00","https://sullygnome.com/channel/terrorist_hunt/stream/34863316384","0","0","2","2","0","0","0","0","Tom Clancy's Rainbow Six Siege"
"14","Wednesday 10th July 2019 22:15","https://sullygnome.com/channel/terrorist_hunt/stream/34856124640","60","120","2","2","0","0","0","0","Tom Clancy's Rainbow Six Siege"
"15","Wednesday 10th July 2019 06:30","https://sullygnome.com/channel/terrorist_hunt/stream/34848310528","330","990","3","6","0","0","2","0","Tom Clancy's Rainbow Six Siege"
"16","Monday 8th July 2019 12:30","https://sullygnome.com/channel/terrorist_hunt/stream/34825111472","285","570","2","5","1","0","4","0","Tom Clancy's Rainbow Six Siege"
"17","Sunday 7th July 2019 07:00","https://sullygnome.com/channel/terrorist_hunt/stream/34810969856","105","315","3","3","0","0","1","0","Tom Clancy's Rainbow Six Siege"
"18","Monday 1st July 2019 08:00","https://sullygnome.com/channel/terrorist_hunt/stream/34737502048","225","225","1","3","0","0","5","1","Kerbal Space Program,Tom Clancy's Rainbow Six Siege"
