"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Wednesday 31st July 2019 20:50","https://sullygnome.com/channel/thegeostatic/stream/35115718864","40","4320","108","118","0","0","28","37","Call of Duty: Black Ops 4"
"2","Wednesday 31st July 2019 16:10","https://sullygnome.com/channel/thegeostatic/stream/35112421728","140","5320","38","99","3","1","78","31","Fortnite,Call of Duty: Black Ops 4"
"3","Tuesday 30th July 2019 20:02","https://sullygnome.com/channel/thegeostatic/stream/35101960064","103","9579","93","107","5","2","36","20","Call of Duty: Black Ops 4"
"4","Tuesday 30th July 2019 15:19","https://sullygnome.com/channel/thegeostatic/stream/35098728304","236","24308","103","118","11","2","103","25","Fortnite,Call of Duty: Black Ops 4"
"5","Monday 29th July 2019 18:42","https://sullygnome.com/channel/thegeostatic/stream/35088312128","93","7347","79","90","1","0","32","21","Fortnite"
"6","Sunday 28th July 2019 20:49","https://sullygnome.com/channel/thegeostatic/stream/35077906336","86","9030","105","125","0","0","75","50","Call of Duty: Black Ops 4"
"7","Friday 26th July 2019 21:03","https://sullygnome.com/channel/thegeostatic/stream/35054302592","72","7056","98","109","3","2","41","32","Call of Duty: Black Ops 4"
"8","Wednesday 24th July 2019 04:45","https://sullygnome.com/channel/thegeostatic/stream/35022632384","75","3750","50","68","0","0","49","32","Call of Duty: Black Ops 4"
"9","Tuesday 23rd July 2019 17:45","https://sullygnome.com/channel/thegeostatic/stream/35015628240","90","8730","97","116","3","2","35","23","Call of Duty: Black Ops 4"
"10","Tuesday 23rd July 2019 00:36","https://sullygnome.com/channel/thegeostatic/stream/35007844528","204","15300","75","83","1","0","65","20","Fortnite,Call of Duty: Black Ops 4"
"11","Monday 15th July 2019 12:04","https://sullygnome.com/channel/thegeostatic/stream/34912219040","1436","199604","139","576","109","4","2629","109","Call of Duty: Black Ops 4,Fortnite"
"12","Saturday 13th July 2019 03:22","https://sullygnome.com/channel/thegeostatic/stream/34884337840","68","4760","70","80","2","1","48","38","Call of Duty: Black Ops 4"
"13","Friday 12th July 2019 16:36","https://sullygnome.com/channel/thegeostatic/stream/34877319520","159","14310","90","103","12","4","112","40","Call of Duty: Black Ops 4"
"14","Friday 12th July 2019 03:04","https://sullygnome.com/channel/thegeostatic/stream/34871341376","131","9039","69","87","3","1","135","45","Call of Duty: Black Ops 4"
"15","Thursday 11th July 2019 17:23","https://sullygnome.com/channel/thegeostatic/stream/34865328864","292","24236","83","105","1","0","132","26","Call of Duty: Black Ops 4,Fortnite"
"16","Wednesday 10th July 2019 17:09","https://sullygnome.com/channel/thegeostatic/stream/34852707072","321","26964","84","103","5","0","91","16","Call of Duty: Black Ops 4,Apex Legends"
"17","Tuesday 9th July 2019 22:09","https://sullygnome.com/channel/thegeostatic/stream/34843699712","126","8820","70","86","3","1","47","20","Fortnite"
"18","Tuesday 9th July 2019 17:29","https://sullygnome.com/channel/thegeostatic/stream/34840383072","136","9520","70","93","3","1","50","20","Fortnite"
"19","Monday 8th July 2019 16:09","https://sullygnome.com/channel/thegeostatic/stream/34827055408","216","15552","72","102","1","0","61","16","Fortnite"
"20","Monday 8th July 2019 03:41","https://sullygnome.com/channel/thegeostatic/stream/34822163040","154","9856","64","81","-1","0","71","25","Fortnite"
"21","Sunday 7th July 2019 23:05","https://sullygnome.com/channel/thegeostatic/stream/34819575328","175","13825","79","93","0","0","69","23","Fortnite"
"22","Saturday 6th July 2019 23:08","https://sullygnome.com/channel/thegeostatic/stream/34807023936","172","13588","79","100","3","1","89","29","Fortnite"
"23","Friday 5th July 2019 22:46","https://sullygnome.com/channel/thegeostatic/stream/34794133776","254","16510","65","83","1","0","76","17","Fortnite"
"24","Friday 5th July 2019 01:02","https://sullygnome.com/channel/thegeostatic/stream/34783601328","298","17880","60","79","8","1","171","34","Fortnite"
"25","Thursday 4th July 2019 00:13","https://sullygnome.com/channel/thegeostatic/stream/34771151312","167","9853","59","72","1","0","56","20","Fortnite"
"26","Wednesday 3rd July 2019 14:45","https://sullygnome.com/channel/thegeostatic/stream/34764947344","165","12045","73","89","8","2","65","21","Fortnite"
"27","Tuesday 2nd July 2019 20:06","https://sullygnome.com/channel/thegeostatic/stream/34755925168","264","16896","64","89","4","0","105","23","Fortnite"
"28","Tuesday 2nd July 2019 03:38","https://sullygnome.com/channel/thegeostatic/stream/34748162576","67","3685","55","63","0","0","30","24","Fortnite"
"29","Monday 1st July 2019 01:09","https://sullygnome.com/channel/thegeostatic/stream/34734725360","381","20955","55","72","2","0","120","18","Fortnite"
