"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Wednesday 31st July 2019 04:49","https://sullygnome.com/channel/theotherstream/stream/35107756752","116","464","4","8","1","0","8","4","Super Smash Bros. Ultimate"
"2","Tuesday 30th July 2019 04:58","https://sullygnome.com/channel/theotherstream/stream/35094811632","392","3528","9","15","2","0","35","5","Super Mario Maker 2"
"3","Monday 29th July 2019 04:32","https://sullygnome.com/channel/theotherstream/stream/35082217520","268","3216","12","17","2","0","38","8","Super Mario Maker 2"
"4","Sunday 28th July 2019 05:04","https://sullygnome.com/channel/theotherstream/stream/35070532880","416","4160","10","15","-1","0","43","6","Fortnite"
"5","Sunday 28th July 2019 04:16","https://sullygnome.com/channel/theotherstream/stream/35070178784","29","145","5","6","0","0","7","14","Fortnite"
"6","Monday 15th July 2019 06:54","https://sullygnome.com/channel/theotherstream/stream/34910056432","351","2808","8","11","2","0","39","5","Fortnite"
"7","Sunday 14th July 2019 09:45","https://sullygnome.com/channel/theotherstream/stream/34899153184","0","0","12","12","0","0","0","0","Super Mario Maker 2"
"8","Sunday 14th July 2019 04:26","https://sullygnome.com/channel/theotherstream/stream/34897310272","229","2977","13","21","1","0","28","7","Super Mario Maker 2"
"9","Saturday 13th July 2019 09:17","https://sullygnome.com/channel/theotherstream/stream/34886661056","223","1561","7","10","1","0","13","3","Super Mario Maker 2,Just Chatting"
"10","Saturday 13th July 2019 04:38","https://sullygnome.com/channel/theotherstream/stream/34884992912","247","3458","14","19","0","0","36","9","Super Mario Maker 2"
"11","Friday 12th July 2019 05:02","https://sullygnome.com/channel/theotherstream/stream/34872727008","493","5916","12","19","2","0","41","4","Fortnite,Just Chatting"
"12","Thursday 11th July 2019 05:08","https://sullygnome.com/channel/theotherstream/stream/34860252400","457","3199","7","16","0","0","29","3","Fortnite"
"13","Wednesday 10th July 2019 05:38","https://sullygnome.com/channel/theotherstream/stream/34848014992","367","3670","10","15","1","0","28","4","Super Mario Maker 2,Just Chatting"
"14","Tuesday 9th July 2019 05:01","https://sullygnome.com/channel/theotherstream/stream/34835207184","479","4790","10","18","0","0","63","7","Super Mario Maker 2,Just Chatting"
"15","Monday 8th July 2019 04:19","https://sullygnome.com/channel/theotherstream/stream/34822458336","476","7140","15","25","11","1","68","8","Super Mario Maker 2"
"16","Sunday 7th July 2019 06:14","https://sullygnome.com/channel/theotherstream/stream/34810751456","346","4152","12","19","-1","0","48","8","Fortnite"
"17","Sunday 7th July 2019 05:15","https://sullygnome.com/channel/theotherstream/stream/34810360432","45","45","1","8","0","0","8","8","Fortnite"
"18","Saturday 6th July 2019 08:40","https://sullygnome.com/channel/theotherstream/stream/34797386432","125","1000","8","15","2","0","44","7","Super Mario Maker 2"
"19","Friday 5th July 2019 08:23","https://sullygnome.com/channel/theotherstream/stream/34786481328","172","1548","9","12","2","0","25","8","Super Mario Maker 2"
"20","Friday 5th July 2019 06:36","https://sullygnome.com/channel/theotherstream/stream/34784963776","84","672","8","15","2","0","50","12","Super Mario Maker 2"
"21","Monday 1st July 2019 09:46","https://sullygnome.com/channel/theotherstream/stream/34738041696","134","804","6","9","0","0","7","3","Super Mario Maker 2"
"22","Monday 1st July 2019 04:54","https://sullygnome.com/channel/theotherstream/stream/34736597472","276","3036","11","15","1","0","33","7","Super Mario Maker 2"
