"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Tuesday 30th July 2019 01:15","https://sullygnome.com/channel/theunclebobbyb/stream/35092778736","75","150","2","5","0","0","5","3","PUBG: BATTLEGROUNDS"
"2","Monday 22nd July 2019 22:00","https://sullygnome.com/channel/theunclebobbyb/stream/35006210016","270","270","1","3","0","0","2","0","Tom Clancy's Rainbow Six Siege,PUBG: BATTLEGROUNDS"
"3","Monday 22nd July 2019 02:30","https://sullygnome.com/channel/theunclebobbyb/stream/34996928336","120","120","1","5","0","0","12","5","PUBG: BATTLEGROUNDS,Counter-Strike: Global Offensive,Tom Clancy's Rainbow Six Siege"
"4","Sunday 21st July 2019 23:45","https://sullygnome.com/channel/theunclebobbyb/stream/34995158608","90","0","0","1","0","0","2","1","PUBG: BATTLEGROUNDS"
"5","Sunday 21st July 2019 17:30","https://sullygnome.com/channel/theunclebobbyb/stream/34991258400","210","420","2","3","0","0","21","5","PUBG: BATTLEGROUNDS"
"6","Sunday 21st July 2019 01:15","https://sullygnome.com/channel/theunclebobbyb/stream/34983896608","15","15","1","1","0","0","0","0","PUBG: BATTLEGROUNDS"
"7","Saturday 20th July 2019 17:07","https://sullygnome.com/channel/theunclebobbyb/stream/34977912416","338","676","2","3","1","0","8","1","PUBG: BATTLEGROUNDS"
"8","Friday 19th July 2019 23:15","https://sullygnome.com/channel/theunclebobbyb/stream/34969085088","420","420","1","5","1","0","11","1","PUBG: BATTLEGROUNDS"
"9","Wednesday 17th July 2019 00:15","https://sullygnome.com/channel/theunclebobbyb/stream/34931771904","225","225","1","3","1","0","1","0","PUBG: BATTLEGROUNDS"
"10","Tuesday 16th July 2019 02:30","https://sullygnome.com/channel/theunclebobbyb/stream/34921004736","75","75","1","2","0","0","2","1","Counter-Strike: Global Offensive"
"11","Tuesday 16th July 2019 00:00","https://sullygnome.com/channel/theunclebobbyb/stream/34919468016","90","90","1","1","0","0","3","1","PUBG: BATTLEGROUNDS"
"12","Sunday 14th July 2019 23:30","https://sullygnome.com/channel/theunclebobbyb/stream/34907005472","135","135","1","3","0","0","3","1","Battlefield V,PUBG: BATTLEGROUNDS"
"13","Wednesday 3rd July 2019 22:45","https://sullygnome.com/channel/theunclebobbyb/stream/34770242032","135","0","0","2","0","0","3","1","PUBG: BATTLEGROUNDS"
"14","Tuesday 2nd July 2019 23:30","https://sullygnome.com/channel/theunclebobbyb/stream/34758072672","165","165","1","2","0","0","3","1","PUBG: BATTLEGROUNDS"
"15","Tuesday 2nd July 2019 00:45","https://sullygnome.com/channel/theunclebobbyb/stream/34746367984","0","0","1","1","0","0","0","0","PUBG: BATTLEGROUNDS"
