"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Tuesday 30th July 2019 00:48","https://sullygnome.com/channel/therealsdm/stream/35092472000","657","7884","12","22","-3","0","111","10","Old School RuneScape"
"2","Saturday 27th July 2019 01:15","https://sullygnome.com/channel/therealsdm/stream/35056730528","225","1125","5","8","1","0","47","11","Old School RuneScape"
"3","Friday 26th July 2019 01:48","https://sullygnome.com/channel/therealsdm/stream/35045298528","207","2070","10","18","2","0","37","10","Old School RuneScape"
"4","Friday 26th July 2019 00:54","https://sullygnome.com/channel/therealsdm/stream/35044703504","36","288","8","11","0","0","0","0","Old School RuneScape"
"5","Sunday 21st July 2019 16:44","https://sullygnome.com/channel/therealsdm/stream/34990008080","286","3146","11","18","1","0","113","18","Old School RuneScape"
"6","Thursday 18th July 2019 18:59","https://sullygnome.com/channel/therealsdm/stream/34953755344","211","2321","11","18","0","0","30","8","Old School RuneScape,League of Legends"
"7","Thursday 18th July 2019 15:37","https://sullygnome.com/channel/therealsdm/stream/34951538672","188","2256","12","15","0","0","50","15","Old School RuneScape"
"8","Thursday 18th July 2019 02:00","https://sullygnome.com/channel/therealsdm/stream/34945970064","300","3300","11","23","0","0","83","15","Old School RuneScape"
"9","Tuesday 16th July 2019 01:01","https://sullygnome.com/channel/therealsdm/stream/34920129056","269","2959","11","15","0","0","44","9","Old School RuneScape"
"10","Sunday 14th July 2019 01:35","https://sullygnome.com/channel/therealsdm/stream/34895755968","430","5160","12","22","4","0","85","12","Old School RuneScape"
"11","Friday 12th July 2019 01:23","https://sullygnome.com/channel/therealsdm/stream/34870734976","457","4113","9","15","2","0","99","12","Old School RuneScape"
"12","Tuesday 9th July 2019 23:12","https://sullygnome.com/channel/therealsdm/stream/34844361792","543","8145","15","23","1","0","176","19","Old School RuneScape"
"13","Monday 8th July 2019 01:25","https://sullygnome.com/channel/therealsdm/stream/34820947104","560","4480","8","11","3","0","83","8","Old School RuneScape,Teamfight Tactics"
"14","Saturday 6th July 2019 01:34","https://sullygnome.com/channel/therealsdm/stream/34795838192","461","3688","8","12","3","0","66","8","Old School RuneScape"
"15","Tuesday 2nd July 2019 00:35","https://sullygnome.com/channel/therealsdm/stream/34746348192","460","6440","14","26","1","0","135","17","Old School RuneScape"
"16","Monday 1st July 2019 02:16","https://sullygnome.com/channel/therealsdm/stream/34734818720","344","5160","15","20","0","0","96","14","Old School RuneScape"
