"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Tuesday 30th July 2019 12:15","https://sullygnome.com/channel/threearrows328/stream/35097130496","180","540","3","5","0","0","15","4","Operation Abyss: New Tokyo Legacy"
"2","Saturday 27th July 2019 04:15","https://sullygnome.com/channel/threearrows328/stream/35058359152","270","1080","4","7","0","0","11","2","FINAL FANTASY XIV ONLINE"
"3","Friday 26th July 2019 12:00","https://sullygnome.com/channel/threearrows328/stream/35049203264","180","900","5","8","0","0","10","3","Operation Abyss: New Tokyo Legacy"
"4","Friday 19th July 2019 12:02","https://sullygnome.com/channel/threearrows328/stream/34962266448","193","772","4","6","0","0","20","5","Operation Abyss: New Tokyo Legacy"
"5","Thursday 18th July 2019 12:30","https://sullygnome.com/channel/threearrows328/stream/34949850144","150","900","6","8","0","0","15","5","Metal Max Xeno"
"6","Tuesday 16th July 2019 12:15","https://sullygnome.com/channel/threearrows328/stream/34924576112","165","825","5","7","1","0","10","3","Operation Abyss: New Tokyo Legacy"
"7","Sunday 7th July 2019 04:02","https://sullygnome.com/channel/threearrows328/stream/34809815616","298","1490","5","10","0","0","24","4","Dragon Quest X: Mezameshi Itsutsu no Shuzoku Online"
"8","Saturday 6th July 2019 04:00","https://sullygnome.com/channel/threearrows328/stream/34797239168","300","900","3","6","0","0","18","3","FINAL FANTASY XIV ONLINE"
"9","Friday 5th July 2019 12:01","https://sullygnome.com/channel/threearrows328/stream/34787676768","179","895","5","7","0","0","11","3","Operation Abyss: New Tokyo Legacy"
"10","Tuesday 2nd July 2019 12:00","https://sullygnome.com/channel/threearrows328/stream/34750994368","195","585","3","5","0","0","12","3","Operation Abyss: New Tokyo Legacy"
