"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Wednesday 31st July 2019 22:15","https://sullygnome.com/channel/torchbearergaming/stream/35116634528","90","90","1","1","0","0","0","0",".hack//G.U. Last Recode,Slay the Spire"
"2","Tuesday 30th July 2019 22:30","https://sullygnome.com/channel/torchbearergaming/stream/35103276320","225","225","1","2","0","0","2","0","Escape from Tarkov"
"3","Sunday 28th July 2019 21:56","https://sullygnome.com/channel/torchbearergaming/stream/35078611968","379","758","2","6","2","0","12","1","Total War: Warhammer II"
"4","Saturday 27th July 2019 21:58","https://sullygnome.com/channel/torchbearergaming/stream/35066694304","152","760","5","9","0","0","7","2","Dungeons &amp; Dragons"
"5","Friday 26th July 2019 22:00","https://sullygnome.com/channel/torchbearergaming/stream/35054782736","60","60","1","2","0","0","0","0","Warframe"
"6","Wednesday 24th July 2019 22:00","https://sullygnome.com/channel/torchbearergaming/stream/35030700224","105","105","1","2","0","0","2","1","Slay the Spire"
"7","Tuesday 23rd July 2019 21:56","https://sullygnome.com/channel/torchbearergaming/stream/35018536608","124","248","2","5","0","0","3","1","Total War: Warhammer II"
"8","Tuesday 16th July 2019 22:15","https://sullygnome.com/channel/torchbearergaming/stream/34930743216","240","0","0","1","0","0","0","0","Escape from Tarkov"
"9","Sunday 14th July 2019 21:55","https://sullygnome.com/channel/torchbearergaming/stream/34906134208","230","690","3","7","0","0","11","2","Total War: Warhammer II"
"10","Saturday 13th July 2019 22:00","https://sullygnome.com/channel/torchbearergaming/stream/34893680352","195","1170","6","8","2","0","12","3","Dungeons &amp; Dragons"
"11","Friday 12th July 2019 22:15","https://sullygnome.com/channel/torchbearergaming/stream/34880922816","165","330","2","4","0","0","4","1","Journey,Warframe"
"12","Wednesday 10th July 2019 22:00","https://sullygnome.com/channel/torchbearergaming/stream/34856015520","270","540","2","3","1","0","4","0","Just Chatting"
"13","Tuesday 9th July 2019 22:00","https://sullygnome.com/channel/torchbearergaming/stream/34843555504","180","0","0","1","1","0","1","0","Escape from Tarkov"
"14","Sunday 7th July 2019 22:00","https://sullygnome.com/channel/torchbearergaming/stream/34818862048","270","540","2","4","2","0","7","1","Total War: Warhammer II"
"15","Saturday 6th July 2019 21:54","https://sullygnome.com/channel/torchbearergaming/stream/34806279200","186","1116","6","8","0","0","10","3","Dungeons &amp; Dragons"
"16","Friday 5th July 2019 22:00","https://sullygnome.com/channel/torchbearergaming/stream/34793532752","90","90","1","2","0","0","5","2","Fate/Grand Order"
"17","Wednesday 3rd July 2019 21:49","https://sullygnome.com/channel/torchbearergaming/stream/34769669904","161","322","2","3","0","0","4","1","Super Neptunia RPG"
"18","Tuesday 2nd July 2019 22:00","https://sullygnome.com/channel/torchbearergaming/stream/34757203344","165","165","1","3","0","0","4","1","Dying Light"
