"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Just Chatting","1350","43785","35","83","497","22.088888"
"2","Rocket League","1080","36945","30","60","347","19.277777"
"3","Destiny 2","1050","32310","24","64","368","21.028571"
"4","League of Legends","900","30000","31","73","505","33.666666"
"5","Minecraft","795","28410","39","52","281","21.207547"
"6","Dead by Daylight","540","16020","29","44","194","21.555555"
"7","Stranger Things 3: The Game","480","18000","37","47","180","22.5"
"8","Twitch Sings","420","15780","28","59","276","39.428571"
"9","Gears 5","405","11895","29","52","187","27.703703"
"10","Fishing Planet","300","10050","33","43","108","21.6"
"11","Overwatch","270","9570","38","46","143","31.777777"
"12","Gears of War 4","240","12945","42","76","79","19.75"
"13","Teamfight Tactics","225","7425","36","48","75","20"
"14","Hue","210","6600","31","41","66","18.857142"
"15","SMITE","210","11805","54","74","74","21.142857"
"16","Donkey Kong Country","180","10905","60","76","78","26"
"17","Star Wars Battlefront II","150","4065","30","39","45","18"
"18","Worms W.M.D","150","6285","41","51","37","14.8"
"19","FIFA 19","150","4905","34","39","39","15.6"
"20","Apex Legends","135","4020","19","46","59","26.222222"
"21","Friday the 13th: The Game","105","3420","32","48","63","36"
"22","Fortnite","105","4620","41","50","47","26.857142"
"23","Crackdown","90","3375","37","60","16","10.666666"
"24","Yu-Gi-Oh! Legacy of the Duelist","75","4590","61","73","24","19.2"
"25","Splitgate","60","2175","36","48","52","52"
"26","Halo: The Master Chief Collection","60","2475","41","49","23","23"
"27","Power Rangers: Battle for the Grid","45","1740","39","43","25","33.333333"
"28","Crackdown 3","30","1530","51","60","8","16"
"29","Counter-Strike: Global Offensive","15","645","43","43","15","60"
