"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Wednesday 31st July 2019 06:16","https://sullygnome.com/channel/tunzuvfun240/stream/35108347600","209","1045","5","8","5","1","16","4","Gears of War 4"
"2","Wednesday 31st July 2019 03:33","https://sullygnome.com/channel/tunzuvfun240/stream/35107078336","132","396","3","7","0","0","5","2","Dead by Daylight"
"3","Tuesday 30th July 2019 07:33","https://sullygnome.com/channel/tunzuvfun240/stream/35094023104","162","972","6","23","1","0","46","6","Gears of War 4,Dead by Daylight"
"4","Sunday 28th July 2019 03:37","https://sullygnome.com/channel/tunzuvfun240/stream/35069854384","278","1668","6","11","2","0","16","3","Gears 5"
"5","Thursday 25th July 2019 06:45","https://sullygnome.com/channel/tunzuvfun240/stream/35035466208","180","1440","8","14","2","0","18","5","Gears of War 4"
"6","Thursday 25th July 2019 03:04","https://sullygnome.com/channel/tunzuvfun240/stream/35033994720","161","966","6","9","0","0","4","1","Dead by Daylight"
"7","Wednesday 24th July 2019 00:58","https://sullygnome.com/channel/tunzuvfun240/stream/35020482592","452","2712","6","13","3","0","32","4","Dead by Daylight,Gears of War 4"
"8","Monday 22nd July 2019 02:42","https://sullygnome.com/channel/tunzuvfun240/stream/34997006016","288","1728","6","13","1","0","32","6","Gears 5"
"9","Sunday 21st July 2019 03:20","https://sullygnome.com/channel/tunzuvfun240/stream/34985141376","445","1780","4","8","1","0","29","3","Gears 5"
"10","Thursday 18th July 2019 05:24","https://sullygnome.com/channel/tunzuvfun240/stream/34946126336","216","1296","6","12","3","0","43","6","Dead by Daylight,Gears of War 4"
"11","Wednesday 17th July 2019 06:22","https://sullygnome.com/channel/tunzuvfun240/stream/34935406672","128","896","7","16","0","0","33","16","Gears of War 4"
"12","Wednesday 17th July 2019 02:48","https://sullygnome.com/channel/tunzuvfun240/stream/34933822336","207","1656","8","16","3","0","52","14","Dead by Daylight"
"13","Monday 15th July 2019 04:15","https://sullygnome.com/channel/tunzuvfun240/stream/34909687328","270","1350","5","8","1","0","18","3","Unlisted on Twitch,Dead by Daylight,Gears of War 4"
"14","Thursday 11th July 2019 06:17","https://sullygnome.com/channel/tunzuvfun240/stream/34859292944","268","2680","10","18","10","1","65","8","Dead by Daylight,Gears of War 4"
"15","Wednesday 10th July 2019 05:18","https://sullygnome.com/channel/tunzuvfun240/stream/34847894224","252","1512","6","12","3","0","20","4","Gears of War 4"
"16","Wednesday 10th July 2019 02:59","https://sullygnome.com/channel/tunzuvfun240/stream/34846782784","121","605","5","10","-1","0","18","8","Dead by Daylight"
"17","Tuesday 9th July 2019 05:33","https://sullygnome.com/channel/tunzuvfun240/stream/34834628720","222","1554","7","14","2","0","33","5","Dead by Daylight,Gears of War 4"
"18","Tuesday 9th July 2019 03:00","https://sullygnome.com/channel/tunzuvfun240/stream/34834193488","15","15","1","3","0","0","6","12","Dead by Daylight"
"19","Monday 8th July 2019 04:09","https://sullygnome.com/channel/tunzuvfun240/stream/34822381008","306","3060","10","16","3","0","32","6","Gears of War 4"
"20","Sunday 7th July 2019 05:52","https://sullygnome.com/channel/tunzuvfun240/stream/34808905232","158","948","6","11","2","0","26","4","Dead by Daylight,Gears of War 4"
"21","Thursday 4th July 2019 03:00","https://sullygnome.com/channel/tunzuvfun240/stream/34772830528","345","2070","6","9","2","0","25","4","Dead by Daylight,Gears of War 4"
"22","Wednesday 3rd July 2019 02:45","https://sullygnome.com/channel/tunzuvfun240/stream/34760126032","405","1620","4","13","7","1","65","9","Dead by Daylight,Gears of War 4"
"23","Tuesday 2nd July 2019 05:29","https://sullygnome.com/channel/tunzuvfun240/stream/34747590736","241","1446","6","10","6","0","30","4","Dead by Daylight,Gears of War 4"
"24","Monday 1st July 2019 05:16","https://sullygnome.com/channel/tunzuvfun240/stream/34735607136","224","1120","5","11","3","0","38","6","Dead by Daylight,Gears of War 4"
