"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Monday 29th July 2019 22:30","https://sullygnome.com/channel/tyfighter513/stream/35090887536","120","0","0","1","0","0","2","0","Tom Clancy's Rainbow Six Siege"
"2","Thursday 25th July 2019 23:00","https://sullygnome.com/channel/tyfighter513/stream/35043481840","0","0","1","1","0","0","0","0","Tom Clancy's Rainbow Six Siege"
"3","Thursday 25th July 2019 00:15","https://sullygnome.com/channel/tyfighter513/stream/35032241360","135","135","1","2","0","0","2","0","Tom Clancy's Rainbow Six Siege"
"4","Sunday 21st July 2019 21:15","https://sullygnome.com/channel/tyfighter513/stream/34993857952","240","960","4","9","0","0","15","4","Tom Clancy's Rainbow Six Siege"
"5","Saturday 20th July 2019 04:15","https://sullygnome.com/channel/tyfighter513/stream/34972025088","30","0","0","1","0","0","1","1","Tom Clancy's Rainbow Six Siege"
"6","Friday 19th July 2019 01:45","https://sullygnome.com/channel/tyfighter513/stream/34958092848","90","90","1","3","0","0","0","0","Tom Clancy's Rainbow Six Siege"
"7","Wednesday 17th July 2019 18:15","https://sullygnome.com/channel/tyfighter513/stream/34940650336","0","0","0","0","0","0","0","0","Tom Clancy's Rainbow Six Siege"
"8","Wednesday 17th July 2019 00:15","https://sullygnome.com/channel/tyfighter513/stream/34932086128","15","30","2","3","0","0","1","2","Tom Clancy's Rainbow Six Siege"
"9","Tuesday 16th July 2019 18:22","https://sullygnome.com/channel/tyfighter513/stream/34928134832","128","128","1","3","2","0","15","6","Tom Clancy's Rainbow Six Siege"
"10","Sunday 14th July 2019 21:03","https://sullygnome.com/channel/tyfighter513/stream/34905598832","177","354","2","3","1","0","5","2","Tom Clancy's Rainbow Six Siege"
"11","Friday 12th July 2019 23:30","https://sullygnome.com/channel/tyfighter513/stream/34881991392","60","0","0","1","0","0","3","2","Tom Clancy's Rainbow Six Siege"
"12","Thursday 11th July 2019 22:45","https://sullygnome.com/channel/tyfighter513/stream/34869003088","30","60","2","3","0","0","1","1","Tom Clancy's Rainbow Six Siege"
"13","Monday 8th July 2019 21:45","https://sullygnome.com/channel/tyfighter513/stream/34830822000","90","180","2","4","0","0","5","2","Tom Clancy's Rainbow Six Siege"
"14","Thursday 4th July 2019 23:00","https://sullygnome.com/channel/tyfighter513/stream/34782438224","150","150","1","2","0","0","3","1","Tom Clancy's Rainbow Six Siege"
"15","Thursday 4th July 2019 20:15","https://sullygnome.com/channel/tyfighter513/stream/34780618256","30","30","1","2","0","0","0","0","Battalion 1944"
"16","Thursday 4th July 2019 03:45","https://sullygnome.com/channel/tyfighter513/stream/34773079664","135","0","0","1","0","0","4","1","Battalion 1944,Tom Clancy's Rainbow Six Siege"
"17","Wednesday 3rd July 2019 23:30","https://sullygnome.com/channel/tyfighter513/stream/34770638640","0","0","2","2","0","0","0","0","Tom Clancy's Rainbow Six Siege"
"18","Tuesday 2nd July 2019 22:30","https://sullygnome.com/channel/tyfighter513/stream/34757492256","90","90","1","3","1","0","1","0","Tom Clancy's Rainbow Six Siege"
