"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Tuesday 30th July 2019 01:30","https://sullygnome.com/channel/unclepointy/stream/35092915824","0","0","5","5","0","0","0","0","FINAL FANTASY XIV ONLINE"
"2","Tuesday 30th July 2019 00:30","https://sullygnome.com/channel/unclepointy/stream/35092275552","0","0","8","8","0","0","0","0","FINAL FANTASY XIV ONLINE"
"3","Sunday 28th July 2019 23:25","https://sullygnome.com/channel/unclepointy/stream/35079492688","395","6320","16","26","-1","0","105","16","FINAL FANTASY XIV ONLINE"
"4","Thursday 25th July 2019 02:55","https://sullygnome.com/channel/unclepointy/stream/35033904496","215","1720","8","13","-1","0","59","15","Sword Art Online: Fatal Bullet"
"5","Wednesday 24th July 2019 01:35","https://sullygnome.com/channel/unclepointy/stream/35020889888","205","1640","8","14","0","0","25","7","FINAL FANTASY XIV ONLINE"
"6","Tuesday 23rd July 2019 02:15","https://sullygnome.com/channel/unclepointy/stream/35008916432","240","720","3","7","0","0","30","7","FINAL FANTASY XIV ONLINE"
"7","Sunday 21st July 2019 23:42","https://sullygnome.com/channel/unclepointy/stream/34995279440","303","3636","12","20","0","0","88","17","FINAL FANTASY XIV ONLINE"
"8","Sunday 21st July 2019 05:08","https://sullygnome.com/channel/unclepointy/stream/34985987632","142","1562","11","16","1","0","39","15","Monster Hunter: World"
"9","Saturday 20th July 2019 17:30","https://sullygnome.com/channel/unclepointy/stream/34978283264","240","2160","9","12","2","0","54","13","Monster Hunter: World,FINAL FANTASY XIV ONLINE"
"10","Saturday 20th July 2019 03:57","https://sullygnome.com/channel/unclepointy/stream/34971928768","258","774","3","8","0","0","30","6","Rocket League,Apex Legends"
"11","Friday 19th July 2019 02:05","https://sullygnome.com/channel/unclepointy/stream/34958431456","235","2115","9","17","0","0","51","12","FINAL FANTASY XIV ONLINE"
"12","Wednesday 17th July 2019 02:03","https://sullygnome.com/channel/unclepointy/stream/34933376624","147","1323","9","13","0","0","27","10","FINAL FANTASY XIV ONLINE"
"13","Tuesday 16th July 2019 04:43","https://sullygnome.com/channel/unclepointy/stream/34922187840","17","85","5","8","-2","-4","0","0","LittleBigPlanet 3"
"14","Monday 15th July 2019 03:15","https://sullygnome.com/channel/unclepointy/stream/34909162672","105","840","8","14","1","0","56","28","Music"
"15","Saturday 13th July 2019 08:45","https://sullygnome.com/channel/unclepointy/stream/34886389856","0","0","10","13","0","0","16","64","Monster Hunter: World"
"16","Friday 12th July 2019 22:18","https://sullygnome.com/channel/unclepointy/stream/34881232336","597","5970","10","20","3","0","165","16","Monster Hunter: World,Music"
"17","Wednesday 10th July 2019 14:51","https://sullygnome.com/channel/unclepointy/stream/34851355920","174","4350","25","30","2","0","51","17","Monster Hunter: World"
"18","Tuesday 9th July 2019 15:10","https://sullygnome.com/channel/unclepointy/stream/34838966304","125","3875","31","65","10","4","185","82","Monster Hunter Generations Ultimate"
"19","Monday 8th July 2019 15:11","https://sullygnome.com/channel/unclepointy/stream/34826498032","139","973","7","11","-1","0","24","9","FINAL FANTASY XIV ONLINE"
"20","Monday 8th July 2019 14:45","https://sullygnome.com/channel/unclepointy/stream/34826136976","0","0","4","4","0","0","0","0","FINAL FANTASY XIV ONLINE"
"21","Friday 5th July 2019 00:35","https://sullygnome.com/channel/unclepointy/stream/34783269888","85","340","4","6","1","0","20","11","Forza Horizon 4"
"22","Wednesday 3rd July 2019 23:27","https://sullygnome.com/channel/unclepointy/stream/34770686176","258","1290","5","8","0","0","57","12","Sword Art Online: Fatal Bullet"
"23","Tuesday 2nd July 2019 02:49","https://sullygnome.com/channel/unclepointy/stream/34747656672","176","1232","7","11","-1","0","48","14","Forza Horizon 4"
"24","Monday 1st July 2019 03:05","https://sullygnome.com/channel/unclepointy/stream/34735796368","220","1980","9","17","-1","0","61","16","FINAL FANTASY XIV ONLINE"
